X Lag Time,Record 25: L13 1,Record 26: L13 2,Record 27: L13 3
0.5,0.875,0.896,0.877
1,0.87,0.894,0.873
1.5,0.864,0.887,0.866
2,0.857,0.88,0.857
2.5,0.85,0.876,0.853
3,0.845,0.868,0.847
3.5,0.841,0.864,0.843
4,0.834,0.858,0.838
4.5,0.83,0.853,0.831
5.5,0.82,0.844,0.822
6.5,0.811,0.836,0.813
7.5,0.804,0.827,0.805
8.5,0.795,0.819,0.797
9.5,0.788,0.812,0.789
10.5,0.78,0.805,0.782
11.5,0.774,0.797,0.776
12.5,0.766,0.791,0.769
14.5,0.754,0.778,0.755
16.5,0.741,0.766,0.743
18.5,0.729,0.755,0.732
20.5,0.719,0.744,0.721
22.5,0.708,0.735,0.711
24.5,0.698,0.725,0.701
26.5,0.688,0.715,0.692
28.5,0.679,0.707,0.683
32.5,0.663,0.69,0.667
36.5,0.648,0.677,0.653
40.5,0.635,0.663,0.639
44.5,0.622,0.651,0.627
48.5,0.611,0.64,0.616
52.5,0.6,0.631,0.606
56.5,0.591,0.621,0.597
60.5,0.582,0.612,0.588
68.5,0.567,0.597,0.573
76.5,0.553,0.584,0.56
84.5,0.542,0.573,0.549
92.5,0.532,0.563,0.539
101,0.523,0.553,0.53
109,0.514,0.545,0.521
117,0.506,0.537,0.514
125,0.5,0.531,0.507
141,0.487,0.518,0.494
157,0.476,0.507,0.483
173,0.465,0.496,0.473
189,0.455,0.486,0.463
205,0.446,0.476,0.453
221,0.437,0.467,0.444
237,0.428,0.459,0.436
253,0.419,0.45,0.427
285,0.403,0.434,0.411
317,0.388,0.419,0.397
349,0.374,0.404,0.382
381,0.36,0.39,0.368
413,0.347,0.377,0.355
445,0.334,0.363,0.343
477,0.323,0.351,0.331
509,0.311,0.339,0.319
573,0.29,0.317,0.297
637,0.27,0.296,0.278
701,0.251,0.277,0.259
765,0.234,0.259,0.243
829,0.218,0.243,0.227
893,0.203,0.229,0.212
957,0.19,0.215,0.198
1.02E+03,0.178,0.202,0.186
1.15E+03,0.156,0.18,0.164
1.28E+03,0.137,0.161,0.144
1.40E+03,0.12,0.145,0.127
1.53E+03,0.107,0.131,0.112
1.66E+03,0.0943,0.118,0.0987
1.79E+03,0.0843,0.108,0.0871
1.92E+03,0.0759,0.0982,0.0777
2.04E+03,0.0686,0.0908,0.0693
2.30E+03,0.0553,0.0777,0.0572
2.56E+03,0.0455,0.0678,0.0483
2.81E+03,0.039,0.0594,0.0414
3.07E+03,0.0347,0.0539,0.0355
3.32E+03,0.03,0.048,0.0296
3.58E+03,0.0271,0.0438,0.0258
3.84E+03,0.0239,0.0413,0.0232
4.09E+03,0.0207,0.0385,0.0219
4.60E+03,0.0157,0.0337,0.0199
5.12E+03,0.0139,0.0311,0.0179
5.63E+03,0.0133,0.0312,0.015
6.14E+03,0.0117,0.0314,0.0145
6.65E+03,0.0113,0.0287,0.013
7.16E+03,0.0109,0.0257,0.0114
7.68E+03,0.0103,0.0232,0.0106
8.19E+03,0.00868,0.0216,0.011
9.21E+03,0.00663,0.0233,0.0144
1.02E+04,0.00741,0.0236,0.0146
1.13E+04,0.00798,0.0198,0.0155
1.23E+04,0.00693,0.0139,0.0184
1.33E+04,0.00581,0.0106,0.0159
1.43E+04,0.0044,0.0112,0.01
1.54E+04,0.00714,0.0116,0.0105
1.64E+04,0.00734,0.0136,0.0108
1.84E+04,0.00541,0.0125,0.0114
2.05E+04,0.00608,0.0126,0.0101
2.25E+04,0.00636,0.0123,0.00841
2.46E+04,0.006,0.013,0.00797
2.66E+04,0.0054,0.0131,0.00655
2.87E+04,0.00447,0.0121,0.00631
3.07E+04,0.00433,0.0111,0.00726
3.28E+04,0.00463,0.00878,0.00427
3.69E+04,0.00312,0.00891,0.00358
4.10E+04,0.00407,0.0112,0.00416
4.51E+04,0.00829,0.00799,0.00516
4.91E+04,0.00452,0.00722,0.00581
5.32E+04,0.00329,0.00948,0.00771
5.73E+04,0.0027,0.0127,0.00637
6.14E+04,0.00371,0.00963,0.00727
6.55E+04,0.00365,0.00624,0.00782
7.37E+04,0.00417,0.00679,0.00579
8.19E+04,0.0022,0.00727,0.00601
9.01E+04,0.00444,0.0117,0.00537
9.83E+04,0.00473,0.0103,0.00535
1.06E+05,0.00344,0.00813,0.00877
1.15E+05,0.00346,0.00855,0.00654
1.23E+05,0.00702,0.00641,0.00458
1.31E+05,0.00412,0.00599,0.00471
1.47E+05,0.00315,0.00697,0.00578
1.64E+05,0.00312,0.00719,0.00535
1.80E+05,0.00276,0.0056,0.00365
1.97E+05,0.00421,0.00484,0.00418
2.13E+05,0.00516,0.00311,0.00387
2.29E+05,0.00283,0.00452,0.00559
2.46E+05,0.00331,0.00561,0.00396
2.62E+05,0.00199,0.00465,0.0039
2.95E+05,0.00303,0.00352,0.00373
3.28E+05,0.00237,0.00497,0.00291
3.60E+05,0.00145,0.00389,0.0031
3.93E+05,0.00101,0.00409,0.00243
4.26E+05,0.00177,0.00197,0.00217
4.59E+05,0.00219,0.00287,0.00341
4.92E+05,0.00122,0.00424,0.00377
5.24E+05,0.00204,0.00329,0.00304
5.90E+05,0.00235,0.00367,0.00199
6.55E+05,0.00158,0.00259,0.00102
7.21E+05,0.00247,0.00306,0.00116
7.86E+05,0.00239,0.00426,0.000913
8.52E+05,0.00181,0.00338,0.000483
9.18E+05,0.00155,0.0029,0.000514
9.83E+05,0.00118,0.00192,0.000695
1.05E+06,0.0014,0.00179,0.0011
1.18E+06,0.00105,0.000524,0.0003
1.31E+06,0.000139,0.000196,0.00115
1.44E+06,0.000427,0.000265,0.00102
1.57E+06,0.000286,0.000489,0.00119
1.70E+06,0.000626,0.00112,0.00119
1.84E+06,0.000151,0.000278,0.00101
1.97E+06,0.00127,0.000736,0.00144
2.10E+06,0.0012,0,0.000886
2.36E+06,0.000756,0,0.00189
2.62E+06,0.00108,0.00337,0.00143
