X Lag Time,Record 1: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No3_230706 1,Record 2: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No3_230706 2,Record 3: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No3_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No3_230706 1,Record 2: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No3_230706 2,Record 3: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No3_230706 3
0.5,0.845,0.849,0.845,0.4,0,0,0
1,0.829,0.836,0.83,0.463,0,0,0
1.5,0.812,0.818,0.811,0.536,0,0,0
2,0.792,0.797,0.793,0.621,0,0,0
2.5,0.775,0.778,0.775,0.719,0,0,0
3,0.758,0.76,0.759,0.833,0,0,0
3.5,0.74,0.746,0.743,0.965,0,0,0
4,0.724,0.728,0.724,1.12,0,0,0
4.5,0.71,0.713,0.708,1.29,0,0,0
5.5,0.677,0.682,0.678,1.5,0,0,0
6.5,0.648,0.654,0.648,1.74,0,0,0
7.5,0.619,0.625,0.62,2.01,0,0,0
8.5,0.594,0.598,0.595,2.33,0,0,0
9.5,0.568,0.571,0.567,2.7,0,0,0
10.5,0.542,0.548,0.543,3.12,0,0,0
11.5,0.52,0.525,0.52,3.62,0,0,0
12.5,0.498,0.503,0.498,4.19,0,0,0
14.5,0.456,0.46,0.456,4.85,0,0,0
16.5,0.417,0.423,0.418,5.61,0,0,0
18.5,0.382,0.388,0.385,6.5,0,0,0
20.5,0.351,0.355,0.353,7.53,0,0,0.0668
22.5,0.322,0.326,0.323,8.72,1.87,2.29,2.6
24.5,0.294,0.299,0.296,10.1,6.71,7,7.31
26.5,0.269,0.274,0.272,11.7,12.8,12.5,12.6
28.5,0.248,0.252,0.25,13.5,17.8,16.8,16.7
32.5,0.209,0.213,0.21,15.7,19.7,18.5,18.3
36.5,0.176,0.18,0.177,18.2,18,17.1,16.9
40.5,0.148,0.152,0.15,21,13.3,13.3,13.1
44.5,0.125,0.129,0.127,24.4,7.42,8.19,8.12
48.5,0.106,0.109,0.107,28.2,2.46,3.57,3.56
52.5,0.0892,0.0933,0.0906,32.7,0,0.726,0.733
56.5,0.0749,0.0784,0.0763,37.8,0,0,0
60.5,0.0641,0.068,0.0654,43.8,0,0,0
68.5,0.0458,0.0494,0.0474,50.7,0,0,0
76.5,0.0336,0.0364,0.0352,58.8,0,0,0
84.5,0.0247,0.0273,0.0265,68.1,0,0,0
92.5,0.0181,0.0208,0.02,78.8,0,0,0
101,0.0137,0.0152,0.0159,91.3,0,0,0
109,0.0106,0.0119,0.0121,106,0,0,0
117,0.00775,0.00862,0.00878,122,0,0,0
125,0.00584,0.00725,0.00686,142,0,0,0
141,0.00272,0.00442,0.00393,164,0,0,0
157,0.000942,0.00262,0.00239,190,0,0,0
173,0.00044,0.00217,0.00208,220,0,0,0
189,0.000105,0.0017,0.00151,255,0,0,0
205,0,0.0015,0.00146,295,0,0,0
221,0.000466,0.0013,0.000351,342,0,0,0
237,0.000498,0.0014,0.000483,396,0,0,0
253,0.000824,0.00121,0.00021,459,0,0,0
285,0.00144,0.00144,0.000116,531,0,0,0
317,0.00142,0.00113,0.000158,615,0,0,0
349,0.000532,0.000826,0.000775,712,0,0,0
381,0.000299,0.000471,0.000864,825,0,0,0
413,0.0005,7.57E-05,0.000789,955,0,0,0
445,0.0015,0.000712,0.0015,1.11E+03,0,0,0
477,0.00133,0.000324,0.000515,1.28E+03,0,0,0
509,0.000776,0.000799,0.000804,1.48E+03,0,0,0
573,0.000858,0.000609,0.000969,1.72E+03,0,0,0
637,0.000697,0.000456,0.00085,1.99E+03,0,0,0
701,0.00127,0.00119,0.000836,2.30E+03,0,0,0
765,0,0.000653,0.00115,2.67E+03,0,0,0
829,0.000212,0.000371,0.00124,3.09E+03,0,0,0
893,0.00021,0.000452,0.000979,3.58E+03,0,0,0
957,0.00162,0.00131,0.00093,4.15E+03,0,0,0
1.02E+03,0.00164,0.00116,0.000193,4.80E+03,0,0,0
1.15E+03,0.000171,0.000717,0,5.56E+03,0,0,0
1.28E+03,0.000214,0.000536,0.000637,6.44E+03,0,0,0
1.40E+03,0.000301,0.000533,0.000593,7.46E+03,0,0,0
1.53E+03,0.000534,0.00104,0.000167,8.63E+03,0,0,0
1.66E+03,4.70E-05,0.000721,0.0013,,,,
1.79E+03,0,0.000654,0.00135,,,,
1.92E+03,0.0007,0.000942,0.00141,,,,
2.04E+03,0.000814,0.000829,0.0015,,,,
2.30E+03,0.000368,0.00129,0.000472,,,,
2.56E+03,0.000524,0.00133,0.000222,,,,
2.81E+03,0.000516,0.00032,0.000146,,,,
3.07E+03,0.000344,0.000112,0.000688,,,,
3.32E+03,0.000319,0.000502,0.00075,,,,
3.58E+03,0.000264,0.00018,0.000552,,,,
3.84E+03,9.42E-05,0.000249,0.000765,,,,
4.09E+03,0.000217,0.00032,0.000782,,,,
4.60E+03,0.000255,0.000777,0.000401,,,,
5.12E+03,9.10E-05,0.000795,0.000372,,,,
5.63E+03,3.02E-05,0.000112,0.000764,,,,
6.14E+03,0.000518,0.000314,0.000549,,,,
6.65E+03,0.000756,0.000986,0.000343,,,,
7.16E+03,0.000123,0.000384,0.000554,,,,
7.68E+03,0.000912,0.00048,0.000524,,,,
8.19E+03,0.000994,0.000542,0.000363,,,,
9.21E+03,0.000479,0.000265,8.71E-05,,,,
1.02E+04,0.00037,0.000286,0.000455,,,,
1.13E+04,0.000108,0.000137,0.000125,,,,
1.23E+04,0.000139,0,4.85E-05,,,,
1.33E+04,6.65E-05,0.000111,0.000415,,,,
1.43E+04,0.000258,0.000368,0.000106,,,,
1.54E+04,0.000158,0.0003,0.000409,,,,
1.64E+04,0.000124,0.000314,0.000159,,,,
1.84E+04,0.000432,0.000112,4.85E-05,,,,
2.05E+04,0.000471,9.78E-05,0,,,,
2.25E+04,0.000128,0.000166,0.000118,,,,
2.46E+04,0.000339,0.000114,0.000102,,,,
2.66E+04,0.000136,0.000666,0,,,,
2.87E+04,0.000519,0.000417,7.36E-05,,,,
3.07E+04,5.39E-05,0.000262,0.000388,,,,
3.28E+04,0.000143,0.000125,0.000213,,,,
3.69E+04,9.72E-05,7.66E-05,2.05E-05,,,,
4.10E+04,3.49E-05,0.000181,5.55E-06,,,,
4.51E+04,0.000185,0,0.000108,,,,
4.91E+04,0.000245,0.000195,0.000137,,,,
5.32E+04,0.000172,0.000119,0.000185,,,,
5.73E+04,1.86E-05,0.000161,0.00015,,,,
6.14E+04,0.000233,8.12E-05,0.000263,,,,
6.55E+04,2.28E-05,1.77E-05,0.000249,,,,
7.37E+04,0.000155,0.000175,0.000124,,,,
8.19E+04,0.000197,0.000234,0.000236,,,,
9.01E+04,0.000101,4.39E-05,0.000212,,,,
9.83E+04,5.28E-05,2.05E-07,0.000122,,,,
1.06E+05,0.000166,0.00013,0.000101,,,,
1.15E+05,0.000236,9.33E-05,0.000254,,,,
1.23E+05,0.000158,3.80E-05,0.000234,,,,
1.31E+05,0,0.000262,0.000104,,,,
1.47E+05,2.78E-05,0.000286,0.000101,,,,
