X Lag Time,Record 22: L4 1,Record 23: L4 2,Record 24: L4 3
0.5,0.837,0.843,0.843
1,0.839,0.846,0.848
1.5,0.838,0.844,0.843
2,0.835,0.841,0.841
2.5,0.832,0.84,0.841
3,0.831,0.839,0.837
3.5,0.829,0.836,0.837
4,0.828,0.836,0.834
4.5,0.827,0.834,0.833
5.5,0.824,0.83,0.83
6.5,0.821,0.827,0.827
7.5,0.818,0.824,0.824
8.5,0.814,0.821,0.821
9.5,0.813,0.818,0.818
10.5,0.809,0.815,0.815
11.5,0.808,0.813,0.813
12.5,0.805,0.811,0.81
14.5,0.801,0.805,0.805
16.5,0.796,0.801,0.801
18.5,0.792,0.795,0.796
20.5,0.788,0.791,0.792
22.5,0.783,0.787,0.788
24.5,0.779,0.783,0.783
26.5,0.775,0.778,0.779
28.5,0.771,0.774,0.775
32.5,0.764,0.766,0.767
36.5,0.757,0.759,0.759
40.5,0.75,0.751,0.752
44.5,0.743,0.744,0.745
48.5,0.737,0.738,0.738
52.5,0.731,0.731,0.732
56.5,0.725,0.725,0.726
60.5,0.719,0.719,0.72
68.5,0.708,0.707,0.708
76.5,0.698,0.696,0.697
84.5,0.688,0.685,0.687
92.5,0.678,0.675,0.677
101,0.668,0.665,0.667
109,0.66,0.656,0.658
117,0.651,0.646,0.648
125,0.642,0.637,0.639
141,0.625,0.619,0.622
157,0.61,0.602,0.605
173,0.594,0.586,0.589
189,0.58,0.57,0.573
205,0.565,0.555,0.558
221,0.552,0.54,0.544
237,0.538,0.526,0.53
253,0.525,0.512,0.516
285,0.5,0.485,0.491
317,0.476,0.46,0.466
349,0.454,0.437,0.443
381,0.433,0.414,0.422
413,0.413,0.394,0.401
445,0.394,0.375,0.382
477,0.376,0.356,0.364
509,0.359,0.339,0.347
573,0.328,0.307,0.315
637,0.299,0.278,0.287
701,0.274,0.252,0.261
765,0.25,0.229,0.239
829,0.229,0.209,0.218
893,0.21,0.19,0.2
957,0.193,0.174,0.183
1.02E+03,0.178,0.159,0.168
1.15E+03,0.15,0.131,0.142
1.28E+03,0.127,0.109,0.12
1.40E+03,0.107,0.0918,0.103
1.53E+03,0.0911,0.0781,0.0892
1.66E+03,0.0775,0.0663,0.0774
1.79E+03,0.0661,0.0563,0.0672
1.92E+03,0.0565,0.048,0.0583
2.04E+03,0.0494,0.0416,0.0513
2.30E+03,0.0363,0.0315,0.039
2.56E+03,0.0276,0.0246,0.0302
2.81E+03,0.0214,0.0187,0.0237
3.07E+03,0.0176,0.0135,0.0185
3.32E+03,0.0147,0.0098,0.0154
3.58E+03,0.012,0.00613,0.0124
3.84E+03,0.0109,0.00407,0.00932
4.09E+03,0.0107,0.0047,0.00716
4.60E+03,0.0101,0.00517,0.00539
5.12E+03,0.00698,0.00436,0.00547
5.63E+03,0.00483,0.0043,0.00508
6.14E+03,0.00371,0.00429,0.00357
6.65E+03,0.00245,0.00524,0.00219
7.16E+03,0.00144,0.00618,0.0024
7.68E+03,0.00137,0.00582,0.00356
8.19E+03,0.00311,0.00553,0.00437
9.21E+03,0.00591,0.00366,0.00286
1.02E+04,0.0073,0.00311,0.00138
1.13E+04,0.00643,0.00217,0.000481
1.23E+04,0.00393,0.00228,0.00116
1.33E+04,0.00379,0.002,0.00294
1.43E+04,0.00497,0.00238,0.00606
1.54E+04,0.00502,0.00465,0.00736
1.64E+04,0.00551,0.00571,0.00633
1.84E+04,0.00389,0.00534,0.00306
2.05E+04,0.00339,0.00203,0.00552
2.25E+04,0.00436,0.00131,0.00531
2.46E+04,0.00504,0.00299,0.00157
2.66E+04,0.00414,0.00405,0.000159
2.87E+04,0.00257,0.00309,0.000398
3.07E+04,0.00192,0.000356,0.000728
3.28E+04,0.00435,0.00186,0.00163
3.69E+04,0.00378,0.00139,0.0042
4.10E+04,0.00113,0.00134,0.00279
4.51E+04,0.00212,0.00536,0.00575
4.91E+04,0.00393,0.00307,0.0033
5.32E+04,0.00374,0.00295,0.00212
5.73E+04,0.00647,0.00311,0.00364
6.14E+04,0.00553,0.00155,0.00324
6.55E+04,0.00344,0.00158,0.00177
7.37E+04,0.00334,0.00277,0.00188
8.19E+04,0.00332,0.00099,0.002
9.01E+04,0.00497,0.00174,0.00239
