X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_ST_No2_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_ST_No2_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_ST_No2_230626 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_ST_No2_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_ST_No2_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_ST_No2_230626 3
0.5,0.853,0.847,0.857,0.4,0,0,0
1,0.847,0.841,0.852,0.463,0,0,0
1.5,0.837,0.831,0.842,0.536,0,0,0
2,0.827,0.825,0.833,0.621,0,0,0
2.5,0.821,0.815,0.828,0.719,0,0,0
3,0.81,0.807,0.815,0.833,0,0,0
3.5,0.805,0.8,0.808,0.965,0,0,0
4,0.795,0.795,0.8,1.12,0,0,0
4.5,0.789,0.785,0.791,1.29,0,0,0
5.5,0.776,0.77,0.778,1.5,0,0,0
6.5,0.76,0.757,0.764,1.74,0,0,0
7.5,0.749,0.743,0.75,2.01,0,0,0
8.5,0.735,0.729,0.738,2.33,0,0,0
9.5,0.723,0.719,0.725,2.7,0,0,0
10.5,0.709,0.708,0.713,3.12,0,0,0
11.5,0.699,0.697,0.7,3.62,0,0,0
12.5,0.686,0.684,0.689,4.19,0,0,0
14.5,0.667,0.664,0.667,4.85,0,0,0
16.5,0.647,0.644,0.647,5.61,0,0,0
18.5,0.628,0.625,0.628,6.5,0,0,0
20.5,0.609,0.608,0.61,7.53,0,0,0
22.5,0.592,0.592,0.593,8.72,0,0,0.416
24.5,0.578,0.576,0.576,10.1,4.26,3.55,4.19
26.5,0.563,0.563,0.562,11.7,9.98,9.42,8.89
28.5,0.55,0.548,0.547,13.5,12.8,12.7,11.2
32.5,0.523,0.524,0.523,15.7,10.6,10.6,9.63
36.5,0.501,0.502,0.5,18.2,5.17,4.68,5.32
40.5,0.481,0.482,0.479,21,0.562,0,1.28
44.5,0.463,0.464,0.462,24.4,0,0,0
48.5,0.448,0.447,0.446,28.2,0,0,0
52.5,0.432,0.434,0.43,32.7,0,0,0
56.5,0.419,0.42,0.417,37.8,0,0,0
60.5,0.408,0.409,0.405,43.8,0,0,0
68.5,0.387,0.389,0.385,50.7,0,0,0
76.5,0.371,0.372,0.369,58.8,0,0,0
84.5,0.358,0.359,0.355,68.1,0,0,0
92.5,0.345,0.347,0.343,78.8,0,0,0
101,0.335,0.337,0.334,91.3,0,0,0
109,0.328,0.328,0.326,106,0,0,0
117,0.32,0.322,0.319,122,0,0,0
125,0.314,0.316,0.312,142,0,0,0
141,0.303,0.305,0.302,164,0,0,0
157,0.296,0.296,0.293,190,0,0,0
173,0.289,0.29,0.287,220,0,0,0
189,0.282,0.284,0.281,255,0,0,0
205,0.277,0.278,0.275,295,0.019,0,0.002
221,0.273,0.274,0.271,342,2.07,0.837,1.14
237,0.269,0.27,0.267,396,5.46,3.72,3.25
253,0.264,0.266,0.263,459,8.66,7.47,5.62
285,0.257,0.258,0.254,531,10.4,10.4,7.55
317,0.25,0.252,0.247,615,10.1,11.5,8.56
349,0.244,0.245,0.242,712,8.07,10.3,8.48
381,0.237,0.239,0.235,825,5.12,7.57,7.42
413,0.23,0.231,0.228,955,2.33,4.24,5.73
445,0.224,0.224,0.221,1.11E+03,0.539,1.5,3.81
477,0.218,0.217,0.216,1.28E+03,0,0.0971,2.07
509,0.211,0.211,0.211,1.48E+03,0,0,0.814
573,0.199,0.198,0.199,1.72E+03,0,0,0.157
637,0.189,0.187,0.189,1.99E+03,0,0,0
701,0.179,0.176,0.177,2.30E+03,0,0,0
765,0.17,0.166,0.169,2.67E+03,0,0,0
829,0.161,0.154,0.161,3.09E+03,0,0,0.0538
893,0.153,0.146,0.154,3.58E+03,0,0,0.32
957,0.146,0.138,0.144,4.15E+03,0.218,0,0.8
1.02E+03,0.138,0.131,0.137,4.80E+03,1.12,0.285,1.38
1.15E+03,0.124,0.117,0.123,5.56E+03,2.51,1.1,1.89
1.28E+03,0.112,0.104,0.112,6.44E+03,0,0,0
1.40E+03,0.102,0.0933,0.101,7.46E+03,0,0,0
1.53E+03,0.0914,0.0858,0.0918,8.63E+03,0,0,0
1.66E+03,0.0836,0.0785,0.0844,,,,
1.79E+03,0.0783,0.0706,0.0781,,,,
1.92E+03,0.0726,0.0644,0.0693,,,,
2.04E+03,0.0675,0.0591,0.064,,,,
2.30E+03,0.0598,0.0521,0.0564,,,,
2.56E+03,0.0529,0.044,0.0481,,,,
2.81E+03,0.0474,0.0404,0.0423,,,,
3.07E+03,0.0424,0.0354,0.0367,,,,
3.32E+03,0.0393,0.0339,0.0327,,,,
3.58E+03,0.0371,0.0304,0.0283,,,,
3.84E+03,0.0347,0.0287,0.0255,,,,
4.09E+03,0.0316,0.0272,0.0225,,,,
4.60E+03,0.0275,0.0204,0.0182,,,,
5.12E+03,0.0241,0.0155,0.0166,,,,
5.63E+03,0.019,0.0123,0.0134,,,,
6.14E+03,0.0165,0.0114,0.00866,,,,
6.65E+03,0.0131,0.0104,0.00672,,,,
7.16E+03,0.0122,0.00928,0.00576,,,,
7.68E+03,0.0113,0.00921,0.00382,,,,
8.19E+03,0.0095,0.00851,0.00394,,,,
9.21E+03,0.0082,0.00765,0.0042,,,,
1.02E+04,0.0103,0.00499,0.00331,,,,
1.13E+04,0.0119,0.00279,0.00393,,,,
1.23E+04,0.0122,0.00477,0.00363,,,,
1.33E+04,0.0105,0.00883,0.00592,,,,
1.43E+04,0.00739,0.00714,0.00299,,,,
1.54E+04,0.00706,0.00464,0.00153,,,,
1.64E+04,0.00596,0.00311,0.00277,,,,
1.84E+04,0.0053,0.00348,0.00274,,,,
2.05E+04,0.0027,0.00862,0.00113,,,,
2.25E+04,0.00315,0.00939,0.00183,,,,
2.46E+04,0.00642,0.00784,0.00365,,,,
2.66E+04,0.00928,0.00853,0.00295,,,,
