X Lag Time,Record 19: L12 1,Record 20: L12 2,Record 21: L12 3
0.5,0.854,0.87,0.857
1,0.848,0.862,0.846
1.5,0.836,0.85,0.835
2,0.827,0.843,0.821
2.5,0.821,0.834,0.817
3,0.811,0.827,0.807
3.5,0.804,0.816,0.799
4,0.798,0.812,0.794
4.5,0.79,0.807,0.784
5.5,0.776,0.791,0.771
6.5,0.764,0.78,0.759
7.5,0.753,0.767,0.746
8.5,0.744,0.757,0.734
9.5,0.733,0.747,0.723
10.5,0.721,0.737,0.713
11.5,0.712,0.727,0.703
12.5,0.704,0.719,0.694
14.5,0.686,0.701,0.675
16.5,0.669,0.685,0.658
18.5,0.655,0.67,0.641
20.5,0.64,0.657,0.626
22.5,0.626,0.641,0.611
24.5,0.614,0.629,0.6
26.5,0.602,0.616,0.586
28.5,0.59,0.606,0.575
32.5,0.57,0.585,0.553
36.5,0.55,0.565,0.533
40.5,0.533,0.551,0.516
44.5,0.517,0.536,0.501
48.5,0.504,0.522,0.486
52.5,0.491,0.509,0.474
56.5,0.479,0.497,0.463
60.5,0.468,0.487,0.452
68.5,0.45,0.469,0.434
76.5,0.435,0.454,0.418
84.5,0.421,0.441,0.405
92.5,0.41,0.43,0.393
101,0.4,0.42,0.383
109,0.391,0.412,0.375
117,0.383,0.404,0.366
125,0.376,0.397,0.36
141,0.363,0.385,0.347
157,0.352,0.373,0.336
173,0.342,0.363,0.326
189,0.332,0.355,0.316
205,0.325,0.346,0.307
221,0.317,0.338,0.299
237,0.31,0.33,0.292
253,0.303,0.322,0.285
285,0.289,0.308,0.271
317,0.276,0.296,0.258
349,0.264,0.283,0.246
381,0.253,0.272,0.234
413,0.242,0.26,0.223
445,0.233,0.251,0.213
477,0.223,0.241,0.204
509,0.215,0.232,0.195
573,0.198,0.215,0.179
637,0.182,0.2,0.164
701,0.169,0.185,0.152
765,0.157,0.173,0.14
829,0.147,0.16,0.129
893,0.137,0.149,0.119
957,0.128,0.14,0.11
1.02E+03,0.12,0.132,0.103
1.15E+03,0.106,0.117,0.0895
1.28E+03,0.0937,0.104,0.0768
1.40E+03,0.0825,0.0922,0.0664
1.53E+03,0.0737,0.0824,0.0581
