X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_ST_No1_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_ST_No1_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_ST_No1_230626 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_ST_No1_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_ST_No1_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_ST_No1_230626 3
0.5,0.886,0.874,0.882,0.4,0,0,0
1,0.874,0.863,0.874,0.463,0,0,0
1.5,0.857,0.856,0.862,0.536,0,0,0
2,0.852,0.847,0.856,0.621,0,0,0
2.5,0.846,0.847,0.849,0.719,0,0,0
3,0.842,0.83,0.843,0.833,0,0,0
3.5,0.841,0.829,0.843,0.965,0,0,0
4,0.831,0.831,0.83,1.12,0,0,0
4.5,0.827,0.824,0.826,1.29,0,0,0
5.5,0.818,0.811,0.819,1.5,0,0,0
6.5,0.813,0.805,0.808,1.74,0,0,0
7.5,0.799,0.791,0.799,2.01,0,0,0
8.5,0.789,0.783,0.791,2.33,0,0,0
9.5,0.784,0.774,0.785,2.7,0,0,0
10.5,0.773,0.772,0.776,3.12,0,0,0
11.5,0.767,0.756,0.77,3.62,0,0,0
12.5,0.759,0.751,0.76,4.19,0,0,0
14.5,0.741,0.739,0.745,4.85,0,0,0
16.5,0.731,0.724,0.733,5.61,0,0,0
18.5,0.718,0.711,0.72,6.5,0,0,0
20.5,0.706,0.698,0.705,7.53,0,0,0
22.5,0.693,0.688,0.693,8.72,0.08,0,0
24.5,0.681,0.678,0.684,10.1,2.79,1.55,2.54
26.5,0.671,0.668,0.673,11.7,6.28,4.87,6.37
28.5,0.661,0.659,0.664,13.5,7.76,7.29,8.07
32.5,0.643,0.638,0.644,15.7,6,6.79,6.12
36.5,0.627,0.623,0.631,18.2,2.41,3.76,2.27
40.5,0.613,0.607,0.613,21,0,0.701,0
44.5,0.596,0.595,0.601,24.4,0,0,0
48.5,0.585,0.582,0.585,28.2,0,0,0
52.5,0.573,0.568,0.579,32.7,0,0,0
56.5,0.563,0.562,0.566,37.8,0,0,0
60.5,0.553,0.552,0.558,43.8,0,0,0
68.5,0.537,0.534,0.54,50.7,0,0,0
76.5,0.523,0.521,0.526,58.8,0,0,0
84.5,0.509,0.511,0.514,68.1,0,0,0
92.5,0.5,0.498,0.503,78.8,0,0,0
101,0.489,0.488,0.493,91.3,0,0,0
109,0.481,0.479,0.485,106,0,0,0
117,0.474,0.473,0.479,122,0,0,0
125,0.467,0.465,0.471,142,0,0,0
141,0.455,0.454,0.46,164,0,0,0
