X Lag Time,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No2_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No2_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No2_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No2_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No2_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No2_230706 3
0.5,0.807,0.805,0.829,0.4,0,0,0
1,0.795,0.793,0.819,0.463,0,0,0
1.5,0.78,0.782,0.804,0.536,0,0,0
2,0.765,0.766,0.785,0.621,0,0,0
2.5,0.751,0.752,0.772,0.719,0,0,0
3,0.739,0.741,0.758,0.833,0,0,0
3.5,0.725,0.728,0.742,0.965,0,0,0
4,0.712,0.714,0.729,1.12,0,0,0
4.5,0.7,0.702,0.716,1.29,0,0,0
5.5,0.675,0.678,0.688,1.5,0,0,0
6.5,0.651,0.656,0.662,1.74,0,0,0
7.5,0.629,0.636,0.64,2.01,0,0,0
8.5,0.606,0.614,0.616,2.33,0,0,0
9.5,0.585,0.594,0.594,2.7,0,0,0
10.5,0.565,0.574,0.573,3.12,0,0,0
11.5,0.546,0.556,0.553,3.62,0,0,0
12.5,0.527,0.537,0.534,4.19,0,0,0
14.5,0.493,0.503,0.497,4.85,0,0,0
16.5,0.461,0.472,0.464,5.61,0,0,0
18.5,0.43,0.443,0.431,6.5,0,0,0
20.5,0.403,0.417,0.402,7.53,0,0,0
22.5,0.378,0.392,0.376,8.72,1.2,0,1.5
24.5,0.353,0.368,0.351,10.1,4.65,3.36,5.17
26.5,0.331,0.347,0.327,11.7,9.38,9.34,9.88
28.5,0.312,0.327,0.306,13.5,13.7,15.2,14
32.5,0.275,0.292,0.268,15.7,16.2,18.6,16.2
36.5,0.244,0.26,0.236,18.2,16,18,15.8
40.5,0.217,0.233,0.208,21,13.4,14,13.2
44.5,0.192,0.209,0.184,24.4,9.19,8.16,9.15
48.5,0.172,0.189,0.164,28.2,4.78,2.93,4.89
52.5,0.154,0.171,0.145,32.7,1.47,0.125,1.62
56.5,0.139,0.155,0.131,37.8,0,0,0.0543
60.5,0.125,0.141,0.117,43.8,0,0,0
68.5,0.103,0.118,0.0946,50.7,0,0,0
