X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_ST_No2_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_ST_No2_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_ST_No2_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_ST_No2_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_ST_No2_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_ST_No2_230705 3
0.5,0.869,0.875,0.874,0.4,0,0,0
1,0.865,0.866,0.87,0.463,0,0,0
1.5,0.856,0.86,0.857,0.536,0,0,0
2,0.843,0.848,0.852,0.621,0,0,0
2.5,0.836,0.843,0.842,0.719,0,0,0
3,0.833,0.835,0.835,0.833,0,0,0
3.5,0.829,0.831,0.83,0.965,0,0,0
4,0.818,0.824,0.825,1.12,0,0,0
4.5,0.811,0.818,0.82,1.29,0,0,0
5.5,0.799,0.805,0.805,1.5,0,0,0
6.5,0.784,0.794,0.793,1.74,0,0,0
7.5,0.773,0.78,0.781,2.01,0,0,0
8.5,0.763,0.77,0.77,2.33,0,0,0
9.5,0.754,0.761,0.76,2.7,0,0,0
10.5,0.743,0.75,0.751,3.12,0,0,0
11.5,0.73,0.74,0.743,3.62,0,0,0
12.5,0.72,0.729,0.731,4.19,0,0,0
14.5,0.699,0.711,0.713,4.85,0,0,0
16.5,0.681,0.694,0.695,5.61,0,0,0
18.5,0.662,0.676,0.678,6.5,0,0,0
20.5,0.645,0.658,0.661,7.53,0,0,0
22.5,0.631,0.646,0.646,8.72,0,0,0
24.5,0.615,0.627,0.631,10.1,0.655,0.0145,0
26.5,0.601,0.616,0.617,11.7,5.02,5.53,3.63
28.5,0.588,0.602,0.605,13.5,10.3,11.7,9.93
32.5,0.564,0.579,0.581,15.7,12.6,13.2,13.2
36.5,0.543,0.557,0.559,18.2,10,8.87,10.5
40.5,0.522,0.539,0.54,21,4.37,2.71,4.27
44.5,0.503,0.522,0.521,24.4,0,0,0
48.5,0.487,0.505,0.505,28.2,0,0,0
52.5,0.472,0.491,0.491,32.7,0,0,0
56.5,0.46,0.478,0.478,37.8,0,0,0
60.5,0.448,0.467,0.465,43.8,0,0,0
68.5,0.426,0.446,0.444,50.7,0,0,0
76.5,0.408,0.428,0.427,58.8,0,0,0
84.5,0.392,0.414,0.412,68.1,0,0,0
92.5,0.379,0.401,0.399,78.8,0,0,0
101,0.367,0.39,0.388,91.3,0,0,0
109,0.358,0.382,0.378,106,0,0,0
117,0.35,0.372,0.371,122,0,0,0
125,0.343,0.366,0.364,142,0,0,0
141,0.332,0.355,0.352,164,0,0,0
157,0.324,0.346,0.343,190,0,0,0
173,0.315,0.34,0.335,220,0,0,0
189,0.308,0.333,0.328,255,0,0,0
205,0.303,0.326,0.322,295,0,0,0
221,0.298,0.322,0.317,342,0,0,0
237,0.293,0.318,0.313,396,0.0601,1.87,0.707
253,0.289,0.314,0.309,459,2.99,6,3.69
285,0.282,0.306,0.301,531,7.56,10.2,7.64
317,0.276,0.299,0.294,615,11.4,12.3,10.6
349,0.27,0.291,0.288,712,12.7,11.3,11.4
381,0.263,0.284,0.282,825,11,8.04,9.75
413,0.258,0.277,0.277,955,7.35,4.01,6.57
445,0.252,0.271,0.272,1.11E+03,3.32,1.02,3.17
477,0.245,0.266,0.265,1.28E+03,0.651,0,0.805
509,0.239,0.261,0.258,1.48E+03,0,0,0
573,0.229,0.25,0.245,1.72E+03,0,0,0
637,0.219,0.239,0.236,1.99E+03,0,0,0
701,0.21,0.229,0.226,2.30E+03,0,0,0
765,0.2,0.22,0.216,2.67E+03,0,0,0
829,0.191,0.212,0.208,3.09E+03,0,0,0
893,0.183,0.201,0.2,3.58E+03,0,0,0
957,0.174,0.192,0.193,4.15E+03,0,0,0.14
1.02E+03,0.167,0.183,0.185,4.80E+03,0,0.677,1.16
1.15E+03,0.151,0.168,0.171,5.56E+03,0,2.52,2.86
1.28E+03,0.137,0.154,0.154,6.44E+03,0,0,0
1.40E+03,0.126,0.141,0.143,7.46E+03,0,0,0
1.53E+03,0.115,0.131,0.134,8.63E+03,0,0,0
1.66E+03,0.105,0.122,0.123,,,,
1.79E+03,0.0969,0.113,0.115,,,,
