X Lag Time,Record 16: L3 1,Record 17: L3 2,Record 18: L3 3
0.5,0.873,0.854,0.862
1,0.866,0.848,0.856
1.5,0.863,0.843,0.854
2,0.857,0.841,0.85
2.5,0.858,0.837,0.849
3,0.855,0.837,0.847
3.5,0.852,0.835,0.846
4,0.85,0.834,0.843
4.5,0.849,0.83,0.839
5.5,0.845,0.826,0.84
6.5,0.842,0.822,0.835
7.5,0.842,0.821,0.829
8.5,0.838,0.819,0.83
9.5,0.834,0.814,0.826
10.5,0.829,0.813,0.823
11.5,0.829,0.809,0.82
12.5,0.826,0.806,0.818
14.5,0.821,0.801,0.812
16.5,0.817,0.796,0.809
18.5,0.813,0.793,0.802
20.5,0.808,0.788,0.799
22.5,0.803,0.782,0.794
24.5,0.798,0.779,0.791
26.5,0.797,0.774,0.787
28.5,0.792,0.77,0.782
32.5,0.783,0.764,0.776
36.5,0.777,0.755,0.768
40.5,0.77,0.749,0.76
44.5,0.762,0.741,0.753
48.5,0.757,0.734,0.746
52.5,0.75,0.728,0.74
56.5,0.745,0.722,0.733
60.5,0.738,0.716,0.727
68.5,0.727,0.704,0.716
76.5,0.717,0.693,0.704
84.5,0.706,0.682,0.692
92.5,0.696,0.671,0.683
101,0.686,0.66,0.672
109,0.675,0.651,0.662
117,0.667,0.64,0.653
125,0.658,0.632,0.643
141,0.64,0.614,0.625
157,0.623,0.596,0.607
173,0.606,0.579,0.59
189,0.591,0.563,0.575
205,0.576,0.548,0.559
221,0.561,0.533,0.544
237,0.547,0.517,0.528
253,0.533,0.504,0.515
285,0.507,0.477,0.488
317,0.482,0.452,0.462
349,0.458,0.428,0.438
381,0.436,0.405,0.416
413,0.415,0.384,0.395
445,0.396,0.364,0.376
477,0.377,0.346,0.357
509,0.36,0.328,0.34
573,0.329,0.296,0.307
637,0.3,0.267,0.279
701,0.274,0.243,0.253
765,0.251,0.22,0.23
829,0.23,0.2,0.209
893,0.21,0.182,0.19
957,0.193,0.166,0.173
1.02E+03,0.177,0.152,0.158
1.15E+03,0.15,0.126,0.132
1.28E+03,0.127,0.105,0.112
1.40E+03,0.109,0.0876,0.0946
1.53E+03,0.0933,0.0732,0.0796
1.66E+03,0.0801,0.0615,0.0668
1.79E+03,0.0684,0.0519,0.0561
1.92E+03,0.0589,0.0434,0.0479
2.04E+03,0.0514,0.0366,0.0412
2.30E+03,0.039,0.026,0.0294
