X Lag Time,Record 46: L16 1,Record 47: L16 2,Record 48: L16 3
0.5,0.854,0.861,0.863
1,0.851,0.858,0.861
1.5,0.842,0.851,0.852
2,0.838,0.845,0.847
2.5,0.83,0.838,0.838
3,0.826,0.832,0.837
3.5,0.822,0.827,0.83
4,0.815,0.823,0.825
4.5,0.81,0.819,0.82
5.5,0.801,0.809,0.811
6.5,0.792,0.799,0.8
7.5,0.784,0.792,0.792
8.5,0.776,0.783,0.785
9.5,0.769,0.778,0.778
10.5,0.763,0.769,0.769
11.5,0.754,0.763,0.761
12.5,0.747,0.755,0.755
14.5,0.734,0.744,0.743
16.5,0.723,0.731,0.73
18.5,0.711,0.72,0.718
20.5,0.7,0.709,0.708
22.5,0.69,0.699,0.698
24.5,0.679,0.69,0.687
26.5,0.67,0.681,0.678
28.5,0.662,0.672,0.67
32.5,0.645,0.655,0.654
36.5,0.63,0.641,0.639
40.5,0.616,0.628,0.625
44.5,0.604,0.615,0.613
48.5,0.593,0.605,0.601
52.5,0.582,0.594,0.591
56.5,0.571,0.585,0.582
60.5,0.563,0.576,0.573
68.5,0.547,0.561,0.558
76.5,0.533,0.547,0.544
84.5,0.521,0.535,0.531
92.5,0.51,0.525,0.52
101,0.5,0.515,0.51
109,0.491,0.506,0.502
117,0.483,0.498,0.494
125,0.476,0.491,0.486
141,0.462,0.477,0.472
157,0.45,0.465,0.459
173,0.439,0.453,0.448
189,0.428,0.443,0.437
205,0.418,0.433,0.427
221,0.408,0.423,0.417
237,0.399,0.414,0.407
253,0.39,0.405,0.398
285,0.373,0.388,0.381
317,0.357,0.372,0.364
349,0.342,0.357,0.349
381,0.328,0.342,0.335
413,0.314,0.329,0.322
445,0.301,0.316,0.309
477,0.289,0.304,0.296
509,0.278,0.293,0.285
573,0.256,0.271,0.264
637,0.237,0.251,0.243
701,0.219,0.233,0.225
765,0.203,0.217,0.208
829,0.188,0.203,0.193
893,0.175,0.19,0.179
957,0.162,0.177,0.167
1.02E+03,0.152,0.166,0.156
1.15E+03,0.133,0.145,0.135
1.28E+03,0.116,0.129,0.118
1.40E+03,0.102,0.115,0.105
1.53E+03,0.0911,0.102,0.093
1.66E+03,0.0818,0.0924,0.0831
1.79E+03,0.0736,0.0833,0.0737
1.92E+03,0.0664,0.0746,0.0657
2.04E+03,0.0598,0.0672,0.0589
2.30E+03,0.0486,0.0544,0.0479
2.56E+03,0.0397,0.0446,0.0413
2.81E+03,0.0333,0.0373,0.036
3.07E+03,0.0285,0.0313,0.0318
3.32E+03,0.0256,0.028,0.0295
3.58E+03,0.0217,0.0255,0.0267
3.84E+03,0.0185,0.0228,0.0256
4.09E+03,0.0166,0.0207,0.0241
4.60E+03,0.0137,0.0186,0.0214
5.12E+03,0.012,0.018,0.0195
5.63E+03,0.0132,0.0146,0.0157
6.14E+03,0.0147,0.0139,0.0136
6.65E+03,0.0156,0.0152,0.0138
7.16E+03,0.0154,0.0158,0.0127
7.68E+03,0.0147,0.0175,0.0124
8.19E+03,0.0146,0.0172,0.0125
9.21E+03,0.0126,0.0164,0.0127
1.02E+04,0.0108,0.015,0.0137
1.13E+04,0.00976,0.0159,0.0136
1.23E+04,0.0124,0.0182,0.0109
1.33E+04,0.0125,0.0138,0.0117
1.43E+04,0.0139,0.0101,0.0123
1.54E+04,0.0114,0.0135,0.0121
1.64E+04,0.0117,0.0147,0.0136
1.84E+04,0.0104,0.0158,0.0133
2.05E+04,0.00911,0.0159,0.0101
2.25E+04,0.00995,0.0124,0.00893
2.46E+04,0.0117,0.0102,0.00995
2.66E+04,0.0111,0.00942,0.00836
2.87E+04,0.00874,0.0129,0.00848
3.07E+04,0.00804,0.014,0.01
3.28E+04,0.00904,0.0128,0.0104
3.69E+04,0.00863,0.0119,0.00985
4.10E+04,0.00744,0.0139,0.0101
4.51E+04,0.00959,0.013,0.00973
4.91E+04,0.0125,0.0121,0.00984
5.32E+04,0.00803,0.0128,0.00737
5.73E+04,0.00992,0.0113,0.00924
6.14E+04,0.0089,0.0105,0.0115
6.55E+04,0.00958,0.00865,0.0102
7.37E+04,0.00878,0.0118,0.00738
8.19E+04,0.00797,0.0098,0.00919
9.01E+04,0.00892,0.0114,0.00798
9.83E+04,0.00981,0.00986,0.00768
1.06E+05,0.00717,0.0104,0.00871
1.15E+05,0.00641,0.011,0.00714
1.23E+05,0.00758,0.00833,0.00918
1.31E+05,0.00859,0.01,0.00858
1.47E+05,0.00674,0.00813,0.00693
1.64E+05,0.00687,0.00973,0.00819
1.80E+05,0.00772,0.00908,0.00476
1.97E+05,0.00755,0.00833,0.00652
2.13E+05,0.0058,0.00816,0.00581
2.29E+05,0.00672,0.00858,0.00865
2.46E+05,0.00616,0.00985,0.00783
2.62E+05,0.005,0.00765,0.00516
2.95E+05,0.00473,0.0073,0.0037
3.28E+05,0.0045,0.00791,0.00312
3.60E+05,0.00349,0.00713,0.00365
3.93E+05,0.00422,0.006,0.00219
4.26E+05,0.00345,0.005,0.00254
4.59E+05,0.00264,0.0063,0.00244
4.92E+05,0.00321,0.00583,0.00171
5.24E+05,0.00355,0.00632,0.0011
5.90E+05,0.00239,0.00608,0.0016
6.55E+05,0.00159,0.00517,0.000714
7.21E+05,0.00184,0.00432,0.00126
7.86E+05,0.00203,0.00253,0.00021
8.52E+05,0.000897,0.00292,0.000123
9.18E+05,0.00128,0.00249,0.000207
9.83E+05,0.0013,0.00264,0.000529
1.05E+06,0.00123,0.00315,0.000602
1.18E+06,0.00111,0.00261,0.000561
1.31E+06,7.62E-05,0.00265,0.00155
1.44E+06,0.00081,0.00179,0.00104
1.57E+06,0.000146,0.00213,0.00209
1.70E+06,0,0.00107,0.00129
1.84E+06,0.000175,0.00185,0.00254
1.97E+06,0,0.000406,0.00253
2.10E+06,0.00193,7.71E-05,0.000464
2.36E+06,0.0039,1.20E-05,0.00191
2.62E+06,0.00375,0.00021,0.000909
2.88E+06,0.00512,0.000901,0.000443
3.15E+06,0.00109,0.00035,0.000818
3.41E+06,0.00119,0.00122,0.00165
3.67E+06,0.000716,0.000317,0.000758
3.93E+06,0.00107,0.000509,0.000121
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
