X Lag Time,Record 61: K16 1,Record 62: K16 2,Record 63: K16 3
0.5,0.844,0.839,0.845
1,0.832,0.826,0.832
1.5,0.814,0.811,0.815
2,0.799,0.794,0.799
2.5,0.785,0.78,0.783
3,0.771,0.765,0.769
3.5,0.757,0.75,0.754
4,0.743,0.735,0.74
4.5,0.73,0.722,0.725
5.5,0.703,0.695,0.699
6.5,0.678,0.67,0.673
7.5,0.655,0.647,0.651
8.5,0.632,0.624,0.627
9.5,0.61,0.603,0.605
10.5,0.59,0.581,0.584
11.5,0.571,0.561,0.564
12.5,0.552,0.543,0.545
14.5,0.517,0.507,0.509
16.5,0.484,0.474,0.477
18.5,0.454,0.444,0.447
20.5,0.427,0.417,0.419
22.5,0.401,0.392,0.393
24.5,0.379,0.369,0.37
26.5,0.357,0.348,0.349
28.5,0.338,0.328,0.33
32.5,0.303,0.294,0.295
36.5,0.273,0.265,0.266
40.5,0.248,0.239,0.241
44.5,0.226,0.218,0.22
48.5,0.206,0.2,0.201
52.5,0.19,0.183,0.185
56.5,0.175,0.17,0.171
60.5,0.163,0.158,0.16
68.5,0.143,0.139,0.141
76.5,0.128,0.124,0.125
84.5,0.116,0.112,0.113
92.5,0.106,0.103,0.105
101,0.099,0.095,0.0973
109,0.0931,0.0893,0.0915
117,0.088,0.0845,0.0868
125,0.084,0.0811,0.0834
141,0.0777,0.0757,0.0778
157,0.0732,0.0715,0.0734
173,0.0699,0.0686,0.0701
189,0.0677,0.0668,0.0675
205,0.0655,0.0644,0.0655
221,0.0635,0.063,0.0643
237,0.0621,0.0608,0.0624
253,0.0609,0.0591,0.0612
285,0.0584,0.0565,0.0592
317,0.0562,0.0542,0.0573
349,0.0541,0.0527,0.0546
381,0.0514,0.0505,0.0526
413,0.0497,0.048,0.0516
445,0.0481,0.0464,0.0498
477,0.0471,0.0455,0.0473
509,0.0462,0.0435,0.0456
573,0.043,0.0401,0.043
637,0.0396,0.0378,0.0404
701,0.0362,0.0363,0.0374
765,0.0338,0.0328,0.0347
829,0.0322,0.0304,0.0328
893,0.0305,0.0285,0.0307
957,0.028,0.0267,0.0298
1.02E+03,0.0263,0.0256,0.0288
1.15E+03,0.0236,0.0226,0.0253
1.28E+03,0.0208,0.0206,0.0225
1.40E+03,0.0191,0.0187,0.0193
1.53E+03,0.0164,0.0167,0.0176
1.66E+03,0.014,0.0144,0.0159
1.79E+03,0.0133,0.0136,0.0142
