X Lag Time,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No1_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No1_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No1_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No1_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No1_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_ST_No1_230706 3
0.5,0.845,0.842,0.841,0.4,0,0,0
1,0.831,0.83,0.829,0.463,0,0,0
1.5,0.813,0.809,0.813,0.536,0,0,0
2,0.795,0.792,0.793,0.621,0,0,0
2.5,0.78,0.776,0.779,0.719,0,0,0
3,0.764,0.761,0.762,0.833,0,0,0
3.5,0.749,0.743,0.747,0.965,0,0,0
4,0.734,0.73,0.73,1.12,0,0,0
4.5,0.718,0.714,0.716,1.29,0,0,0
5.5,0.689,0.687,0.687,1.5,0,0,0
6.5,0.662,0.658,0.66,1.74,0,0,0
7.5,0.635,0.631,0.634,2.01,0,0,0
8.5,0.611,0.607,0.61,2.33,0,0,0
9.5,0.586,0.583,0.584,2.7,0,0,0
10.5,0.564,0.56,0.563,3.12,0,0,0
11.5,0.542,0.537,0.539,3.62,0,0,0
12.5,0.52,0.515,0.518,4.19,0,0,0
14.5,0.481,0.477,0.479,4.85,0,0,0
16.5,0.443,0.439,0.441,5.61,0,0,0
18.5,0.409,0.406,0.407,6.5,0,0,0
20.5,0.379,0.375,0.377,7.53,0.0587,0.596,0.206
22.5,0.35,0.347,0.348,8.72,2.07,2.91,2.46
24.5,0.323,0.321,0.322,10.1,5.82,6.52,6.38
26.5,0.299,0.297,0.298,11.7,10.2,10.4,10.7
28.5,0.277,0.275,0.276,13.5,13.8,13.5,14.2
32.5,0.237,0.236,0.237,15.7,15.8,15.1,15.9
36.5,0.203,0.203,0.204,18.2,15.8,14.9,15.5
40.5,0.175,0.175,0.176,21,13.9,13.2,13.3
44.5,0.151,0.151,0.151,24.4,10.7,10.3,9.93
48.5,0.13,0.13,0.13,28.2,6.97,6.95,6.23
52.5,0.112,0.113,0.114,32.7,3.59,3.86,3.02
56.5,0.0979,0.0979,0.0985,37.8,1.2,1.56,0.879
60.5,0.0852,0.0855,0.0873,43.8,0.0942,0.315,0
68.5,0.0649,0.0658,0.0674,50.7,0,0,0
76.5,0.0502,0.0511,0.052,58.8,0,0,0
84.5,0.039,0.0398,0.0404,68.1,0,0,0
92.5,0.03,0.0307,0.0321,78.8,0,0,0
101,0.0236,0.0239,0.0251,91.3,0,0,0
109,0.0185,0.0185,0.0206,106,0,0,0
117,0.0154,0.0143,0.0163,122,0,0,0
125,0.0128,0.0113,0.0135,142,0,0,0
141,0.00976,0.00737,0.00958,164,0,0,0
157,0.00715,0.00508,0.00705,190,0,0,0
173,0.00506,0.00291,0.00444,220,0,0,0
189,0.0037,0.00171,0.00366,255,0,0,0
205,0.0038,0.00159,0.00342,295,0,0,0
221,0.00414,0.00175,0.00262,342,0,0,0
237,0.00357,0.00201,0.00214,396,0,0,0
253,0.0028,0.00191,0.00237,459,0,0,0
285,0.00209,0.00134,0.00164,531,0,0,0
317,0.00188,0.00161,0.00247,615,0,0,0
349,0.0011,0.0022,0.00281,712,0,0,0
381,0.00131,0.00393,0.00224,825,0,0,0
413,0.00246,0.00364,0.00226,955,0,0,0
445,0.00206,0.00372,0.00316,1.11E+03,0,0,0
477,0.0021,0.00418,0.00185,1.28E+03,0,0,0
509,0.00137,0.00365,0.00105,1.48E+03,0,0,0
573,0.00105,0.00146,0.000679,1.72E+03,0,0,0
637,0.000178,0.00102,0.00079,1.99E+03,0,0,0
701,0.00121,0.00131,0,2.30E+03,0,0,0
765,0.00141,0.00176,0.00114,2.67E+03,0,0,0.0262
829,0.00159,0.00214,0.00157,3.09E+03,0,0,0.0891
893,0.000811,0.00113,0.00132,3.58E+03,0,0,0.181
957,0.000875,0.00126,0.000623,4.15E+03,0,0,0.283
1.02E+03,0.00118,0.00123,0.000887,4.80E+03,0,0,0.371
1.15E+03,0.00145,0.000999,0.000647,5.56E+03,0,0,0.422
1.28E+03,0.000195,0.000902,0.000441,6.44E+03,0,0,0
1.40E+03,0.000703,0.00105,0.00143,7.46E+03,0,0,0
1.53E+03,0.00155,0.000547,0.000582,8.63E+03,0,0,0
1.66E+03,0.00141,0.000164,0.00207,,,,
1.79E+03,0.00182,0.000801,0.00155,,,,
1.92E+03,0.000172,0.00122,8.11E-05,,,,
2.04E+03,0.000483,0.00148,0.000488,,,,
2.30E+03,0.000687,0.000303,0.000794,,,,
2.56E+03,0.00102,6.24E-05,0.000991,,,,
2.81E+03,0.000819,0.000454,0.00136,,,,
3.07E+03,9.47E-05,0.000102,0.000778,,,,
3.32E+03,0.00045,0.000503,0.000971,,,,
3.58E+03,3.16E-05,0.000144,0.000761,,,,
3.84E+03,0.00105,0.000837,0.00068,,,,
4.09E+03,0.000575,0.000764,5.64E-05,,,,
4.60E+03,0.000506,0.000385,0.000744,,,,
5.12E+03,0.00101,0,0.000262,,,,
5.63E+03,0.000804,0.000501,0.000194,,,,
6.14E+03,0.000983,0.000393,0.000411,,,,
6.65E+03,0.000256,1.35E-05,6.05E-05,,,,
7.16E+03,0.000744,0.00125,0.000745,,,,
7.68E+03,0.000395,0.000783,0.000521,,,,
8.19E+03,0.000488,0.000745,0.000336,,,,
9.21E+03,0.000103,0.00083,0.000655,,,,
1.02E+04,0.000303,0.000676,0.00057,,,,
1.13E+04,0.000112,0.000308,0.000154,,,,
1.23E+04,0.000561,0.000175,0.000576,,,,
1.33E+04,9.46E-05,0.000343,0.000313,,,,
1.43E+04,0.000449,0.000218,0.000651,,,,
1.54E+04,0.000229,0.000377,0.0005,,,,
1.64E+04,0.000157,0.000263,0.00016,,,,
1.84E+04,0.0002,0,0.000178,,,,
2.05E+04,5.64E-05,0.000154,0.000615,,,,
2.25E+04,0.00017,0.000185,0.000687,,,,
2.46E+04,0.000274,0.000216,0.000239,,,,
2.66E+04,0.000356,0.000161,0.000419,,,,
2.87E+04,8.67E-05,3.15E-05,0.000537,,,,
3.07E+04,0.000161,0.000284,0.000374,,,,
3.28E+04,0.000158,0.000275,0.000256,,,,
3.69E+04,0.000119,0.000471,0.000194,,,,
4.10E+04,0.00046,0.000182,1.58E-05,,,,
4.51E+04,0.000137,0.00053,0.000254,,,,
4.91E+04,0.000175,0.000127,5.62E-05,,,,
5.32E+04,0.000361,0.000278,0.000175,,,,
5.73E+04,0.000253,4.01E-05,0.000378,,,,
6.14E+04,2.48E-05,0.000142,0.000199,,,,
6.55E+04,0.000268,0.000223,0.000311,,,,
7.37E+04,0.000212,0.000343,0.000346,,,,
8.19E+04,0.000335,0.000236,0.000234,,,,
9.01E+04,0.000395,0.000245,0.000106,,,,
9.83E+04,0.000341,0.000355,0.000467,,,,
1.06E+05,0.000389,0.000294,0.000201,,,,
1.15E+05,0.000233,0.000203,0.000121,,,,
1.23E+05,0.000391,0.000108,0.000111,,,,
1.31E+05,0.000184,0.000175,0.000191,,,,
1.47E+05,0.000101,0.000121,0.000164,,,,
1.64E+05,1.78E-05,0.000221,0.000281,,,,
1.80E+05,0.000162,0.000219,0,,,,
1.97E+05,5.62E-05,0.00011,8.63E-05,,,,
2.13E+05,9.13E-05,0.000123,2.10E-05,,,,
2.29E+05,5.44E-05,6.25E-05,0.000161,,,,
2.46E+05,0.000134,7.12E-05,6.46E-05,,,,
2.62E+05,9.91E-05,0.000374,0.000406,,,,
2.95E+05,0.000363,0.000315,0.000268,,,,
3.28E+05,9.83E-05,0.000152,0.000198,,,,
3.60E+05,0.000315,0.000173,0.000125,,,,
3.93E+05,0.000197,0.000119,0.000255,,,,
4.26E+05,0.000285,0.000368,0.000182,,,,
4.59E+05,0.000294,0.000181,0.000462,,,,
4.92E+05,0.000618,0.000198,0.000232,,,,
5.24E+05,7.76E-05,7.18E-05,0.000151,,,,
5.90E+05,1.71E-05,3.98E-05,0.000148,,,,
6.55E+05,0,6.27E-06,0.000152,,,,
7.21E+05,2.28E-05,0.000139,0.000145,,,,
7.86E+05,0,0.000389,8.27E-05,,,,
8.52E+05,9.45E-06,0.000177,0.000158,,,,
9.18E+05,0.00021,0.000324,6.90E-05,,,,
9.83E+05,0.00015,0.000132,5.76E-05,,,,
1.05E+06,0,0.000164,0.000118,,,,
1.18E+06,0.000112,0.000304,0.000125,,,,
1.31E+06,0.000246,0.000364,0.000269,,,,
1.44E+06,1.45E-05,0.00027,0.000173,,,,
1.57E+06,0.000469,0.000586,8.24E-05,,,,
1.70E+06,0.00013,0.000357,0.00033,,,,
1.84E+06,6.58E-05,0.000472,0.000675,,,,
1.97E+06,8.11E-05,0.000324,0.000148,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
