X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_ST_No3_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_ST_No3_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_ST_No3_230626 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_ST_No3_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_ST_No3_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_ST_No3_230626 3
0.5,0.852,0.85,0.858,0.4,0,0,0
1,0.854,0.852,0.858,0.463,0,0,0
1.5,0.848,0.845,0.85,0.536,0,0,0
2,0.841,0.839,0.846,0.621,0,0,0
2.5,0.834,0.832,0.838,0.719,0,0,0
3,0.831,0.828,0.833,0.833,0,0,0
3.5,0.825,0.822,0.829,0.965,0,0,0
4,0.82,0.815,0.824,1.12,0,0,0
4.5,0.816,0.811,0.818,1.29,0,0,0
5.5,0.806,0.802,0.809,1.5,0,0,0
6.5,0.796,0.793,0.799,1.74,0,0,0
7.5,0.788,0.784,0.792,2.01,0,0,0
8.5,0.779,0.776,0.782,2.33,0,0,0
9.5,0.771,0.768,0.773,2.7,0,0,0
10.5,0.764,0.759,0.766,3.12,0,0,0
11.5,0.756,0.751,0.759,3.62,0,0,0
12.5,0.747,0.744,0.752,4.19,0,0,0
14.5,0.733,0.73,0.737,4.85,0,0,0
16.5,0.72,0.717,0.722,5.61,0,0,0
18.5,0.707,0.703,0.71,6.5,0,0,0
20.5,0.695,0.691,0.697,7.53,0,0,0
22.5,0.683,0.68,0.686,8.72,0.235,0,0
24.5,0.672,0.669,0.675,10.1,3.45,2.58,2.18
26.5,0.662,0.658,0.664,11.7,6.87,6.04,5.93
28.5,0.653,0.648,0.654,13.5,7.44,7.41,7.84
32.5,0.635,0.63,0.636,15.7,4.74,5.59,6.21
36.5,0.619,0.613,0.619,18.2,1.25,2.16,2.53
40.5,0.604,0.598,0.604,21,0,0,0
44.5,0.591,0.585,0.589,24.4,0,0,0
48.5,0.578,0.573,0.576,28.2,0,0,0
52.5,0.567,0.562,0.566,32.7,0,0,0
56.5,0.558,0.551,0.556,37.8,0,0,0
60.5,0.549,0.542,0.546,43.8,0,0,0
68.5,0.533,0.526,0.529,50.7,0,0,0
76.5,0.52,0.511,0.514,58.8,0,0,0
84.5,0.507,0.499,0.502,68.1,0,0,0
92.5,0.497,0.489,0.492,78.8,0,0,0
101,0.487,0.479,0.483,91.3,0,0,0
109,0.48,0.471,0.475,106,0,0,0
117,0.471,0.464,0.467,122,0,0,0
125,0.465,0.457,0.46,142,0,0,0
141,0.454,0.445,0.449,164,0,0,0
157,0.443,0.436,0.438,190,0,0,0
173,0.434,0.426,0.43,220,0,0,0
189,0.425,0.418,0.421,255,0.578,0.00652,0.0283
205,0.417,0.409,0.413,295,3.08,1.47,1.57
221,0.41,0.401,0.406,342,6.68,4.18,4.36
237,0.403,0.394,0.398,396,9.99,7.26,7.49
253,0.395,0.387,0.391,459,11.9,9.81,9.99
285,0.382,0.374,0.378,531,11.9,11.2,11.3
317,0.369,0.362,0.365,615,10.2,11.3,11.1
349,0.356,0.349,0.353,712,7.46,10.1,9.6
381,0.343,0.337,0.341,825,4.46,8,7.3
413,0.331,0.326,0.331,955,1.98,5.56,4.75
445,0.321,0.315,0.32,1.11E+03,0.484,3.24,2.49
477,0.31,0.305,0.31,1.28E+03,0,1.45,0.897
509,0.301,0.295,0.3,1.48E+03,0,0.382,0.126
573,0.281,0.275,0.281,1.72E+03,0,0,0
637,0.263,0.256,0.264,1.99E+03,0,0,0
701,0.246,0.24,0.248,2.30E+03,0,0,0
765,0.23,0.224,0.233,2.67E+03,0,0,0
829,0.215,0.21,0.218,3.09E+03,0.139,0,0.0194
893,0.203,0.196,0.205,3.58E+03,0.611,0.104,0.27
957,0.191,0.183,0.193,4.15E+03,1.38,0.367,0.767
1.02E+03,0.179,0.173,0.182,4.80E+03,2.24,0.733,1.39
1.15E+03,0.157,0.153,0.161,5.56E+03,2.94,1.09,1.95
1.28E+03,0.14,0.136,0.144,6.44E+03,0,0,0
1.40E+03,0.126,0.12,0.129,7.46E+03,0,0,0
1.53E+03,0.115,0.107,0.116,8.63E+03,0,0,0
1.66E+03,0.104,0.095,0.104,,,,
1.79E+03,0.0936,0.0858,0.0939,,,,
1.92E+03,0.0858,0.0773,0.084,,,,
2.04E+03,0.0791,0.07,0.0767,,,,
2.30E+03,0.069,0.0566,0.0629,,,,
2.56E+03,0.0596,0.0461,0.0529,,,,
2.81E+03,0.0519,0.0377,0.0451,,,,
3.07E+03,0.0435,0.0317,0.0393,,,,
3.32E+03,0.0368,0.027,0.0358,,,,
3.58E+03,0.0312,0.0247,0.0319,,,,
3.84E+03,0.0268,0.0211,0.0289,,,,
4.09E+03,0.0243,0.0181,0.0254,,,,
4.60E+03,0.02,0.012,0.0174,,,,
5.12E+03,0.015,0.00941,0.0128,,,,
5.63E+03,0.0128,0.00703,0.00995,,,,
6.14E+03,0.0115,0.00611,0.007,,,,
6.65E+03,0.00825,0.00473,0.00519,,,,
7.16E+03,0.00951,0.00502,0.00599,,,,
7.68E+03,0.0101,0.00486,0.00555,,,,
8.19E+03,0.0101,0.00518,0.00461,,,,
9.21E+03,0.00719,0.00398,0.00337,,,,
1.02E+04,0.0046,0.00199,0.0045,,,,
1.13E+04,0.00161,0.00238,0.00392,,,,
1.23E+04,0.00336,0.00302,0.00454,,,,
1.33E+04,0.00431,0.00182,0.00412,,,,
1.43E+04,0.00517,0.00114,0.00381,,,,
1.54E+04,0.00701,0.00069,0.00474,,,,
1.64E+04,0.0067,0.00201,0.00368,,,,
1.84E+04,0.00709,0.00542,0.00465,,,,
2.05E+04,0.00592,0.00567,0.00422,,,,
2.25E+04,0.00613,0.00486,0.00152,,,,
2.46E+04,0.00356,0.00232,0.000538,,,,
2.66E+04,0.00286,0.00104,0.00425,,,,
2.87E+04,0.00245,0.00147,0.00163,,,,
3.07E+04,0.00488,0.00177,0.00149,,,,
3.28E+04,0.00595,0.00088,0.000464,,,,
3.69E+04,0.00524,0.00231,0.000458,,,,
4.10E+04,0.00322,0.00337,0.00287,,,,
4.51E+04,0.000906,0.00162,0.00386,,,,
4.91E+04,0.00588,0.00625,0.00189,,,,
5.32E+04,0.00344,0.00504,0.00117,,,,
5.73E+04,0.00395,0.00161,0.00227,,,,
6.14E+04,0.00717,0.00585,0.00266,,,,
6.55E+04,0.00605,0.00395,0.00418,,,,
7.37E+04,0.00316,0.00365,0.00288,,,,
8.19E+04,0.00124,0.000742,0.00191,,,,
9.01E+04,0.000166,0.00136,0.00357,,,,
9.83E+04,0.0037,0.00402,0.000899,,,,
1.06E+05,0.00253,0.00215,2.06E-05,,,,
1.15E+05,0.00166,0.002,0.00257,,,,
1.23E+05,0.00322,0.00484,0.000583,,,,
1.31E+05,0.00038,0.00288,0.00116,,,,
1.47E+05,0.00197,0.00167,0.00284,,,,
1.64E+05,0.00166,0.00135,0.00175,,,,
1.80E+05,0.000836,0.00146,0.00166,,,,
1.97E+05,0.0015,0.00175,0.00242,,,,
2.13E+05,0.000589,0.00142,0.00235,,,,
2.29E+05,0.000563,0,0.00201,,,,
2.46E+05,0.00022,0.000729,0.00237,,,,
2.62E+05,0.00209,0.00115,0.00054,,,,
2.95E+05,0.0038,0.00274,0.000174,,,,
3.28E+05,0.000984,0.00111,0.000177,,,,
3.60E+05,0.00152,0.00266,0,,,,
3.93E+05,0.00231,0.0008,2.18E-05,,,,
4.26E+05,0.000537,0.000195,0,,,,
4.59E+05,0.000849,5.09E-05,0.000759,,,,
4.92E+05,0.0031,0.000687,0.00131,,,,
5.24E+05,0.00156,0.00043,0.00303,,,,
5.90E+05,0.000698,0.00193,0.00223,,,,
6.55E+05,0.00113,0.000518,0.00212,,,,
7.21E+05,0.000623,0.0012,0.00254,,,,
7.86E+05,0.00288,0,0.00309,,,,
8.52E+05,0.00159,0.000477,0.00133,,,,
9.18E+05,0.00194,0.000227,0.000832,,,,
9.83E+05,0.00136,0.000729,0.00282,,,,
1.05E+06,0.000807,0.00115,0.000843,,,,
1.18E+06,0.00089,0.00166,0.00235,,,,
1.31E+06,0.00163,0.00142,0.000958,,,,
1.44E+06,0.000803,0.000604,0.000303,,,,
1.57E+06,0.000785,0.00127,0.000495,,,,
1.70E+06,0.00177,0.00155,0.00151,,,,
1.84E+06,0.00348,0.000459,0.00312,,,,
1.97E+06,0.00779,0.00113,0.00353,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
