X Lag Time,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No2_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No2_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No2_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No2_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No2_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No2_230706 3
0.5,0.841,0.839,0.843,0.4,0,0,0
1,0.827,0.824,0.829,0.463,0,0,0
1.5,0.81,0.808,0.81,0.536,0,0,0
2,0.79,0.789,0.794,0.621,0,0,0
2.5,0.777,0.772,0.777,0.719,0,0,0
3,0.761,0.759,0.76,0.833,0,0,0
3.5,0.741,0.743,0.743,0.965,0,0,0
4,0.729,0.728,0.728,1.12,0,0,0
4.5,0.714,0.712,0.713,1.29,0,0,0
5.5,0.686,0.681,0.683,1.5,0,0,0
6.5,0.658,0.653,0.657,1.74,0,0,0
7.5,0.63,0.628,0.629,2.01,0,0,0
8.5,0.607,0.602,0.604,2.33,0,0,0
9.5,0.582,0.578,0.579,2.7,0,0,0
10.5,0.559,0.554,0.555,3.12,0,0,0
11.5,0.536,0.532,0.532,3.62,0,0,0
12.5,0.516,0.51,0.512,4.19,0,0,0
14.5,0.477,0.471,0.471,4.85,0,0,0
16.5,0.441,0.435,0.435,5.61,0,0,0
18.5,0.406,0.401,0.402,6.5,0,0,0
20.5,0.375,0.369,0.369,7.53,0,0.605,0.892
22.5,0.346,0.341,0.34,8.72,1.83,2.92,3.36
24.5,0.322,0.315,0.314,10.1,5.83,6.56,6.91
26.5,0.298,0.291,0.29,11.7,10.7,10.5,10.6
28.5,0.275,0.269,0.268,13.5,14.7,13.6,13.4
32.5,0.236,0.229,0.229,15.7,16.8,15.3,14.8
36.5,0.202,0.196,0.196,18.2,16.4,15.1,14.6
40.5,0.174,0.168,0.169,21,13.9,13.2,12.8
44.5,0.15,0.144,0.145,24.4,9.95,10.2,10
48.5,0.129,0.125,0.125,28.2,5.79,6.78,6.81
52.5,0.113,0.107,0.108,32.7,2.43,3.63,3.83
56.5,0.0976,0.0916,0.0935,37.8,0.501,1.36,1.59
60.5,0.0851,0.0802,0.0812,43.8,0,0.21,0.345
68.5,0.0654,0.0611,0.061,50.7,0,0,0
76.5,0.051,0.0472,0.0467,58.8,0,0,0
84.5,0.0408,0.0366,0.0359,68.1,0,0,0
92.5,0.0321,0.0288,0.0283,78.8,0,0,0
101,0.0259,0.023,0.0228,91.3,0,0,0
109,0.0205,0.0184,0.0182,106,0,0,0
117,0.0168,0.0155,0.0145,122,0,0,0
125,0.0141,0.0131,0.0125,142,0,0,0
141,0.0111,0.00977,0.00887,164,0,0,0
157,0.00825,0.00779,0.00623,190,0,0,0
173,0.00613,0.00548,0.0048,220,0,0,0
189,0.00454,0.00466,0.00346,255,0,0,0
205,0.00372,0.00385,0.00262,295,0,0,0
221,0.00322,0.0032,0.00206,342,0,0,0
237,0.00274,0.00265,0.00124,396,0,0,0
253,0.00274,0.00202,0.000487,459,0,0,0
285,0.0026,0.00154,0.000725,531,0,0,0
317,0.00339,0.00112,0.000382,615,0,0,0
349,0.003,0.00151,0.000987,712,0,0,0
381,0.00257,0.00209,0.000885,825,0,0,0
413,0.00167,0.00148,0.000538,955,0,0,0
445,0.00256,0.0011,0.000444,1.11E+03,0,0,0
477,0.00293,0.00181,0.00064,1.28E+03,0,0,0
509,0.00162,0.00171,0.000433,1.48E+03,0,0,0
573,0.00248,0.00132,0.000618,1.72E+03,0,0,0
637,0.0026,0.000552,0.000523,1.99E+03,0,0,0
701,0.00193,0,0.00123,2.30E+03,0,0,0
765,0.00206,0.00123,0.000868,2.67E+03,0,0,0
829,0.00157,0.000298,0.000886,3.09E+03,0.0321,0,0
893,0.00222,0.000697,0.00166,3.58E+03,0.111,0,0
957,0.0015,0.00122,0.00195,4.15E+03,0.222,0,0
