X Lag Time,Record 1: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No1_230706 1,Record 2: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No1_230706 2,Record 3: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No1_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No1_230706 1,Record 2: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No1_230706 2,Record 3: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No1_230706 3
0.5,0.843,0.838,0.84,0.4,0,0,0
1,0.831,0.824,0.824,0.463,0,0,0
1.5,0.811,0.808,0.805,0.536,0,0,0
2,0.792,0.788,0.787,0.621,0,0,0
2.5,0.771,0.77,0.771,0.719,0,0,0
3,0.756,0.751,0.753,0.833,0,0,0
3.5,0.74,0.736,0.737,0.965,0,0,0
4,0.722,0.72,0.719,1.12,0,0,0
4.5,0.708,0.704,0.704,1.29,0,0,0
5.5,0.677,0.673,0.673,1.5,0,0,0
6.5,0.648,0.643,0.644,1.74,0,0,0
7.5,0.619,0.614,0.615,2.01,0,0,0
8.5,0.594,0.59,0.59,2.33,0,0,0
9.5,0.569,0.564,0.564,2.7,0,0,0
10.5,0.544,0.541,0.54,3.12,0,0,0
11.5,0.521,0.517,0.516,3.62,0,0,0
12.5,0.497,0.495,0.494,4.19,0,0,0
14.5,0.456,0.453,0.452,4.85,0,0,0
16.5,0.418,0.415,0.414,5.61,0,0,0
18.5,0.383,0.381,0.379,6.5,0,0,0
20.5,0.351,0.348,0.348,7.53,0,0,0
22.5,0.322,0.318,0.318,8.72,0.263,1.65,1.92
24.5,0.295,0.293,0.292,10.1,5.21,6.52,6.86
26.5,0.27,0.268,0.267,11.7,12.9,12.9,13.1
28.5,0.248,0.246,0.246,13.5,19.6,18.1,18
32.5,0.208,0.207,0.207,15.7,22.1,20,19.8
36.5,0.175,0.174,0.174,18.2,19.5,18.2,17.9
40.5,0.147,0.146,0.146,21,13.2,13.2,13
44.5,0.124,0.124,0.123,24.4,6.03,7.2,7.1
48.5,0.105,0.104,0.103,28.2,1.18,2.28,2.25
52.5,0.0891,0.088,0.0873,32.7,0,0,0
56.5,0.0753,0.0748,0.073,37.8,0,0,0
60.5,0.0642,0.0641,0.0625,43.8,0,0,0
68.5,0.0452,0.0469,0.0443,50.7,0,0,0
76.5,0.0324,0.0339,0.0322,58.8,0,0,0
84.5,0.0238,0.0252,0.0236,68.1,0,0,0
92.5,0.0163,0.0195,0.0178,78.8,0,0,0
101,0.0118,0.0149,0.0134,91.3,0,0,0
109,0.00874,0.012,0.0106,106,0,0,0
117,0.00619,0.00982,0.00762,122,0,0,0
125,0.00513,0.00828,0.00511,142,0,0,0
141,0.0031,0.0053,0.0026,164,0,0,0
157,0.0023,0.00311,0.00251,190,0,0,0
173,0.00236,0.00291,0.00206,220,0,0,0
189,0.00215,0.00281,0.00157,255,0,0,0
205,0.00145,0.00175,0.00151,295,0,0,0
221,0.0015,0.00117,0.00153,342,0,0,0
237,0.00148,0.00128,0.00158,396,0,0,0
253,0.00149,0.00128,0.000931,459,0,0,0
285,0.000443,0.000532,0.00161,531,0,0,0
317,0.000158,0.000547,0.00161,615,0,0,0
349,0.000361,0.000643,0.000849,712,0,0,0
381,0.000284,0.000782,0.000513,825,0,0,0
413,0.00135,0.000331,0.000205,955,0,0,0
445,0.00128,8.77E-05,0.000363,1.11E+03,0,0,0
477,0.000914,0.000697,0.000571,1.28E+03,0,0,0
509,0.0012,0.000676,0.000324,1.48E+03,0,0,0
573,0.00111,0.000215,0.000116,1.72E+03,0,0,0
637,0.00137,0.000661,0,1.99E+03,0,0,0
701,0.00274,0.000142,0.000228,2.30E+03,0,0,0
765,0.00103,0.00112,0.000109,2.67E+03,0,0,0
829,0.000373,0.00108,0.000705,3.09E+03,0,0,0
893,0.000609,0.000764,0.000351,3.58E+03,0,0,0
957,0.000244,0.00131,0.000343,4.15E+03,0,0,0
1.02E+03,0.00101,0.00128,0.000329,4.80E+03,0,0,0
1.15E+03,0.000394,0.00109,0.000908,5.56E+03,0,0,0
1.28E+03,0.00105,0.0008,0.00016,6.44E+03,0,0,0
1.40E+03,0.000702,0.000957,0.000427,7.46E+03,0,0,0
1.53E+03,0.000672,0.00128,0.00025,8.63E+03,0,0,0
1.66E+03,0.000696,0.000282,0.000399,,,,
1.79E+03,0.000424,0.000859,0.000678,,,,
1.92E+03,0.00121,0.00022,0.000742,,,,
2.04E+03,0.000975,0.00041,0.000744,,,,
2.30E+03,0.000563,0.000561,0.000158,,,,
2.56E+03,0.000347,0.000641,0.000723,,,,
2.81E+03,0.000452,0.000924,0.000658,,,,
3.07E+03,0.000441,0,0.000164,,,,
3.32E+03,0.000659,0.000245,0.000656,,,,
3.58E+03,0.000222,5.66E-05,0.000991,,,,
3.84E+03,0.000481,0,0.000693,,,,
4.09E+03,0.000313,0.000225,0.000429,,,,
4.60E+03,0.000911,5.29E-06,8.89E-05,,,,
5.12E+03,0.000411,4.62E-06,3.78E-05,,,,
5.63E+03,0.000428,0.000685,0.000961,,,,
6.14E+03,2.53E-05,0.0007,0.000157,,,,
6.65E+03,0.00044,0.00011,2.99E-05,,,,
7.16E+03,0.000518,9.89E-05,0.00045,,,,
7.68E+03,0.000444,2.27E-05,0.000198,,,,
8.19E+03,0.000225,0.000621,4.25E-05,,,,
9.21E+03,0.000231,0.000168,0.000473,,,,
1.02E+04,0.000153,0,0.000123,,,,
1.13E+04,0.000175,0.000171,0.000159,,,,
1.23E+04,0.000129,0.000175,0.000514,,,,
1.33E+04,0.000208,0.000244,9.72E-05,,,,
1.43E+04,0.000134,0.000365,0.000592,,,,
1.54E+04,0.000179,0.000165,0.000443,,,,
1.64E+04,7.25E-05,0.000179,9.13E-05,,,,
1.84E+04,0.000113,0.000206,0.000382,,,,
2.05E+04,8.66E-05,0.000429,0.000271,,,,
2.25E+04,6.53E-05,1.84E-05,0.000192,,,,
2.46E+04,3.99E-05,0.000227,0.000189,,,,
2.66E+04,3.03E-05,0.000238,0.000372,,,,
2.87E+04,3.13E-05,0.000341,0.000356,,,,
3.07E+04,0.000374,0.00041,3.92E-05,,,,
3.28E+04,0.000338,0.000209,0.000189,,,,
3.69E+04,6.47E-06,0.000124,0.000279,,,,
4.10E+04,6.30E-05,0.000105,5.54E-05,,,,
4.51E+04,9.80E-05,0.00031,0.000141,,,,
4.91E+04,0.000101,8.72E-05,0.000182,,,,
5.32E+04,0.000149,2.08E-05,8.26E-05,,,,
5.73E+04,1.53E-05,0.000153,4.80E-05,,,,
6.14E+04,0.000163,0.000109,0.000252,,,,
6.55E+04,7.17E-05,0.000159,0.000236,,,,
7.37E+04,2.29E-05,1.35E-05,7.47E-05,,,,
8.19E+04,0.000292,0.00024,0.00015,,,,
9.01E+04,0.00023,0.000115,0.00016,,,,
9.83E+04,0.000215,0.000109,8.65E-05,,,,
1.06E+05,0.000244,5.57E-05,0.000111,,,,
1.15E+05,0,0.000272,0.000218,,,,
1.23E+05,0.000154,4.58E-05,8.34E-06,,,,
1.31E+05,0.000126,6.63E-05,6.13E-05,,,,
1.47E+05,0.000178,0.000139,2.06E-05,,,,
1.64E+05,0,9.46E-06,3.62E-05,,,,
1.80E+05,2.87E-05,0.000113,0.000129,,,,
1.97E+05,6.04E-05,3.92E-05,2.00E-05,,,,
2.13E+05,0.000189,3.34E-05,0.000102,,,,
2.29E+05,1.27E-05,0.000107,5.41E-05,,,,
2.46E+05,0.000121,6.78E-05,4.80E-05,,,,
2.62E+05,0.000102,4.35E-05,0.000282,,,,
2.95E+05,0.00018,9.96E-05,0.000247,,,,
3.28E+05,0.000142,2.92E-05,0.000185,,,,
3.60E+05,0.000107,0.000131,0.000385,,,,
3.93E+05,9.19E-05,0,0.00023,,,,
4.26E+05,0.000172,8.84E-05,0.000349,,,,
4.59E+05,0.000177,9.66E-06,0.000317,,,,
4.92E+05,0.000334,7.97E-05,0.000294,,,,
5.24E+05,5.99E-05,0.000294,8.05E-05,,,,
5.90E+05,2.03E-06,0.000404,0.000155,,,,
6.55E+05,0.000116,0.000137,0,,,,
7.21E+05,4.66E-05,0.00032,7.05E-05,,,,
7.86E+05,1.39E-05,0.000347,0.000131,,,,
8.52E+05,2.63E-05,0.000348,0.00013,,,,
9.18E+05,5.28E-05,0.000346,0.000167,,,,
9.83E+05,7.69E-05,0.000259,7.34E-05,,,,
