X Lag Time,Record 1: JJ1_50mg_000rpm_00-00min_NA_No2_230706 1,Record 2: JJ1_50mg_000rpm_00-00min_NA_No2_230706 2,Record 3: JJ1_50mg_000rpm_00-00min_NA_No2_230706 3,X Intensity,Record 1: JJ1_50mg_000rpm_00-00min_NA_No2_230706 1,Record 2: JJ1_50mg_000rpm_00-00min_NA_No2_230706 2,Record 3: JJ1_50mg_000rpm_00-00min_NA_No2_230706 3
0.5,0.841,0.834,0.848,0.4,0,0,0
1,0.828,0.818,0.829,0.463,0,0,0
1.5,0.807,0.803,0.81,0.536,0,0,0
2,0.793,0.784,0.791,0.621,0,0,0
2.5,0.772,0.771,0.779,0.719,0,0,0
3,0.76,0.753,0.759,0.833,0,0,0
3.5,0.745,0.741,0.744,0.965,0,0,0
4,0.728,0.724,0.729,1.12,0,0,0
4.5,0.712,0.71,0.714,1.29,0,0,0
5.5,0.684,0.682,0.683,1.5,0,0,0
6.5,0.658,0.654,0.655,1.74,0,0,0
7.5,0.632,0.63,0.626,2.01,0,0,0
8.5,0.607,0.607,0.601,2.33,0,0,0
9.5,0.584,0.582,0.577,2.7,0,0,0
10.5,0.56,0.559,0.552,3.12,0,0,0
11.5,0.537,0.539,0.53,3.62,0,0,0
12.5,0.517,0.517,0.509,4.19,0,0,0
14.5,0.477,0.48,0.467,4.85,0,0,0
16.5,0.441,0.446,0.431,5.61,0,0,0
18.5,0.408,0.413,0.395,6.5,0,0,0
20.5,0.378,0.383,0.363,7.53,0.692,0.665,0.345
22.5,0.348,0.356,0.335,8.72,3.05,2.97,2.68
24.5,0.322,0.331,0.309,10.1,6.61,6.6,6.65
26.5,0.299,0.307,0.286,11.7,10.4,10.6,11.1
28.5,0.277,0.287,0.263,13.5,13.4,13.8,14.6
32.5,0.239,0.247,0.224,15.7,14.9,15.4,16.4
36.5,0.206,0.216,0.191,18.2,14.7,15.1,15.9
40.5,0.179,0.188,0.162,21,12.9,12.8,13.5
44.5,0.155,0.165,0.138,24.4,10,9.34,9.85
48.5,0.133,0.144,0.118,28.2,6.69,5.55,5.86
52.5,0.116,0.127,0.102,32.7,3.64,2.39,2.54
56.5,0.102,0.112,0.0873,37.8,1.4,0.519,0.562
60.5,0.09,0.0991,0.0752,43.8,0.235,0,0
68.5,0.069,0.0782,0.0547,50.7,0,0,0
76.5,0.0533,0.0623,0.0412,58.8,0,0,0
84.5,0.0415,0.0505,0.0307,68.1,0,0,0
92.5,0.0329,0.0419,0.0226,78.8,0,0,0
101,0.0262,0.0352,0.0186,91.3,0,0,0
109,0.0203,0.0289,0.0142,106,0,0,0
117,0.0167,0.0247,0.011,122,0,0,0
125,0.0132,0.0221,0.00915,142,0,0,0
141,0.00956,0.0178,0.00696,164,0,0,0
157,0.00763,0.0157,0.00519,190,0,0,0
173,0.00714,0.0141,0.00307,220,0,0,0
189,0.006,0.0128,0.00281,255,0,0,0
205,0.00494,0.0118,0.00337,295,0,0,0
221,0.00453,0.0108,0.00267,342,0,0,0
237,0.00451,0.0104,0.00224,396,0,0,0
253,0.00582,0.0098,0.0014,459,0,0,0
285,0.00637,0.00893,0.00102,531,0,0,0
317,0.00506,0.00807,0.00124,615,0,0,0
349,0.00421,0.00789,0.00189,712,0,0,0
