X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_PM_No2_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No2_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No2_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_PM_No2_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No2_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No2_230705 3
0.5,0.846,0.843,0.842,0.4,0,0,0
1,0.831,0.831,0.83,0.463,0,0,0
1.5,0.812,0.812,0.809,0.536,0,0,0
2,0.795,0.794,0.793,0.621,0,0,0
2.5,0.777,0.776,0.777,0.719,0,0,0
3,0.759,0.759,0.761,0.833,0,0,0
3.5,0.746,0.744,0.744,0.965,0,0,0
4,0.731,0.727,0.728,1.12,0,0,0
4.5,0.714,0.713,0.712,1.29,0,0,0
5.5,0.685,0.685,0.684,1.5,0,0,0
6.5,0.656,0.656,0.655,1.74,0,0,0
7.5,0.629,0.627,0.63,2.01,0,0,0
8.5,0.604,0.601,0.602,2.33,0,0,0
9.5,0.578,0.577,0.579,2.7,0,0,0
10.5,0.555,0.554,0.554,3.12,0,0,0
11.5,0.532,0.531,0.534,3.62,0,0,0
12.5,0.511,0.51,0.512,4.19,0,0,0
14.5,0.469,0.47,0.471,4.85,0,0,0
16.5,0.432,0.434,0.434,5.61,0,0,0
18.5,0.397,0.399,0.399,6.5,0,0,0
20.5,0.366,0.368,0.368,7.53,0.788,0.105,0
22.5,0.338,0.338,0.339,8.72,3.19,2.22,2.03
24.5,0.312,0.311,0.312,10.1,6.78,6.18,6.02
26.5,0.288,0.287,0.289,11.7,10.6,10.8,10.7
28.5,0.266,0.265,0.267,13.5,13.7,14.6,14.7
32.5,0.226,0.226,0.227,15.7,15.3,16.7,16.8
36.5,0.193,0.192,0.194,18.2,15.1,16.4,16.5
40.5,0.165,0.164,0.165,21,13.3,14,14
44.5,0.141,0.14,0.142,24.4,10.2,10.1,10.2
48.5,0.12,0.12,0.121,28.2,6.6,5.94,6.01
52.5,0.103,0.102,0.104,32.7,3.34,2.46,2.54
56.5,0.0886,0.0878,0.0894,37.8,1.05,0.471,0.518
60.5,0.0774,0.0759,0.0772,43.8,0.0181,0,0
68.5,0.0576,0.0564,0.0571,50.7,0,0,0
76.5,0.0433,0.043,0.0421,58.8,0,0,0
84.5,0.0327,0.0331,0.0318,68.1,0,0,0
92.5,0.0247,0.0254,0.0245,78.8,0,0,0
101,0.0187,0.0196,0.019,91.3,0,0,0
109,0.0142,0.0152,0.0151,106,0,0,0
117,0.0116,0.0122,0.0123,122,0,0,0
125,0.00927,0.00999,0.0107,142,0,0,0
141,0.00697,0.00611,0.0081,164,0,0,0
157,0.00487,0.00407,0.00588,190,0,0,0
173,0.00425,0.00412,0.00396,220,0,0,0
189,0.00371,0.00351,0.00272,255,0,0,0
205,0.00326,0.0029,0.00263,295,0,0,0
221,0.00273,0.00225,0.00228,342,0,0,0
237,0.00249,0.00184,0.00339,396,0,0,0
253,0.00259,0.00182,0.00276,459,0,0,0
285,0.00132,0.00265,0.00233,531,0,0,0
317,0.00125,0.0023,0.00129,615,0,0,0
349,0.00186,0.00129,0.00158,712,0,0,0
381,0.00199,0.00104,0.00226,825,0,0,0
413,0.00157,0.00101,0.00154,955,0,0,0
445,0.00158,0.000982,0.00128,1.11E+03,0,0,0
477,0.00171,0.000581,0.00174,1.28E+03,0,0,0
509,0.00114,0.000689,0.0021,1.48E+03,0,0,0
573,0.00147,0.00132,0.00243,1.72E+03,0,0,0
637,0.00143,0.00108,0.00266,1.99E+03,0,0,0
701,0.00237,0.000786,0.00214,2.30E+03,0,0,0
765,0.00225,0.00126,0.00101,2.67E+03,0,0,0
829,0.000934,0.00122,0.000824,3.09E+03,0,0,0
893,0.00109,0.00114,0.00106,3.58E+03,0,0,0
957,0.00192,0.00103,0.00167,4.15E+03,0,0,0
1.02E+03,0.00204,0.00132,0.00161,4.80E+03,0,0,0
1.15E+03,0.00151,0.00162,0.000908,5.56E+03,0,0,0
1.28E+03,0.00122,0.00182,0.00108,6.44E+03,0,0,0
1.40E+03,0.000322,0.00131,0.00135,7.46E+03,0,0,0
1.53E+03,0.000832,0.000985,0.00042,8.63E+03,0,0,0
1.66E+03,0.000752,0.00119,0.00154,,,,
1.79E+03,0.002,0.00163,0.00101,,,,
1.92E+03,0.00142,0.000575,0.000409,,,,
2.04E+03,0.000507,0.000874,0.000695,,,,
2.30E+03,0.000402,0.000921,0.000678,,,,
2.56E+03,0.000514,0.000533,0.000714,,,,
2.81E+03,0.000833,1.07E-05,0.000258,,,,
3.07E+03,0.000123,0.000311,0.000904,,,,
3.32E+03,9.91E-05,0.000685,0.000649,,,,
3.58E+03,0,0.00025,0.000526,,,,
3.84E+03,0.000391,0.00027,2.52E-05,,,,
4.09E+03,0.000382,0.000353,0,,,,
4.60E+03,0.000742,0.000176,0.000327,,,,
5.12E+03,0.000893,0.000302,0.000239,,,,
5.63E+03,0,0.000226,0.000432,,,,
6.14E+03,7.69E-05,0.000283,0.000579,,,,
6.65E+03,0.000424,0.000522,0.000404,,,,
7.16E+03,0.000656,0.000933,0.00028,,,,
7.68E+03,0.000288,0.00051,0.000182,,,,
8.19E+03,0.000128,0.000265,0.000719,,,,
9.21E+03,0.000135,0.000269,8.00E-05,,,,
1.02E+04,6.45E-06,0.000161,0.000609,,,,
1.13E+04,0.00018,0.000147,0.000826,,,,
1.23E+04,6.01E-05,9.55E-05,0.000156,,,,
1.33E+04,0.00041,0.000118,0.000549,,,,
1.43E+04,0.000264,0.000107,0.00016,,,,
1.54E+04,0.000287,0.00012,0.000236,,,,
1.64E+04,0.000203,0.000299,0.00042,,,,
1.84E+04,0.000177,0.000103,0.000119,,,,
2.05E+04,8.82E-05,0.000435,0.000521,,,,
2.25E+04,0,0.000197,0.000347,,,,
2.46E+04,0.000196,0.000228,6.56E-05,,,,
2.66E+04,7.27E-05,0.000105,0,,,,
2.87E+04,0.000407,2.94E-05,0.000198,,,,
3.07E+04,0.000334,0,4.55E-05,,,,
3.28E+04,8.97E-05,1.17E-06,0.000218,,,,
3.69E+04,0.000232,0.000279,0.000171,,,,
4.10E+04,0.000305,0.000507,0.000172,,,,
4.51E+04,0.000204,0.000126,0.00046,,,,
4.91E+04,8.58E-05,0.000199,0.00027,,,,
5.32E+04,0.000185,0.000266,0.000254,,,,
5.73E+04,0.000131,0.000131,0.000172,,,,
6.14E+04,0.000158,0.000181,9.91E-05,,,,
6.55E+04,0.000383,0.00013,0.000254,,,,
7.37E+04,8.26E-05,0.000179,0.000134,,,,
8.19E+04,0.000128,6.06E-05,0.000259,,,,
9.01E+04,0.0001,0.00013,0.000223,,,,
9.83E+04,0.000156,0.000209,0.000306,,,,
1.06E+05,4.81E-05,0.00011,0.000236,,,,
1.15E+05,0.000213,0.000174,0.000332,,,,
1.23E+05,0.000229,0.000129,0.000281,,,,
1.31E+05,0,5.47E-05,0.000211,,,,
1.47E+05,0.000117,0.000145,0.000204,,,,
1.64E+05,0,0.000265,0.00012,,,,
1.80E+05,2.50E-05,9.25E-05,7.62E-05,,,,
1.97E+05,6.98E-05,6.28E-05,0.000114,,,,
2.13E+05,5.32E-05,2.60E-05,0.000155,,,,
2.29E+05,0.000114,8.60E-05,0,,,,
2.46E+05,5.73E-05,9.37E-05,9.37E-05,,,,
2.62E+05,1.73E-05,0.000139,0.000229,,,,
2.95E+05,8.06E-05,0.00017,0.000259,,,,
3.28E+05,7.47E-05,5.89E-05,9.42E-05,,,,
3.60E+05,0.000155,0.000125,0.000212,,,,
3.93E+05,1.63E-05,0.000205,0.00018,,,,
