X Lag Time,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No2_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No2_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No2_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No2_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No2_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No2_230629 3
0.5,0.844,0.853,0.843,0.4,0,0,0
1,0.83,0.831,0.831,0.463,0,0,0
1.5,0.811,0.811,0.809,0.536,0,0,0
2,0.785,0.793,0.79,0.621,0,0,0
2.5,0.776,0.776,0.773,0.719,0,0,0
3,0.752,0.757,0.759,0.833,0,0,0
3.5,0.742,0.742,0.741,0.965,0,0,0
4,0.721,0.726,0.728,1.12,0,0,0
4.5,0.705,0.711,0.715,1.29,0,0,0
5.5,0.679,0.682,0.683,1.5,0,0,0
6.5,0.649,0.655,0.653,1.74,0,0,0
7.5,0.625,0.629,0.63,2.01,0,0,0
8.5,0.597,0.602,0.606,2.33,0,0,0
9.5,0.576,0.577,0.578,2.7,0,0,0
10.5,0.552,0.553,0.557,3.12,0,0,0
11.5,0.531,0.532,0.534,3.62,0,0,0
12.5,0.509,0.512,0.516,4.19,0,0,0
14.5,0.468,0.474,0.475,4.85,0,0,0
16.5,0.431,0.438,0.44,5.61,0,0,0
18.5,0.399,0.406,0.41,6.5,0,0.172,0.00551
20.5,0.37,0.374,0.381,7.53,0.619,1.95,1.75
22.5,0.34,0.345,0.35,8.72,4.06,5.22,5.14
24.5,0.317,0.321,0.326,10.1,9.23,9.05,9.19
26.5,0.293,0.299,0.303,11.7,14,12.3,12.6
28.5,0.273,0.279,0.282,13.5,16.7,14.2,14.5
32.5,0.235,0.242,0.245,15.7,16.4,14.2,14.3
36.5,0.203,0.211,0.213,18.2,13.5,12.4,12.3
40.5,0.176,0.184,0.187,21,9.11,9.35,8.96
44.5,0.154,0.16,0.164,24.4,4.62,5.88,5.31
48.5,0.135,0.141,0.147,28.2,1.37,2.81,2.28
52.5,0.122,0.125,0.129,32.7,0,0.784,0.492
56.5,0.107,0.111,0.115,37.8,0,0,0
60.5,0.0944,0.0989,0.103,43.8,0,0,0
68.5,0.0763,0.0796,0.084,50.7,0,0,0
76.5,0.062,0.0662,0.0685,58.8,0,0,0
84.5,0.0504,0.0546,0.0576,68.1,0,0,0
92.5,0.0432,0.0464,0.0489,78.8,0,0,0
101,0.0379,0.0403,0.0431,91.3,0,0,0
109,0.0337,0.0359,0.0376,106,0,0,0
117,0.0301,0.0333,0.0343,122,0,0,0
125,0.0267,0.0294,0.0316,142,0,0,0
141,0.0214,0.0237,0.0274,164,0,0,0
157,0.0187,0.0196,0.0233,190,0,0,0
173,0.0152,0.0177,0.021,220,0,0,0
189,0.0143,0.0157,0.0189,255,0,0,0
205,0.0137,0.0147,0.0163,295,0,0,0
221,0.013,0.0135,0.0168,342,0,0,0.0226
237,0.0132,0.0137,0.0172,396,0,0.0179,0.145
253,0.012,0.0146,0.0161,459,0,0.109,0.371
285,0.0127,0.0142,0.0152,531,0,0.279,0.665
317,0.0106,0.0122,0.0148,615,0,0.504,0.976
349,0.00932,0.0112,0.0133,712,0.00945,0.749,1.25
381,0.00954,0.0106,0.0128,825,0.0771,0.978,1.45
413,0.0103,0.0086,0.012,955,0.21,1.16,1.55
445,0.0109,0.00795,0.0111,1.11E+03,0.392,1.27,1.54
477,0.00972,0.00738,0.00993,1.28E+03,0.596,1.3,1.42
509,0.0087,0.00695,0.00872,1.48E+03,0.794,1.25,1.23
573,0.00796,0.00643,0.00769,1.72E+03,0.96,1.13,0.974
637,0.00609,0.00725,0.00753,1.99E+03,1.08,0.962,0.703
701,0.00668,0.0068,0.00612,2.30E+03,1.13,0.76,0.448
765,0.00579,0.00465,0.00551,2.67E+03,1.13,0.55,0.238
829,0.00522,0.00404,0.00709,3.09E+03,1.07,0.356,0.0934
893,0.00599,0.0033,0.00608,3.58E+03,0.956,0.196,0.0187
957,0.00477,0.00231,0.0047,4.15E+03,0.814,0.0831,0
1.02E+03,0.00521,0.00368,0.00428,4.80E+03,0.654,0.0204,0
1.15E+03,0.00558,0.00249,0.00337,5.56E+03,0.491,0,0
1.28E+03,0.00293,0.00147,0.00309,6.44E+03,0,0,0
1.40E+03,0.00389,0.00175,0.00114,7.46E+03,0,0,0
1.53E+03,0.0031,0.00269,0.00184,8.63E+03,0,0,0
1.66E+03,0.00332,0.000848,0.00122,,,,
1.79E+03,0.000566,0.00119,0.00137,,,,
1.92E+03,0.0012,0.00137,0.00166,,,,
2.04E+03,0.00124,0.00196,0.00169,,,,
2.30E+03,0.000463,0.00135,0.00151,,,,
2.56E+03,0.000781,0.000749,0.000437,,,,
2.81E+03,0.000528,0.000725,0.000631,,,,
3.07E+03,0.0007,0.00102,0.0013,,,,
3.32E+03,0.00144,0.00071,0.000868,,,,
3.58E+03,0.00106,0.000252,0.00077,,,,
3.84E+03,0.00126,0.00104,0.000646,,,,
4.09E+03,0.000502,0.000189,0.000631,,,,
4.60E+03,0.000547,0.000781,0.00083,,,,
5.12E+03,0.000788,0.000438,0.000591,,,,
5.63E+03,0.000424,0.000714,0.000517,,,,
6.14E+03,0.00087,0.000443,0.000445,,,,
6.65E+03,0.000682,0.000212,0.000639,,,,
7.16E+03,0.00062,0.000253,0.000721,,,,
7.68E+03,0.000317,7.44E-05,0.000493,,,,
8.19E+03,7.65E-05,0.000101,0.000179,,,,
9.21E+03,0.00087,0.000252,0.000117,,,,
1.02E+04,9.61E-05,0.000414,0.000471,,,,
1.13E+04,3.69E-05,3.04E-05,0.00051,,,,
1.23E+04,0.000291,0.000292,0.000291,,,,
1.33E+04,0.000765,0.000546,0.000248,,,,
1.43E+04,0.000515,0.000578,0.000107,,,,
1.54E+04,0.000798,0.000178,0.000125,,,,
1.64E+04,0.000637,0.000499,4.78E-05,,,,
1.84E+04,0.000487,0.000639,0.000137,,,,
2.05E+04,8.69E-05,0.000526,0.000124,,,,
2.25E+04,0.000231,0.000842,0.000396,,,,
