X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_PM_No2_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_PM_No2_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_PM_No2_230626 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_PM_No2_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_PM_No2_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_PM_No2_230626 3
0.5,0.849,0.857,0.864,0.4,0,0,0
1,0.848,0.854,0.863,0.463,0,0,0
1.5,0.837,0.846,0.855,0.536,0,0,0
2,0.83,0.836,0.847,0.621,0,0,0
2.5,0.824,0.832,0.84,0.719,0,0,0
3,0.817,0.826,0.833,0.833,0,0,0
3.5,0.81,0.82,0.828,0.965,0,0,0
4,0.805,0.814,0.823,1.12,0,0,0
4.5,0.798,0.806,0.816,1.29,0,0,0
5.5,0.786,0.793,0.805,1.5,0,0,0
6.5,0.773,0.784,0.794,1.74,0,0,0
7.5,0.762,0.771,0.783,2.01,0,0,0
8.5,0.75,0.761,0.773,2.33,0,0,0
9.5,0.743,0.751,0.764,2.7,0,0,0
10.5,0.73,0.74,0.754,3.12,0,0,0
11.5,0.722,0.731,0.745,3.62,0,0,0
12.5,0.713,0.721,0.736,4.19,0,0,0
14.5,0.694,0.705,0.72,4.85,0,0,0
16.5,0.679,0.689,0.704,5.61,0,0,0
18.5,0.662,0.673,0.689,6.5,0,0,0
20.5,0.647,0.658,0.674,7.53,0,0,0
22.5,0.634,0.643,0.661,8.72,1.12,0,0
24.5,0.62,0.632,0.649,10.1,4.63,3.33,3.48
26.5,0.608,0.618,0.637,11.7,7.98,7.81,7.82
28.5,0.597,0.607,0.626,13.5,8.56,9.35,9.28
32.5,0.575,0.585,0.605,15.7,5.95,6.59,6.76
36.5,0.556,0.567,0.586,18.2,2.14,2.12,2.49
40.5,0.539,0.548,0.569,21,0,0,0
44.5,0.524,0.534,0.555,24.4,0,0,0
48.5,0.51,0.519,0.541,28.2,0,0,0
52.5,0.497,0.506,0.529,32.7,0,0,0
56.5,0.486,0.495,0.517,37.8,0,0,0
60.5,0.477,0.485,0.508,43.8,0,0,0
68.5,0.459,0.466,0.49,50.7,0,0,0
76.5,0.444,0.451,0.476,58.8,0,0,0
84.5,0.432,0.438,0.463,68.1,0,0,0
92.5,0.421,0.427,0.453,78.8,0,0,0
101,0.412,0.418,0.444,91.3,0,0,0
109,0.404,0.41,0.436,106,0,0,0
117,0.398,0.404,0.43,122,0,0,0
125,0.392,0.398,0.423,142,0,0,0
141,0.382,0.387,0.413,164,0,0,0
157,0.372,0.378,0.404,190,0,0,0
173,0.365,0.371,0.396,220,0,0,0
189,0.358,0.364,0.389,255,0,0,0
205,0.352,0.357,0.383,295,0.282,0,0
221,0.345,0.351,0.377,342,1.98,0,0.685
237,0.339,0.344,0.371,396,4.74,1.41,2.99
253,0.334,0.339,0.366,459,7.67,4.95,6.31
285,0.323,0.329,0.355,531,9.91,9.28,9.52
317,0.313,0.319,0.344,615,10.9,12.6,11.6
349,0.304,0.31,0.334,712,10.5,13.8,11.9
381,0.293,0.3,0.326,825,8.89,12.5,10.5
413,0.284,0.29,0.317,955,6.58,9.18,7.84
445,0.275,0.28,0.308,1.11E+03,4.11,5.17,4.76
477,0.266,0.272,0.299,1.28E+03,2,1.81,2.11
509,0.259,0.264,0.291,1.48E+03,0.605,0.0817,0.489
573,0.243,0.249,0.276,1.72E+03,0.0119,0,0
637,0.228,0.234,0.26,1.99E+03,0,0,0
701,0.214,0.219,0.246,2.30E+03,0,0,0
765,0.201,0.207,0.233,2.67E+03,0,0,0
829,0.19,0.194,0.221,3.09E+03,0,0,0
893,0.179,0.182,0.21,3.58E+03,0,0,0
957,0.169,0.171,0.2,4.15E+03,0.15,0,0
