X Lag Time,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No1_230629 3
0.5,0.845,0.845,0.845,0.4,0,0,0
1,0.822,0.823,0.823,0.463,0,0,0
1.5,0.803,0.802,0.807,0.536,0,0,0
2,0.783,0.784,0.779,0.621,0,0,0
2.5,0.766,0.764,0.759,0.719,0,0,0
3,0.746,0.747,0.739,0.833,0,0,0
3.5,0.728,0.729,0.723,0.965,0,0,0
4,0.712,0.71,0.706,1.12,0,0,0
4.5,0.69,0.692,0.689,1.29,0,0,0
5.5,0.665,0.664,0.656,1.5,0,0,0
6.5,0.63,0.632,0.626,1.74,0,0,0
7.5,0.605,0.604,0.595,2.01,0,0,0
8.5,0.577,0.572,0.568,2.33,0,0,0
9.5,0.549,0.551,0.541,2.7,0,0,0
10.5,0.525,0.524,0.514,3.12,0,0,0
11.5,0.501,0.503,0.492,3.62,0,0,0
12.5,0.48,0.479,0.47,4.19,0,0,0
14.5,0.434,0.437,0.429,4.85,0,0,0
16.5,0.398,0.401,0.387,5.61,0,0,0
18.5,0.363,0.365,0.352,6.5,0.356,0.0875,0
20.5,0.333,0.335,0.323,7.53,2.42,2.19,0.782
22.5,0.303,0.305,0.292,8.72,5.91,6.02,4.56
24.5,0.277,0.279,0.264,10.1,9.83,10.4,10.2
26.5,0.253,0.253,0.242,11.7,13.1,14,15.5
28.5,0.232,0.233,0.223,13.5,15,15.9,18.6
32.5,0.193,0.198,0.185,15.7,15.1,15.7,18.4
36.5,0.163,0.166,0.153,18.2,13.6,13.6,15.2
40.5,0.137,0.141,0.128,21,10.8,10.3,10.2
44.5,0.116,0.12,0.107,24.4,7.44,6.56,5.11
48.5,0.0975,0.103,0.09,28.2,4.25,3.23,1.44
52.5,0.0846,0.0855,0.0764,32.7,1.79,0.965,0
56.5,0.0696,0.0719,0.0642,37.8,0.403,0,0
60.5,0.0609,0.0622,0.0531,43.8,0,0,0
68.5,0.0432,0.0463,0.0394,50.7,0,0,0
76.5,0.0334,0.0349,0.0278,58.8,0,0,0
84.5,0.0262,0.0291,0.0198,68.1,0,0,0
92.5,0.02,0.0192,0.015,78.8,0,0,0
101,0.0146,0.0159,0.0112,91.3,0,0,0
109,0.0118,0.0128,0.00863,106,0,0,0
117,0.0104,0.00966,0.00678,122,0,0,0
125,0.0074,0.0091,0.00548,142,0,0,0
141,0.00525,0.00697,0.00494,164,0,0,0
157,0.00459,0.00581,0.00376,190,0,0,0
173,0.00472,0.00531,0.00192,220,0,0,0
189,0.00361,0.00438,0.00129,255,0,0,0
205,0.00251,0.00397,0.00108,295,0,0,0
221,0.00191,0.00218,0.00029,342,0,0,0
237,0.00187,0.00157,0.000362,396,0,0,0
253,0.002,0.00196,0.000636,459,0,0,0
285,0.000955,0.000732,0.00172,531,0,0,0
317,0.00124,0.00216,0.00161,615,0,0,0
349,0.002,0.00217,0.00166,712,0,0,0
381,0.00142,0.00248,0.00225,825,0,0,0
413,0.0018,0.00241,0.00197,955,0,0,0
445,0.00125,0.00303,0.00194,1.11E+03,0,0,0
477,0.00212,0.00312,0.000938,1.28E+03,0,0,0
509,0.00158,0.00214,0.000763,1.48E+03,0,0,0
573,0.000454,0.00178,0.000221,1.72E+03,0,0,0
637,4.29E-05,0.00158,0.00111,1.99E+03,0,0,0
701,0.00063,0.000308,0.00127,2.30E+03,0,0,0
765,0.000264,0.00175,0.00216,2.67E+03,0,0.00795,0
829,0.000843,0.00147,0.00166,3.09E+03,0,0.0506,0
893,0.000783,0.00203,0.0016,3.58E+03,0,0.129,0
957,0.000962,0.00169,0.000615,4.15E+03,0,0.227,0
1.02E+03,0.000733,0.00126,0.000809,4.80E+03,0,0.32,0
1.15E+03,0.00105,0.00152,0.00101,5.56E+03,0,0.383,0
1.28E+03,0.000899,9.91E-05,0.000865,6.44E+03,0,0,0
1.40E+03,0.000291,0.000944,0.0004,7.46E+03,0,0,0
1.53E+03,0.000792,0.000374,0.00078,8.63E+03,0,0,0
1.66E+03,0.000186,0.00168,0.00147,,,,
1.79E+03,0.00032,0.00021,0.000949,,,,
1.92E+03,0.000911,0,4.91E-05,,,,
2.04E+03,0,0.000215,0.0003,,,,
2.30E+03,0.00104,0.00107,0.000284,,,,
2.56E+03,0.000481,0.000646,0.000138,,,,
2.81E+03,0.000655,0.00022,0.000232,,,,
3.07E+03,0.000748,0,0.000505,,,,
3.32E+03,0.000308,0.000105,0.000244,,,,
3.58E+03,4.79E-05,0.000631,0.000438,,,,
3.84E+03,0.000888,4.39E-05,0.000405,,,,
4.09E+03,0.000311,0.000377,0.000277,,,,
4.60E+03,0.000233,0.000173,0.000593,,,,
5.12E+03,0.000605,0.000723,0.000764,,,,
5.63E+03,0.000414,6.96E-05,0.000521,,,,
6.14E+03,0.000197,0.000483,0.000179,,,,
6.65E+03,0.000124,0.000608,0.000236,,,,
7.16E+03,0.000198,0.0007,0.000178,,,,
7.68E+03,0.000364,0.000432,0.000237,,,,
8.19E+03,0.000281,0.000214,0.00014,,,,
9.21E+03,0.000166,0.000441,0.000194,,,,
1.02E+04,0.000229,7.44E-05,0.000323,,,,
1.13E+04,0.000448,0.000255,0.000342,,,,
1.23E+04,0.000121,0.00053,0.00105,,,,
1.33E+04,0.00018,0.000652,0.000497,,,,
1.43E+04,5.24E-05,0.000326,0.000558,,,,
1.54E+04,0.00018,0.000268,0.000338,,,,
1.64E+04,5.46E-05,0.000248,8.87E-05,,,,
1.84E+04,9.93E-05,0.000148,0.000374,,,,
2.05E+04,0.000341,0.000305,0.000199,,,,
2.25E+04,0.000149,0.00071,0.000423,,,,
2.46E+04,0.000175,0.000342,0.000122,,,,
2.66E+04,0.000199,0.000366,0.00018,,,,
2.87E+04,8.68E-05,0.000282,0.000245,,,,
3.07E+04,0.000337,0.000125,0,,,,
3.28E+04,8.79E-05,1.45E-05,6.98E-05,,,,
3.69E+04,0.000128,4.07E-05,7.06E-05,,,,
4.10E+04,0.000168,7.24E-05,0.000109,,,,
4.51E+04,0.000124,0.000138,0.000287,,,,
4.91E+04,3.64E-05,2.05E-05,0.000242,,,,
5.32E+04,0.000146,0.000278,0.000202,,,,
5.73E+04,6.54E-05,0.000236,0.000559,,,,
6.14E+04,0.000118,0.000149,0.00022,,,,
6.55E+04,0.000197,0.000133,0.000119,,,,
7.37E+04,0.000201,0.000209,0.000254,,,,
8.19E+04,0.000209,8.66E-05,4.57E-05,,,,
9.01E+04,9.69E-05,0.00019,0.000114,,,,
9.83E+04,0.000206,0.000136,4.99E-05,,,,
1.06E+05,0.000129,0.000225,0.00022,,,,
1.15E+05,0.000122,9.77E-05,0.000371,,,,
1.23E+05,0.000255,5.91E-05,0.000134,,,,
1.31E+05,0.00047,0.000206,4.51E-05,,,,
1.47E+05,0.00028,0.000124,7.66E-06,,,,
1.64E+05,0.000576,0.000134,0.000118,,,,
1.80E+05,0.000321,0.000111,4.09E-05,,,,
1.97E+05,0.000337,4.05E-05,2.53E-05,,,,
2.13E+05,0.000441,0.000124,0,,,,
2.29E+05,0.000339,0.000221,0.000175,,,,
2.46E+05,0.00033,0.000271,0.00019,,,,
2.62E+05,0.000405,5.16E-05,0,,,,
2.95E+05,0.000468,3.33E-05,5.86E-05,,,,
3.28E+05,0.00053,8.89E-06,2.45E-06,,,,
3.60E+05,0.000525,2.28E-05,4.10E-05,,,,
3.93E+05,0.00042,7.31E-05,4.88E-05,,,,
4.26E+05,0.000486,8.73E-05,7.23E-06,,,,
4.59E+05,0.000735,0.000148,0,,,,
4.92E+05,0.000627,0.000179,3.03E-05,,,,
5.24E+05,0.000637,4.69E-05,0.000681,,,,
5.90E+05,0.000313,0.000185,5.68E-05,,,,
6.55E+05,0.000452,0.000163,0.000491,,,,
7.21E+05,0.000566,0.000188,0.000308,,,,
7.86E+05,0.000713,5.67E-05,0.000314,,,,
8.52E+05,0.000637,0.000151,0.000289,,,,
9.18E+05,0.000573,0.000145,0.000168,,,,
9.83E+05,0.000586,4.98E-05,0.000426,,,,
