T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
25.66859	6469.883	19.51371	-96.29353	0.546282
25.72258	6464.71	19.54669	-96.28546	0.4731892
25.77657	6459.534	19.58476	-96.27602	0.4001892
25.83055	6454.359	19.62807	-96.26515	0.3275492
25.88454	6449.195	19.66963	-96.25284	0.2554872
25.93853	6444.048	19.6944	-96.2391	0.1841901
25.99251	6438.922	19.68503	-96.22398	0.1138665
26.0465	6433.817	19.62633	-96.20751	0.04492549
26.10048	6428.729	19.50383	-96.18971	0.02537632
26.15447	6423.656	19.30682	-96.17053	0.09140214
26.20846	6418.587	19.02885	-96.14993	0.1569334
26.26244	6413.5	18.6748	-96.12786	0.2211783
26.31643	6408.375	18.25957	-96.10426	0.284021
26.37042	6403.19	17.80556	-96.07908	0.345376
26.4244	6397.946	17.33861	-96.05222	0.4051369
26.47839	6392.659	16.88272	-96.02365	0.4631158
26.53238	6387.346	16.46314	-95.99332	0.5190562
26.58636	6382.025	16.10036	-95.96124	0.5726264
26.64035	6376.709	15.80114	-95.92745	0.6234711
26.69433	6371.413	15.55843	-95.89202	0.6711972
26.74832	6366.149	15.36166	-95.85503	0.7154329
26.80231	6360.927	15.20084	-95.81661	0.7558446
26.85629	6355.741	15.06885	-95.77686	0.7921284
26.91028	6350.587	14.95709	-95.73591	0.8240699
26.96427	6345.456	14.85779	-95.69383	0.8515058
27.01825	6340.337	14.76283	-95.65075	0.8743813
27.07224	6335.217	14.67221	-95.6067	0.8927451
27.12623	6330.078	14.59589	-95.56173	0.9067523
27.18021	6324.909	14.54907	-95.51582	0.9166612
27.2342	6319.708	14.54159	-95.46896	0.9227934
27.28819	6314.48	14.57977	-95.42117	0.9255275
27.34217	6309.238	14.6714	-95.37245	0.925226
27.39616	6303.983	14.82475	-95.32286	0.9221938
27.45014	6298.72	15.04312	-95.27245	0.9166602
27.50413	6293.456	15.32291	-95.22131	0.9087288
27.55812	6288.207	15.65307	-95.16956	0.898406
27.6121	6282.992	16.01903	-95.11738	0.8855874
27.66609	6277.825	16.39887	-95.06494	0.8701108
27.72008	6272.706	16.76585	-95.01244	0.8518004
27.77406	6267.625	17.09706	-94.96006	0.8304806
27.82805	6262.566	17.37642	-94.9079	0.8059955
27.88203	6257.515	17.5948	-94.85605	0.7782171
27.93602	6252.456	17.75578	-94.8046	0.7470227
27.99001	6247.377	17.87066	-94.75363	0.7123512
28.04399	6242.267	17.95848	-94.70318	0.6742321
28.09798	6237.125	18.04015	-94.6533	0.6327741
28.15197	6231.954	18.13095	-94.604	0.5881856
28.20595	6226.764	18.23761	-94.55529	0.5407988
28.25994	6221.562	18.3651	-94.50718	0.4911118
28.31392	6216.358	18.51278	-94.45966	0.4398662
28.36791	6211.165	18.67072	-94.41272	0.3882134
28.4219	6205.995	18.82377	-94.36636	0.338024
28.47589	6200.854	18.95922	-94.32059	0.2923789
28.52987	6195.744	19.0669	-94.27534	0.2563277
28.58386	6190.664	19.14181	-94.23058	0.2369426
28.63784	6185.614	19.18421	-94.18616	0.2406126
28.69183	6180.602	19.19457	-94.14196	0.2680462
28.74582	6175.634	19.17303	-94.09779	0.3139919
28.7998	6170.699	19.12185	-94.05343	0.3718963
28.85379	6165.777	19.05104	-94.00861	0.4367107
28.90778	6160.853	18.97424	-93.96307	0.5049974
28.96176	6155.914	18.90096	-93.91656	0.5743547
29.01575	6150.952	18.83586	-93.8689	0.6429955
29.06973	6145.968	18.7808	-93.81994	0.7094672
29.12372	6140.962	18.73791	-93.76956	0.7725316
29.17771	6135.946	18.70243	-93.71773	0.8311123
29.23169	6130.939	18.66386	-93.66442	0.8842807
29.28568	6125.955	18.61385	-93.60973	0.9312618
29.33967	6120.996	18.55143	-93.55376	0.9714643
29.39365	6116.06	18.47231	-93.4967	1.004468
29.44764	6111.134	18.36597	-93.43878	1.029983
29.50163	6106.21	18.21687	-93.38023	1.047868
29.55561	6101.279	18.01435	-93.32133	1.058126
29.6096	6096.336	17.75927	-93.26235	1.060923
29.66358	6091.376	17.46059	-93.20354	1.05662
29.71757	6086.393	17.13269	-93.14514	1.045718
29.77156	6081.375	16.78846	-93.08731	1.028807
29.82554	6076.32	16.43082	-93.03019	1.006509
29.87953	6071.22	16.06419	-92.97385	0.9794751
29.93352	6066.074	15.69681	-92.91836	0.948305
29.9875	6060.885	15.33721	-92.86378	0.913518
30.04149	6055.662	14.99263	-92.81015	0.8754726
30.09547	6050.423	14.67181	-92.75754	0.8344175
30.14946	6045.184	14.37263	-92.70599	0.7904277
30.20345	6039.956	14.09724	-92.65557	0.7434767
30.25743	6034.753	13.84648	-92.60627	0.6934522
30.31142	6029.589	13.62072	-92.5581	0.6402252
30.36541	6024.479	13.42512	-92.51106	0.5836565
30.41939	6019.426	13.26585	-92.46518	0.5236816
30.47338	6014.42	13.14727	-92.42047	0.4603155
