Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
1.020000000000000000e+04,1.865366666666666562e-03,2.222810394454950017e-03
1.130000000000000000e+04,2.134166666666666590e-03,2.294505366911980034e-03
1.230000000000000000e+04,1.668541666666666480e-03,1.765818757537051913e-03
1.330000000000000000e+04,1.796666666666666681e-03,2.028475573309955135e-03
1.430000000000000000e+04,1.879141666666666504e-03,1.850590373838150154e-03
1.540000000000000000e+04,2.014333333333333687e-03,1.780990088958862502e-03
1.640000000000000000e+04,2.264075000000000375e-03,2.292039451955000823e-03
1.840000000000000000e+04,2.500308333333333289e-03,2.881604596387964470e-03
2.050000000000000000e+04,1.790666666666666752e-03,1.655813468487390494e-03
2.250000000000000000e+04,1.870583333333333473e-03,1.604611618731990050e-03
2.460000000000000000e+04,1.675866666666666780e-03,2.258253985366624663e-03
2.660000000000000000e+04,1.514833333333333093e-03,1.756753712408374484e-03
2.870000000000000000e+04,1.477258333333333331e-03,1.925527493469272834e-03
3.070000000000000000e+04,2.363499999999999716e-03,2.602849015982294442e-03
3.280000000000000000e+04,1.921233333333333430e-03,2.288874387646522290e-03
3.690000000000000000e+04,1.710958333333333645e-03,2.042617888645634986e-03
4.100000000000000000e+04,1.278391666666666782e-03,1.632276454112940606e-03
4.510000000000000000e+04,1.728633916666666220e-03,2.434479648606003351e-03
4.910000000000000000e+04,1.276441666666666653e-03,1.530471910263648139e-03
5.320000000000000000e+04,1.677075000000000093e-03,1.887565756651094113e-03
5.730000000000000000e+04,1.399749999999999736e-03,1.561125417185249033e-03
6.140000000000000000e+04,1.296083333333333332e-03,1.439518509043488225e-03
6.550000000000000000e+04,1.216449999999999780e-03,1.723931549737929168e-03
7.370000000000000000e+04,1.454416666666666575e-03,1.782931521569479849e-03
8.190000000000000000e+04,1.565399999999999995e-03,1.754120580492997709e-03
9.010000000000000000e+04,1.450258333333333217e-03,1.609337921720568540e-03
9.830000000000000000e+04,1.207433333333333319e-03,1.546476992941365819e-03
1.060000000000000000e+05,1.162749999999999938e-03,1.293237665354249159e-03
1.150000000000000000e+05,1.408999999999999879e-03,1.693847903443517541e-03
1.230000000000000000e+05,1.317750000000000345e-03,1.361132758537401434e-03
1.310000000000000000e+05,1.132616666666666667e-03,1.519687373252881328e-03
1.470000000000000000e+05,9.715750000000000211e-04,1.179100063704210293e-03
1.640000000000000000e+05,9.616083333333332386e-04,1.321622258272236658e-03
1.800000000000000000e+05,1.020274999999999958e-03,1.220265790067512606e-03
1.970000000000000000e+05,1.086058333333333363e-03,1.189920908340575626e-03
2.130000000000000000e+05,8.383000000000000477e-04,1.172971184641805184e-03
2.290000000000000000e+05,1.069741666666666671e-03,1.419319888639583192e-03
2.460000000000000000e+05,6.756083333333333342e-04,8.444220944294424016e-04
2.620000000000000000e+05,8.607249999999997932e-04,8.788576770961890449e-04
2.950000000000000000e+05,1.017866666666666616e-03,1.127090395127151781e-03
3.280000000000000000e+05,1.008750000000000098e-03,9.381521610446395777e-04
3.600000000000000000e+05,1.070708333333333451e-03,9.132664028921217174e-04
3.930000000000000000e+05,9.844166666666668598e-04,1.069789078474931224e-03
4.260000000000000000e+05,1.106441666666666424e-03,9.809608253306210252e-04
4.590000000000000000e+05,1.102000000000000115e-03,9.843559962090582972e-04
4.920000000000000000e+05,9.202833333333333048e-04,9.634675319654082163e-04
5.240000000000000000e+05,6.130000000000000466e-04,7.799729599042636930e-04
5.900000000000000000e+05,5.470833333333333407e-04,7.344853421810320976e-04
6.550000000000000000e+05,6.752083333333332160e-04,7.750862549752221683e-04
7.210000000000000000e+05,6.495583333333333244e-04,7.661176713063593208e-04
7.860000000000000000e+05,6.067249999999999076e-04,6.140386560603198042e-04
8.520000000000000000e+05,4.866916666666667285e-04,4.577673237044285878e-04
9.180000000000000000e+05,3.409000000000000463e-04,4.204222768944229660e-04
9.830000000000000000e+05,3.878333333333333459e-04,3.560829406276866047e-04
1.050000000000000000e+06,1.026833333333333591e-03,9.377853828261691017e-04
1.180000000000000000e+06,9.104999999999999595e-04,8.873002464063262703e-04
1.310000000000000000e+06,8.168333333333331484e-04,6.801313821385520817e-04
1.440000000000000000e+06,9.014999999999998492e-04,7.058839075294823674e-04
1.570000000000000000e+06,8.499166666666666805e-04,7.693245512470762472e-04
1.700000000000000000e+06,1.013166666666666556e-03,1.007908260014799473e-03
1.840000000000000000e+06,8.609166666666668395e-04,1.056679228727546273e-03
1.970000000000000000e+06,1.053041666666666753e-03,1.462056985245808105e-03
2.100000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.360000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.620000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.880000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.410000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.670000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.930000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
4.720000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.240000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.770000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.290000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.820000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
7.340000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
7.860000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
8.390000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
9.440000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.470000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.570000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
