Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
3.170000000000000000e+02,3.255555555555555286e-02,1.428277906353584217e-02
3.490000000000000000e+02,2.977777777777777801e-02,1.281842207311197947e-02
3.810000000000000000e+02,2.734444444444444205e-02,1.227233791002259669e-02
4.130000000000000000e+02,2.524444444444444435e-02,1.171645329345778579e-02
4.450000000000000000e+02,2.314444444444444665e-02,1.103507035672078411e-02
4.770000000000000000e+02,2.098000000000000212e-02,1.033506652131470360e-02
5.090000000000000000e+02,1.929444444444444046e-02,9.647229020696966931e-03
5.730000000000000000e+02,1.639000000000000179e-02,8.612202099347180881e-03
6.370000000000000000e+02,1.365777777777778083e-02,7.165903253913246708e-03
7.010000000000000000e+02,1.188333333333333255e-02,6.506806052127264706e-03
7.650000000000000000e+02,9.772222222222222074e-03,5.379258261549118778e-03
8.290000000000000000e+02,8.060000000000001191e-03,4.733267898608740573e-03
8.930000000000000000e+02,7.018888888888889614e-03,4.347845571212380703e-03
9.570000000000000000e+02,6.398888888888888855e-03,4.174474351473621107e-03
1.020000000000000000e+03,5.843333333333333192e-03,3.578103547970628087e-03
1.150000000000000000e+03,5.066666666666667235e-03,2.516848227446382823e-03
1.280000000000000000e+03,4.036666666666666702e-03,2.311146901432273477e-03
1.400000000000000000e+03,3.547777777777777735e-03,1.924206185533256430e-03
1.530000000000000000e+03,3.275555555555555425e-03,1.809164939351240496e-03
1.660000000000000000e+03,2.857999999999999430e-03,1.946974832913871958e-03
1.790000000000000000e+03,2.857444444444444571e-03,1.716088219695531027e-03
1.920000000000000000e+03,2.626000000000000296e-03,1.692361958920136087e-03
2.040000000000000000e+03,2.434888888888889213e-03,1.577030472473855277e-03
2.300000000000000000e+03,2.489333333333333849e-03,1.538386817416217923e-03
2.560000000000000000e+03,2.247555555555555591e-03,1.681857240605687644e-03
2.810000000000000000e+03,2.276888888888889059e-03,1.703616480053862141e-03
3.070000000000000000e+03,2.571666666666666545e-03,1.549060198959356042e-03
3.320000000000000000e+03,1.977222222222222228e-03,1.420352401499164804e-03
3.580000000000000000e+03,1.974555555555555786e-03,1.477552800334992538e-03
3.840000000000000000e+03,1.959111111111111123e-03,1.219861922969608329e-03
4.090000000000000000e+03,1.813222222222222145e-03,1.145212183154040815e-03
4.600000000000000000e+03,2.306333333333333412e-03,1.616670498277246243e-03
5.120000000000000000e+03,2.349666666666666570e-03,1.672836214337793418e-03
5.630000000000000000e+03,2.106666666666666410e-03,1.615526230056324409e-03
6.140000000000000000e+03,2.120999999999999622e-03,1.629071514697866090e-03
6.650000000000000000e+03,2.302111111111111112e-03,1.651544765094519222e-03
7.160000000000000000e+03,2.511999999999999476e-03,2.044875546335277617e-03
7.680000000000000000e+03,1.921444444444444372e-03,1.733613935620551471e-03
8.190000000000000000e+03,1.676444444444444379e-03,1.140171380879987642e-03
