X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
0.5,0.87,0.872,0.866,0.4,0,0,0
1,0.875,0.875,0.87,0.463,0,0,0
1.5,0.871,0.874,0.865,0.536,0,0,0
2,0.87,0.873,0.862,0.621,0,0,0
2.5,0.868,0.87,0.863,0.719,0,0,0
3,0.866,0.869,0.861,0.833,0,0,0
3.5,0.866,0.868,0.86,0.965,0,0,0
4,0.863,0.866,0.859,1.12,0,0,0
4.5,0.863,0.863,0.856,1.29,0,0,0
5.5,0.86,0.861,0.853,1.5,0,0,0
6.5,0.857,0.858,0.851,1.74,0,0,0
7.5,0.854,0.856,0.848,2.01,0,0,0
8.5,0.851,0.852,0.846,2.33,0,0,0
9.5,0.85,0.851,0.843,2.7,0,0,0
10.5,0.845,0.848,0.841,3.12,0,0,0
11.5,0.842,0.845,0.838,3.62,0,0,0
12.5,0.84,0.843,0.836,4.19,0,0,0
14.5,0.836,0.837,0.831,4.85,0,0,0
16.5,0.83,0.831,0.825,5.61,0,0,0
18.5,0.825,0.827,0.819,6.5,0,0,0
20.5,0.82,0.821,0.816,7.53,0,0,0
22.5,0.815,0.817,0.809,8.72,0,0,0
24.5,0.808,0.812,0.805,10.1,0,0,0
26.5,0.805,0.808,0.8,11.7,0,0,0
28.5,0.8,0.802,0.795,13.5,0,0,0
32.5,0.79,0.793,0.786,15.7,0,0,0
36.5,0.78,0.783,0.776,18.2,0,0,0
40.5,0.77,0.774,0.767,21,0,0,0
44.5,0.761,0.765,0.757,24.4,0,0,0
48.5,0.751,0.755,0.749,28.2,0,0,0
52.5,0.742,0.746,0.739,32.7,0,0,0
56.5,0.732,0.737,0.73,37.8,0,0,0
60.5,0.724,0.728,0.721,43.8,0,0,0
68.5,0.706,0.71,0.704,50.7,0,0,0
76.5,0.688,0.693,0.687,58.8,0,0,0
84.5,0.672,0.677,0.67,68.1,0,0,0
92.5,0.655,0.66,0.653,78.8,0,0,0
101,0.639,0.645,0.637,91.3,0,0,0
109,0.623,0.629,0.622,106,0,0,0
117,0.608,0.614,0.607,122,3.69,2.13,1.3
125,0.593,0.599,0.591,142,11.8,10,10.7
141,0.564,0.571,0.563,164,19.9,19.3,21.8
157,0.537,0.544,0.535,190,23.7,24.4,26.8
173,0.511,0.518,0.509,220,21.2,22.6,22.9
189,0.487,0.493,0.484,255,13.8,15.1,12.9
205,0.463,0.469,0.46,295,5.53,6.06,3.51
221,0.44,0.447,0.438,342,0.376,0.351,0
237,0.419,0.425,0.416,396,0,0,0
253,0.399,0.405,0.396,459,0,0,0
285,0.361,0.368,0.358,531,0,0,0
317,0.328,0.334,0.323,615,0,0,0
349,0.296,0.304,0.292,712,0,0,0
381,0.268,0.276,0.263,825,0,0,0
413,0.243,0.25,0.238,955,0,0,0
445,0.219,0.227,0.214,1.11E+03,0,0,0
477,0.198,0.206,0.194,1.28E+03,0,0,0
509,0.179,0.186,0.176,1.48E+03,0,0,0
573,0.146,0.153,0.144,1.72E+03,0,0,0
637,0.12,0.126,0.119,1.99E+03,0,0,0
701,0.0987,0.104,0.0984,2.30E+03,0,0,0
765,0.0815,0.0853,0.082,2.67E+03,0,0,0
829,0.067,0.0703,0.069,3.09E+03,0,0,0
893,0.0547,0.0578,0.0588,3.58E+03,0,0,0
957,0.0448,0.0466,0.0504,4.15E+03,0,0,0
1.02E+03,0.0371,0.0376,0.0434,4.80E+03,0,0,0
