X Lag Time,Record 55: JJ4 R 1,Record 56: JJ4 R 2,Record 57: JJ4 R 3
8.19E+03,0.000557,0.00159,0.00235
9.21E+03,0.000682,0.00152,0.00243
1.02E+04,0.000953,0.00174,0.00239
1.13E+04,0.000296,0.00163,0.00219
1.23E+04,0.000578,0.00131,0.00229
1.33E+04,0.000674,0.00144,0.00195
1.43E+04,0.00041,0.00143,0.00202
1.54E+04,0.000608,0.00101,0.00202
1.64E+04,0.000552,0.00113,0.00196
1.84E+04,0.000555,0.00114,0.0017
2.05E+04,0.000486,0.00144,0.00168
2.25E+04,0.000329,0.00113,0.00176
2.46E+04,0.000434,0.00155,0.00169
2.66E+04,0.000804,0.00128,0.00169
2.87E+04,0.000586,0.00164,0.00169
3.07E+04,0.000471,0.00133,0.00167
3.28E+04,0.00049,0.00124,0.00166
3.69E+04,0.000529,0.00144,0.00146
4.10E+04,0.000365,0.00128,0.00151
4.51E+04,0.000434,0.00128,0.00139
4.91E+04,0.000304,0.00122,0.00139
5.32E+04,0.000374,0.00139,0.00137
5.73E+04,0.000317,0.00131,0.0014
6.14E+04,0.000488,0.0012,0.00134
6.55E+04,0.000339,0.00119,0.00151
7.37E+04,0.000308,0.000968,0.00144
8.19E+04,0.000321,0.00094,0.00146
9.01E+04,0.000127,0.000954,0.00142
9.83E+04,0.000243,0.000847,0.00118
1.06E+05,0.000211,0.000876,0.00125
1.15E+05,0.000293,0.000905,0.00103
1.23E+05,0.000161,0.001,0.00114
1.31E+05,0.00013,0.000817,0.00103
1.47E+05,0.000117,0.000767,0.000934
1.64E+05,7.30E-05,0.000793,0.000786
1.80E+05,9.97E-05,0.000855,0.000812
1.97E+05,0.000153,0.000769,0.000871
2.13E+05,9.16E-05,0.000593,0.000734
2.29E+05,0.000171,0.000522,0.000641
2.46E+05,0.000146,0.000485,0.00064
2.62E+05,0.00027,0.000837,0.000807
2.95E+05,0.000208,0.000965,0.000703
3.28E+05,0.000204,0.000783,0.000615
3.60E+05,0.000325,0.000953,0.000603
3.93E+05,0.000173,0.000791,0.000468
4.26E+05,0.000155,0.000742,0.000508
4.59E+05,0.000225,0.000781,0.000551
4.92E+05,0.00029,0.000694,0.000383
5.24E+05,0.000105,0.000484,0.00047
5.90E+05,0.000146,0.000637,0.000483
6.55E+05,8.49E-05,0.000631,0.00049
7.21E+05,1.37E-05,0.000331,0.000641
7.86E+05,3.19E-05,0.000645,0.000558
8.52E+05,5.64E-06,0.000428,0.000383
9.18E+05,3.02E-05,0.000426,0.00032
9.83E+05,2.92E-05,0.000374,0.000339
1.05E+06,0.000205,0.000719,0.000179
1.18E+06,0.000232,0.000736,4.00E-05
1.31E+06,0.000404,0.000975,0
1.44E+06,0.000119,0.000561,0.000172
1.57E+06,0.000468,0.000732,0.000143
1.70E+06,0.000353,0.0009,0.000247
1.84E+06,0.000158,0.000778,8.08E-05
1.97E+06,0.000152,0.000781,0.000176
2.10E+06,0.000304,0.000902,0.000443
2.36E+06,0.000253,0.000207,0.000448
2.62E+06,0.000392,0.000449,0.000735
2.88E+06,0.000736,0.000744,0.000639
3.15E+06,0.000662,0.000565,0.000909
3.41E+06,0.000514,0.00177,0.000417
3.67E+06,0.000741,0.0012,0.0011
3.93E+06,0.000571,0.00141,0.00163
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
