X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
0.5,0.864,0.866,0.852,0.4,0,0,0
1,0.868,0.87,0.858,0.463,0,0,0
1.5,0.866,0.869,0.855,0.536,0,0,0
2,0.864,0.865,0.854,0.621,0,0,0
2.5,0.861,0.867,0.852,0.719,0,0,0
3,0.859,0.863,0.85,0.833,0,0,0
3.5,0.861,0.863,0.85,0.965,0,0,0
4,0.858,0.861,0.848,1.12,0,0,0
4.5,0.856,0.859,0.846,1.29,0,0,0
5.5,0.853,0.856,0.844,1.5,0,0,0
6.5,0.85,0.853,0.841,1.74,0,0,0
7.5,0.848,0.851,0.836,2.01,0,0,0
8.5,0.846,0.848,0.835,2.33,0,0,0
9.5,0.843,0.845,0.833,2.7,0,0,0
10.5,0.84,0.843,0.83,3.12,0,0,0
11.5,0.837,0.84,0.827,3.62,0,0,0
12.5,0.835,0.837,0.824,4.19,0,0,0
14.5,0.83,0.833,0.821,4.85,0,0,0
16.5,0.825,0.827,0.814,5.61,0,0,0
18.5,0.819,0.823,0.81,6.5,0,0,0
20.5,0.815,0.818,0.805,7.53,0,0,0
22.5,0.81,0.814,0.799,8.72,0,0,0
24.5,0.804,0.809,0.794,10.1,0,0,0
26.5,0.8,0.803,0.79,11.7,0,0,0
28.5,0.795,0.798,0.785,13.5,0,0,0
32.5,0.785,0.788,0.776,15.7,0,0,0
36.5,0.775,0.78,0.767,18.2,0,0,0
40.5,0.765,0.769,0.757,21,0,0,0
44.5,0.756,0.76,0.748,24.4,0,0,0
48.5,0.747,0.751,0.739,28.2,0,0,0
52.5,0.737,0.741,0.73,32.7,0,0,0
56.5,0.729,0.733,0.721,37.8,0,0,0
60.5,0.72,0.724,0.712,43.8,0,0,0
68.5,0.702,0.706,0.696,50.7,0,0,0
76.5,0.685,0.69,0.679,58.8,0,0,0
84.5,0.668,0.673,0.662,68.1,0,0,0
92.5,0.652,0.657,0.646,78.8,0,0,0
101,0.636,0.642,0.631,91.3,0,0,0
109,0.62,0.626,0.616,106,0,0,0
117,0.605,0.612,0.601,122,2.53,0.77,1.13
125,0.591,0.597,0.586,142,11.2,9.39,9.99
141,0.562,0.569,0.558,164,20.7,20.3,20.8
157,0.535,0.541,0.531,190,25.1,26.3,26.4
173,0.509,0.515,0.506,220,22.2,23.7,23.3
189,0.484,0.491,0.482,255,13.7,14.6,14
205,0.461,0.467,0.458,295,4.69,4.82,4.37
221,0.438,0.445,0.436,342,0,0,0
237,0.416,0.424,0.415,396,0,0,0
253,0.396,0.404,0.396,459,0,0,0
285,0.358,0.367,0.358,531,0,0,0
317,0.324,0.333,0.324,615,0,0,0
349,0.293,0.302,0.293,712,0,0,0
381,0.265,0.274,0.265,825,0,0,0
413,0.241,0.247,0.24,955,0,0,0
445,0.218,0.224,0.217,1.11E+03,0,0,0
477,0.198,0.202,0.196,1.28E+03,0,0,0
509,0.18,0.184,0.178,1.48E+03,0,0,0
573,0.148,0.15,0.146,1.72E+03,0,0,0
637,0.121,0.123,0.119,1.99E+03,0,0,0
701,0.0997,0.0987,0.0967,2.30E+03,0,0,0
765,0.0813,0.0789,0.0784,2.67E+03,0,0,0
829,0.0664,0.0632,0.0634,3.09E+03,0,0,0
