X Lag Time,Record 19: JJ1 50mg 1,Record 20: JJ1 50mg 2,Record 21: JJ1 50mg 3
7.86E+05,7.81E-05,8.80E-05,0.000198
8.52E+05,8.26E-05,0.000137,0.000245
9.18E+05,3.56E-05,0.000141,0.000224
9.83E+05,0.000113,0.000142,0.00021
1.05E+06,7.91E-05,0.000156,7.76E-05
1.18E+06,0.000101,0.000184,0.000119
1.31E+06,0.00012,0.000135,8.19E-05
1.44E+06,0.000111,3.30E-05,7.62E-05
1.57E+06,1.06E-05,0.00018,4.66E-05
1.70E+06,0.000132,0.000156,3.03E-05
1.84E+06,0.000148,0.000159,3.86E-05
1.97E+06,0,0.000216,0
2.10E+06,0.000167,5.29E-05,0.000459
2.36E+06,0.000316,0.000157,0.000291
2.62E+06,0.000136,3.86E-05,0.000363
2.88E+06,0.00026,9.05E-05,0.000211
3.15E+06,0.000393,8.54E-05,0.000137
3.41E+06,0.000179,4.09E-05,0.00041
3.67E+06,0.000269,5.95E-05,0.00023
3.93E+06,0.000179,5.41E-05,0.000248
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
