X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
0.5,0.862,0.878,0.865,0.4,0,0,0
1,0.866,0.88,0.868,0.463,0,0,0
1.5,0.863,0.88,0.866,0.536,0,0,0
2,0.861,0.878,0.864,0.621,0,0,0
2.5,0.858,0.876,0.862,0.719,0,0,0
3,0.857,0.874,0.862,0.833,0,0,0
3.5,0.854,0.873,0.861,0.965,0,0,0
4,0.854,0.872,0.857,1.12,0,0,0
4.5,0.853,0.87,0.858,1.29,0,0,0
5.5,0.85,0.868,0.854,1.5,0,0,0
6.5,0.847,0.864,0.853,1.74,0,0,0
7.5,0.845,0.862,0.849,2.01,0,0,0
8.5,0.842,0.858,0.846,2.33,0,0,0
9.5,0.84,0.856,0.844,2.7,0,0,0
10.5,0.838,0.854,0.841,3.12,0,0,0
11.5,0.834,0.852,0.839,3.62,0,0,0
12.5,0.831,0.849,0.836,4.19,0,0,0
14.5,0.826,0.842,0.831,4.85,0,0,0
16.5,0.821,0.838,0.825,5.61,0,0,0
18.5,0.816,0.833,0.821,6.5,0,0,0
20.5,0.811,0.828,0.815,7.53,0,0,0
22.5,0.805,0.823,0.811,8.72,0,0,0
24.5,0.801,0.818,0.807,10.1,0,0,0
26.5,0.794,0.814,0.801,11.7,0,0,0
28.5,0.79,0.809,0.796,13.5,0,0,0
32.5,0.781,0.799,0.787,15.7,0,0,0
36.5,0.771,0.789,0.777,18.2,0,0,0
40.5,0.761,0.779,0.767,21,0,0,0
44.5,0.752,0.77,0.758,24.4,0,0,0
48.5,0.743,0.761,0.749,28.2,0,0,0
52.5,0.733,0.752,0.74,32.7,0,0,0
56.5,0.724,0.743,0.732,37.8,0,0,0
60.5,0.715,0.734,0.723,43.8,0,0,0
68.5,0.698,0.716,0.706,50.7,0,0,0
76.5,0.68,0.699,0.689,58.8,0,0,0
84.5,0.664,0.683,0.673,68.1,0,0,0
92.5,0.647,0.666,0.657,78.8,0,0,0
101,0.631,0.65,0.642,91.3,0,0,0
109,0.615,0.634,0.626,106,0,0,0
117,0.6,0.619,0.611,122,1.83,3.51,1.86
125,0.585,0.604,0.597,142,11.9,10.8,9.61
141,0.556,0.575,0.569,164,23,18.2,18.9
157,0.528,0.548,0.542,190,27.3,22,24.3
173,0.502,0.521,0.516,220,22.2,20.6,22.8
189,0.477,0.496,0.492,255,11.4,14.9,15.5
205,0.454,0.473,0.469,295,2.32,7.71,6.47
221,0.431,0.451,0.446,342,0,2.11,0.596
237,0.41,0.43,0.425,396,0,0,0
253,0.389,0.409,0.405,459,0,0,0
285,0.351,0.371,0.367,531,0,0,0
317,0.316,0.337,0.333,615,0,0,0
349,0.285,0.307,0.302,712,0,0,0
381,0.257,0.279,0.274,825,0,0,0
413,0.231,0.253,0.249,955,0,0,0
445,0.208,0.23,0.226,1.11E+03,0,0,0
477,0.187,0.209,0.205,1.28E+03,0,0,0
509,0.17,0.19,0.187,1.48E+03,0,0,0
573,0.138,0.158,0.154,1.72E+03,0,0,0
637,0.113,0.132,0.128,1.99E+03,0,0,0
701,0.0929,0.11,0.106,2.30E+03,0,0,0
765,0.0755,0.0927,0.0878,2.67E+03,0,0,0
829,0.0605,0.0785,0.0728,3.09E+03,0,0,0
893,0.049,0.0659,0.061,3.58E+03,0,0,0
957,0.04,0.0557,0.0499,4.15E+03,0,0,0
1.02E+03,0.0337,0.0478,0.0404,4.80E+03,0,0,0
1.15E+03,0.0232,0.0348,0.0259,5.56E+03,0,0,0
1.28E+03,0.0159,0.0255,0.0169,6.44E+03,0,0,0
1.40E+03,0.0115,0.0191,0.0121,7.46E+03,0,0,0
1.53E+03,0.00844,0.0169,0.00949,8.63E+03,0,0,0
1.66E+03,0.0061,0.0146,0.00877,,,,
1.79E+03,0.00396,0.0134,0.00761,,,,
1.92E+03,0.00139,0.0117,0.00714,,,,
2.04E+03,0.000317,0.0108,0.00646,,,,
2.30E+03,0,0.00848,0.00436,,,,
2.56E+03,0.000817,0.00612,0.00251,,,,
2.81E+03,0,0.00709,0.000217,,,,
3.07E+03,0.00125,0.00962,0.00173,,,,
3.32E+03,0.00233,0.0103,0.00272,,,,
3.58E+03,0.00322,0.00924,0.00305,,,,
3.84E+03,0.00375,0.00748,0.00207,,,,
4.09E+03,0.00202,0.00411,0.00115,,,,
4.60E+03,0.000925,0.00123,0.00262,,,,
5.12E+03,0.000323,0.0039,0.00285,,,,
5.63E+03,0.00126,0.00286,0.00415,,,,
6.14E+03,0,0.00304,0.00224,,,,
6.65E+03,0.000904,0.00462,0.00563,,,,
7.16E+03,0.00472,0.00525,0.00951,,,,
7.68E+03,0.00552,0.00568,0.00459,,,,
8.19E+03,0.00361,0.00435,0.00196,,,,
9.21E+03,0.000727,0.00283,0.00074,,,,
1.02E+04,0.00428,0.00399,0.00108,,,,
1.13E+04,0.0033,0.00317,0.000819,,,,
1.23E+04,0.00179,0.00221,0.00247,,,,
1.33E+04,0.00152,0.00206,0.00362,,,,
1.43E+04,0.00118,0.004,0.00201,,,,
1.54E+04,0.00208,0.0024,0.00358,,,,
1.64E+04,0.00285,0.00121,0.0028,,,,
1.84E+04,0.00254,0.00424,0.00107,,,,
2.05E+04,0.00131,0.00182,0.0024,,,,
2.25E+04,0.00131,0.000485,0.000928,,,,
2.46E+04,0.000776,0.00287,0.000704,,,,
2.66E+04,0.00317,0.00126,0.0023,,,,
2.87E+04,0.0022,0.00153,0.00172,,,,
3.07E+04,1.69E-05,0.000341,0.00347,,,,
3.28E+04,0.000669,0.000977,0.000902,,,,
3.69E+04,0.000242,0.000311,0.00126,,,,
4.10E+04,0.00153,0.000768,0.0033,,,,
4.51E+04,0.00116,0.00188,0.00373,,,,
4.91E+04,0.00181,0.00232,0.00147,,,,
5.32E+04,0.00196,0.00396,0.00226,,,,
5.73E+04,0.000758,0.00186,0.00415,,,,
6.14E+04,0.00225,0.00217,0.00273,,,,
6.55E+04,0.00177,0.000858,0.000419,,,,
7.37E+04,0.00235,0.00167,0.00208,,,,
8.19E+04,0.00162,0.000582,0,,,,
9.01E+04,0.00223,0.000371,0.00124,,,,
9.83E+04,7.24E-05,0.0045,0.0026,,,,
1.06E+05,0.000967,0.00299,0.000861,,,,
1.15E+05,0.00061,0.000161,0.000858,,,,
1.23E+05,0.00107,0.00125,0.000537,,,,
1.31E+05,0.000727,0.00135,0.00127,,,,
1.47E+05,0.000257,0.00148,0.000859,,,,
1.64E+05,0.00119,0.000841,0.00196,,,,
1.80E+05,0.000463,0.00124,0.0019,,,,
1.97E+05,0.000691,0.00156,0.00155,,,,
2.13E+05,0.000951,0.00274,0.00172,,,,
2.29E+05,0.000944,0.00112,0.000756,,,,
2.46E+05,0.00208,0.00107,0.00185,,,,
2.62E+05,0.00162,0.00101,0.000107,,,,
2.95E+05,0.000309,0.00151,0.000273,,,,
3.28E+05,0.00167,6.63E-05,5.53E-05,,,,
3.60E+05,0.00087,0.000196,0.000563,,,,
3.93E+05,0.000542,0.00108,0.000705,,,,
4.26E+05,0.000621,0.00181,0.000204,,,,
4.59E+05,0.000912,0.000555,0,,,,
4.92E+05,0.000432,0.00118,0.000563,,,,
5.24E+05,0.00155,0.0017,0.000681,,,,
5.90E+05,0.000388,0.000676,0.000899,,,,
6.55E+05,0.000433,0.000606,0.00143,,,,
7.21E+05,0.000569,0.00229,0.00115,,,,
7.86E+05,0.000779,0.000708,0.00107,,,,
8.52E+05,0.00103,0.00172,0.00115,,,,
9.18E+05,0.000704,0.00127,0.00118,,,,
9.83E+05,0.000674,0.00138,0.000203,,,,
1.05E+06,0.000485,0.00141,0.000661,,,,
1.18E+06,0.000387,0.00145,0.0017,,,,
1.31E+06,0.000824,0.000582,0.00167,,,,
1.44E+06,0.00154,0.00214,0.0019,,,,
1.57E+06,0.00121,0.000778,0.0012,,,,
1.70E+06,4.84E-05,0.000677,0.00172,,,,
1.84E+06,0,0.000291,0.00119,,,,
1.97E+06,0.000791,0.000928,0.00266,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
