X Lag Time,Record 1: JJ1_10mg_000rpm_00-00min_NA_No1_230626 1,Record 2: JJ1_10mg_000rpm_00-00min_NA_No1_230626 2,Record 3: JJ1_10mg_000rpm_00-00min_NA_No1_230626 3,X Intensity,Record 1: JJ1_10mg_000rpm_00-00min_NA_No1_230626 1,Record 2: JJ1_10mg_000rpm_00-00min_NA_No1_230626 2,Record 3: JJ1_10mg_000rpm_00-00min_NA_No1_230626 3
0.5,0.834,0.832,0.831,0.4,0,0,0
1,0.817,0.816,0.818,0.463,0,0,0
1.5,0.795,0.795,0.795,0.536,0,0,0
2,0.774,0.774,0.774,0.621,0,0,0
2.5,0.753,0.753,0.758,0.719,0,0,0
3,0.737,0.733,0.737,0.833,0,0,0
3.5,0.717,0.714,0.72,0.965,0,0,0
4,0.697,0.698,0.704,1.12,0,0,0
4.5,0.68,0.681,0.686,1.29,0,0,0
5.5,0.648,0.647,0.654,1.5,0,0,0
6.5,0.615,0.615,0.624,1.74,0,0,0
7.5,0.585,0.586,0.594,2.01,0,0,0
8.5,0.556,0.557,0.567,2.33,0,0,0
9.5,0.529,0.531,0.54,2.7,0,0,0
10.5,0.504,0.506,0.517,3.12,0,0,0
11.5,0.479,0.48,0.492,3.62,0,0,0
12.5,0.457,0.457,0.47,4.19,0,0,0
14.5,0.413,0.415,0.428,4.85,0,0,0
16.5,0.375,0.375,0.391,5.61,0,0,0
18.5,0.34,0.341,0.357,6.5,0,0,0.423
20.5,0.308,0.309,0.326,7.53,1.77,0.953,2.43
22.5,0.28,0.28,0.297,8.72,6.21,5.25,5.87
24.5,0.252,0.254,0.271,10.1,11.9,11.5,9.86
26.5,0.229,0.231,0.248,11.7,16.8,17.2,13.3
28.5,0.208,0.21,0.227,13.5,19.1,19.9,15.4
32.5,0.171,0.173,0.19,15.7,18,18.9,15.6
36.5,0.141,0.143,0.159,18.2,13.9,14.5,14
40.5,0.115,0.117,0.133,21,8.4,8.48,10.9
44.5,0.0948,0.098,0.112,24.4,3.35,3.12,7.2
48.5,0.0788,0.0807,0.0943,28.2,0.429,0.199,3.7
52.5,0.0644,0.0669,0.079,32.7,0,0,1.17
