X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
0.5,0.879,0.864,0.857,0.4,0,0,0
1,0.881,0.867,0.861,0.463,0,0,0
1.5,0.879,0.866,0.859,0.536,0,0,0
2,0.876,0.864,0.857,0.621,0,0,0
2.5,0.876,0.861,0.855,0.719,0,0,0
3,0.874,0.86,0.855,0.833,0,0,0
3.5,0.872,0.859,0.852,0.965,0,0,0
4,0.871,0.857,0.85,1.12,0,0,0
4.5,0.87,0.857,0.849,1.29,0,0,0
5.5,0.867,0.853,0.846,1.5,0,0,0
6.5,0.864,0.851,0.844,1.74,0,0,0
7.5,0.86,0.848,0.841,2.01,0,0,0
8.5,0.859,0.847,0.838,2.33,0,0,0
9.5,0.857,0.843,0.837,2.7,0,0,0
10.5,0.852,0.84,0.834,3.12,0,0,0
11.5,0.85,0.838,0.832,3.62,0,0,0
12.5,0.849,0.835,0.829,4.19,0,0,0
14.5,0.844,0.83,0.825,4.85,0,0,0
16.5,0.839,0.825,0.82,5.61,0,0,0
18.5,0.834,0.82,0.815,6.5,0,0,0
20.5,0.828,0.815,0.809,7.53,0,0,0
22.5,0.825,0.812,0.805,8.72,0,0,0
24.5,0.82,0.807,0.799,10.1,0,0,0
26.5,0.814,0.802,0.796,11.7,0,0,0
28.5,0.809,0.796,0.79,13.5,0,0,0
32.5,0.8,0.787,0.781,15.7,0,0,0
36.5,0.791,0.778,0.771,18.2,0,0,0
40.5,0.781,0.769,0.762,21,0,0,0
44.5,0.772,0.76,0.753,24.4,0,0,0
48.5,0.763,0.751,0.744,28.2,0,0,0
52.5,0.754,0.742,0.735,32.7,0,0,0
56.5,0.745,0.733,0.727,37.8,0,0,0
60.5,0.736,0.724,0.718,43.8,0,0,0
68.5,0.719,0.707,0.701,50.7,0,0,0
76.5,0.702,0.69,0.684,58.8,0,0,0
84.5,0.686,0.674,0.668,68.1,0,0,0
92.5,0.67,0.658,0.651,78.8,0,0,0
101,0.654,0.643,0.636,91.3,0,0,0
109,0.638,0.628,0.621,106,0,0,0
117,0.624,0.613,0.606,122,0,0.837,1.04
