X Lag Time,Record 1: H2O_00mg_000rpm_10-00min_PM_No3_230601 1,Record 2: H2O_00mg_000rpm_10-00min_PM_No3_230601 2,Record 3: H2O_00mg_000rpm_10-00min_PM_No3_230601 3,X Intensity,Record 1: H2O_00mg_000rpm_10-00min_PM_No3_230601 1,Record 2: H2O_00mg_000rpm_10-00min_PM_No3_230601 2,Record 3: H2O_00mg_000rpm_10-00min_PM_No3_230601 3
0.5,0.049,0.0422,0.0426,0.4,0,0,0
1,0.0404,0.0277,0.0305,0.463,0,0,0
1.5,0.0338,0.0256,0.0233,0.536,0,0,0
2,0.0283,0.0239,0.0306,0.621,0,2.32,0
2.5,0.0271,0.0232,0.0245,0.719,0,2.66,0
3,0.026,0.0224,0.0196,0.833,0,2.82,0.00142
3.5,0.031,0.0174,0.0166,0.965,0,2.87,0.548
4,0.0237,0.0199,0.0186,1.12,0,2.86,1.7
4.5,0.0239,0.0162,0.0198,1.29,0,2.84,3.26
5.5,0.021,0.0183,0.0154,1.5,0.216,2.84,4.89
6.5,0.0179,0.0162,0.0148,1.74,0.939,2.87,6.3
7.5,0.0206,0.0115,0.0138,2.01,2.17,2.9,7.26
8.5,0.0165,0.0115,0.0113,2.33,3.73,2.91,7.63
9.5,0.0192,0.0142,0.0108,2.7,5.35,2.88,7.41
10.5,0.015,0.0114,0.00964,3.12,6.76,2.78,6.68
11.5,0.0131,0.00746,0.00856,3.62,7.75,2.62,5.59
12.5,0.012,0.00819,0.00989,4.19,8.19,2.41,4.32
14.5,0.0127,0.0108,0.0102,4.85,8.04,2.18,3.04
16.5,0.0125,0.0117,0.00631,5.61,7.35,1.95,1.89
18.5,0.0122,0.00566,0.00556,6.5,6.25,1.76,1
20.5,0.0122,0.00729,0.0079,7.53,4.91,1.64,0.403
22.5,0.00978,0.00834,0.00625,8.72,3.51,1.59,0.0921
24.5,0.0124,0.00848,0.00392,10.1,2.23,1.61,0
26.5,0.0113,0.00739,0.00579,11.7,1.2,1.7,0.00941
28.5,0.00961,0.00716,0.00662,13.5,0.494,1.83,0.142
32.5,0.0076,0.00655,0.00358,15.7,0.117,1.98,0.391
36.5,0.00841,0.00599,0.0048,18.2,0,2.12,0.726
40.5,0.00815,0.00538,0.00494,21,0,2.23,1.11
44.5,0.00623,0.00683,0.00429,24.4,0.00828,2.3,1.5
48.5,0.0074,0.00474,0.00346,28.2,0.087,2.31,1.85
52.5,0.00719,0.00436,0.00381,32.7,0.254,2.26,2.14
56.5,0.00779,0.00413,0.00194,37.8,0.496,2.15,2.35
60.5,0.00894,0.00374,0.00359,43.8,0.781,2,2.45
68.5,0.00636,0.00392,0.00368,50.7,1.07,1.81,2.45
76.5,0.00754,0.00397,0.00203,58.8,1.32,1.6,2.36
84.5,0.00688,0.00341,0.00165,68.1,1.49,1.38,2.19
92.5,0.00658,0.00378,0.00188,78.8,1.58,1.16,1.95
101,0.00533,0.00274,0.00202,91.3,1.56,0.962,1.67
109,0.006,0.00306,0.00218,106,1.44,0.783,1.37
117,0.00635,0.00437,0.00233,122,1.24,0.633,1.07
125,0.00588,0.00379,0.00205,142,0.992,0.515,0.783
141,0.00551,0.00304,0.00104,164,0.721,0.432,0.534
157,0.0051,0.00297,0.00126,190,0.462,0.382,0.331
173,0.0044,0.00219,0.00242,220,0.248,0.364,0.178
189,0.00447,0.00258,0.00214,255,0.0978,0.375,0.0756
205,0.0055,0.00271,0.00243,295,0.0196,0.411,0.0199
221,0.00512,0.00225,0.00106,342,0,0.468,0
237,0.0053,0.00259,0.00124,396,0,0.542,0
253,0.00561,0.00225,0.00122,459,0,0.627,0
285,0.00461,0.00233,0.00132,531,0,0.719,0
317,0.00533,0.00177,0.00134,615,0,0.813,0
349,0.00484,0.00193,0.00145,712,0,0.906,0.00342
381,0.00507,0.00164,0.00143,825,0,0.993,0.0238
413,0.00486,0.000965,0.00119,955,0,1.07,0.0702
445,0.00484,0.00128,0.00197,1.11E+03,0,1.14,0.147
477,0.00498,0.00145,0.00111,1.28E+03,0,1.19,0.256
509,0.00494,0.00133,0.0015,1.48E+03,0.0444,1.22,0.393
573,0.00434,0.000856,0.00123,1.72E+03,0.203,1.24,0.551
637,0.00452,0.000979,0.00132,1.99E+03,0.502,1.24,0.723
701,0.00474,0.00124,0.00106,2.30E+03,0.935,1.21,0.895
765,0.00416,0.000988,0.00121,2.67E+03,1.46,1.17,1.05
829,0.00412,0.000715,0.00116,3.09E+03,2.02,1.1,1.19
893,0.00412,0.000451,0.00139,3.58E+03,2.54,1.02,1.28
957,0.00417,0.000878,0.00141,4.15E+03,2.95,0.914,1.31
1.02E+03,0.00388,8.87E-05,0.00104,4.80E+03,3.15,0.792,1.28
1.15E+03,0.00409,0.00035,0.00108,5.56E+03,3.11,0.656,1.17
1.28E+03,0.0041,0.000701,0.00104,6.44E+03,0,0,0
1.40E+03,0.00422,0.00028,0.00106,7.46E+03,0,0,0
1.53E+03,0.00412,0.000413,0.00101,8.63E+03,0,0,0
1.66E+03,0.00392,0.000613,0.00114,,,,
1.79E+03,0.00357,0.000383,0.000968,,,,
1.92E+03,0.00377,0.000532,0.000792,,,,
2.04E+03,0.00419,0.000475,0.00111,,,,
2.30E+03,0.00413,0.000471,0.000995,,,,
2.56E+03,0.00383,0.000612,0.00123,,,,
2.81E+03,0.00392,0.000612,0.001,,,,
3.07E+03,0.00388,0.00064,0.00108,,,,
3.32E+03,0.00372,0.000383,0.000923,,,,
3.58E+03,0.00374,0.000714,0.000928,,,,
3.84E+03,0.00344,0.000558,0.0011,,,,
4.09E+03,0.00373,0.000507,0.00109,,,,
4.60E+03,0.00388,0.000409,0.00104,,,,
5.12E+03,0.00369,0.000373,0.00101,,,,
5.63E+03,0.00383,0.000366,0.00109,,,,
6.14E+03,0.00368,0.000436,0.00115,,,,
6.65E+03,0.00358,0.00022,0.00115,,,,
7.16E+03,0.00351,0.00062,0.000952,,,,
7.68E+03,0.00365,0.000536,0.000881,,,,
8.19E+03,0.00372,0.000445,0.00101,,,,
9.21E+03,0.00372,0.00028,0.000902,,,,
1.02E+04,0.00361,0.000401,0.000955,,,,
1.13E+04,0.00367,0.000453,0.00105,,,,
1.23E+04,0.00358,0.000357,0.000951,,,,
1.33E+04,0.00356,0.000514,0.00105,,,,
1.43E+04,0.0034,0.000389,0.000923,,,,
1.54E+04,0.0034,0.000356,0.00117,,,,
1.64E+04,0.00369,0.000337,0.00104,,,,
1.84E+04,0.00356,0.000432,0.000957,,,,
2.05E+04,0.00335,0.00036,0.000998,,,,
2.25E+04,0.00321,0.000376,0.00109,,,,
2.46E+04,0.00305,0.000308,0.00108,,,,
2.66E+04,0.00302,0.000195,0.00113,,,,
2.87E+04,0.00283,0.00019,0.00116,,,,
3.07E+04,0.00287,0.0002,0.00112,,,,
3.28E+04,0.00365,0.00026,0.00091,,,,
3.69E+04,0.00352,0.000259,0.000891,,,,
4.10E+04,0.00342,0.000277,0.000821,,,,
4.51E+04,0.00344,0.000393,0.000865,,,,
4.91E+04,0.00345,0.000268,0.000927,,,,
5.32E+04,0.00341,0.000339,0.000893,,,,
5.73E+04,0.00341,0.000348,0.00099,,,,
6.14E+04,0.00342,0.000377,0.000974,,,,
