X Lag Time,Record 1: JJ1_01mg_PS2_050ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS2_050ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS2_050ug_000rpm_00-00min_NA_No1_230620 3,X Intensity,Record 1: JJ1_01mg_PS2_050ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS2_050ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS2_050ug_000rpm_00-00min_NA_No1_230620 3
0.5,0.746,0.753,0.777,0.4,0,0,0
1,0.721,0.724,0.749,0.463,0,0,0
1.5,0.696,0.701,0.721,0.536,0,0,0
2,0.672,0.677,0.699,0.621,0,0,0
2.5,0.649,0.652,0.676,0.719,0,0,0.0474
3,0.631,0.634,0.653,0.833,0,0,0.699
3.5,0.612,0.614,0.632,0.965,0,0,1.41
4,0.595,0.599,0.615,1.12,0,0,1.56
4.5,0.577,0.58,0.598,1.29,0,0,1.06
5.5,0.546,0.548,0.564,1.5,0,0,0.347
6.5,0.519,0.519,0.533,1.74,0,0,0
7.5,0.493,0.492,0.505,2.01,0,0,0
8.5,0.468,0.467,0.479,2.33,0,0,0
9.5,0.445,0.443,0.455,2.7,0,0,0
10.5,0.424,0.422,0.433,3.12,0,0,0
11.5,0.402,0.402,0.41,3.62,0,0,0
12.5,0.385,0.383,0.392,4.19,0,0,0
14.5,0.35,0.347,0.355,4.85,0,0,0
16.5,0.319,0.315,0.321,5.61,0.692,0.196,0
18.5,0.291,0.287,0.292,6.5,2.31,1.53,0.942
20.5,0.264,0.259,0.264,7.53,4.67,4.08,3.41
22.5,0.242,0.236,0.239,8.72,7.33,7.34,6.95
24.5,0.221,0.216,0.218,10.1,9.8,10.6,10.6
26.5,0.202,0.196,0.198,11.7,11.6,13.1,13.5
28.5,0.185,0.179,0.18,13.5,12.6,14.4,14.9
32.5,0.155,0.148,0.149,15.7,12.5,14.2,14.4
36.5,0.13,0.123,0.124,18.2,11.4,12.5,12.3
40.5,0.109,0.103,0.103,21,9.65,9.86,9.08
44.5,0.0924,0.0857,0.0853,24.4,7.43,6.7,5.53
48.5,0.079,0.0724,0.071,28.2,5.11,3.72,2.5
52.5,0.0674,0.0613,0.0591,32.7,3.03,1.46,0.614
56.5,0.0572,0.0514,0.0498,37.8,1.42,0.255,0
60.5,0.0497,0.0443,0.0421,43.8,0.417,0,0
68.5,0.0372,0.0319,0.0308,50.7,0.00988,0,0
76.5,0.0282,0.0236,0.0219,58.8,0,0,0
84.5,0.0217,0.0174,0.0158,68.1,0,0,0
92.5,0.0174,0.0122,0.0121,78.8,0,0,0
101,0.0137,0.00866,0.00898,91.3,0,0,0
109,0.0113,0.00667,0.00689,106,0,0,0
117,0.00898,0.00532,0.00582,122,0,0,0
125,0.00688,0.00482,0.00429,142,0,0,0
141,0.00432,0.00341,0.00251,164,0,0,0
157,0.004,0.00184,0.00152,190,0,0,0
173,0.00385,0.000787,0.00146,220,0,0,0
189,0.00317,0.000377,0.00117,255,0,0,0
205,0.003,0.000275,0.000804,295,0,0,0
221,0.00271,4.22E-05,0.000536,342,0,0,0
237,0.00247,0.000111,0.000748,396,0,0,0
253,0.00228,9.21E-05,0.00117,459,0,0,0
285,0.00195,0.000128,0.000514,531,0,0,0
317,0.00127,0.000171,0.000537,615,0,0,0
349,0.000859,8.16E-05,0.000499,712,0,0,0
381,0.000786,0.000702,0.000449,825,0,0,0
413,0.000665,0,0.00084,955,0,0,0
445,0.0012,0.000246,0.000894,1.11E+03,0,0,0
477,0.00114,0.000484,0.000745,1.28E+03,0,0,0
509,0.00117,0.000298,0.000234,1.48E+03,0,0,0
573,0.00115,0.000347,0.000517,1.72E+03,0,0,0
637,0.00135,0.000573,0.00161,1.99E+03,0,0,0
701,0.000839,0.000508,0.00191,2.30E+03,0,0,0
765,0.000504,0.00019,0.000599,2.67E+03,0,0,0
829,0.00135,0.000112,0.000761,3.09E+03,0,0,0
893,0.00191,0.00011,0.000321,3.58E+03,0,0,0
957,0.00165,0.000766,0.000906,4.15E+03,0,0,0
1.02E+03,0.00107,0.000526,0.000432,4.80E+03,0,0,0
1.15E+03,0.000333,0.000532,0.0003,5.56E+03,0,0,0
1.28E+03,0.00054,0,0.00114,6.44E+03,0,0,0
1.40E+03,0.00118,0.000469,0.000255,7.46E+03,0,0,0
1.53E+03,0.00118,1.06E-05,0.000655,8.63E+03,0,0,0
1.66E+03,0.00118,0.000808,0.000393,,,,
1.79E+03,0.00136,0.000819,0.000148,,,,
1.92E+03,0.00135,0.000949,0.000763,,,,
2.04E+03,0.000685,0.000374,0.000399,,,,
2.30E+03,0.0015,0.000225,0.000257,,,,
2.56E+03,0.00115,0.000788,0.000476,,,,
2.81E+03,0.000658,0.000461,0.00102,,,,
3.07E+03,0.00129,0.000325,0.00033,,,,
3.32E+03,0.000366,0.00024,0.000726,,,,
3.58E+03,0.000597,0.000144,5.10E-05,,,,
3.84E+03,0.000949,0.000505,0.000164,,,,
4.09E+03,0.00099,0.00046,0.000144,,,,
4.60E+03,0.00047,0.000137,0.000393,,,,
5.12E+03,0.00077,0.00026,0.00042,,,,
5.63E+03,0.000856,0.000614,0.000239,,,,
6.14E+03,0.00136,0.000553,0.000622,,,,
6.65E+03,0.00103,0.000362,0.000536,,,,
7.16E+03,0.00128,0.000392,0.000432,,,,
7.68E+03,0.000877,0.000124,0.000584,,,,
8.19E+03,0.000704,0.00023,0.000152,,,,
9.21E+03,0.000451,9.21E-05,0.000313,,,,
1.02E+04,0.000465,0.000294,0.00017,,,,
1.13E+04,0.000719,6.17E-05,0.000198,,,,
1.23E+04,0.000652,0.000247,3.67E-05,,,,
1.33E+04,0.0011,0.000185,0.000107,,,,
1.43E+04,0.000774,0.000364,0.000131,,,,
1.54E+04,0.00067,9.72E-05,0.000151,,,,
1.64E+04,0.000671,0.000131,0.000214,,,,
1.84E+04,0.000801,0.000116,0.000195,,,,
2.05E+04,0.000839,0.000322,0.000246,,,,
2.25E+04,0.000693,0.000172,0.000231,,,,
2.46E+04,0.00074,6.03E-05,0.000333,,,,
2.66E+04,0.000866,0.000294,0.000118,,,,
2.87E+04,0.000904,3.44E-05,0.000361,,,,
3.07E+04,0.000828,0.000293,0.00015,,,,
3.28E+04,0.000815,0.000117,0.000122,,,,
3.69E+04,0.000845,0.000103,0.000115,,,,
4.10E+04,0.000643,0.000182,0.000132,,,,
4.51E+04,0.000588,0.000198,0.000146,,,,
4.91E+04,0.000558,7.92E-05,3.23E-05,,,,
5.32E+04,0.0006,5.89E-05,0.000236,,,,
5.73E+04,0.000649,0.00021,0.000203,,,,
6.14E+04,0.000697,6.00E-05,0.000382,,,,
6.55E+04,0.000687,0.000103,6.97E-05,,,,
7.37E+04,0.000574,0.000129,0.000109,,,,
8.19E+04,0.000722,1.58E-05,0.000158,,,,
9.01E+04,0.000705,9.41E-05,1.50E-05,,,,
9.83E+04,0.000645,3.98E-05,7.00E-06,,,,
1.06E+05,0.000799,0.000107,6.46E-05,,,,
1.15E+05,0.000602,0.00012,0.000114,,,,
1.23E+05,0.000592,2.90E-05,6.33E-06,,,,
1.31E+05,0.000895,9.45E-05,0.000141,,,,
1.47E+05,0.000719,0.00012,0.000115,,,,
1.64E+05,0.000779,0.000136,2.25E-06,,,,
1.80E+05,0.000895,0.000107,0.000172,,,,
1.97E+05,0.000908,9.34E-05,0.00015,,,,
2.13E+05,0.000648,0.000115,0.000164,,,,
2.29E+05,0.000626,0,0.00019,,,,
2.46E+05,0.000669,0.000182,4.46E-05,,,,
2.62E+05,0.000466,0.00019,7.83E-05,,,,
2.95E+05,0.000635,0.000217,0.000104,,,,
3.28E+05,0.000412,0.000255,0.000152,,,,
3.60E+05,0.000511,0.000252,0.000131,,,,
3.93E+05,0.000614,6.12E-05,9.91E-05,,,,
4.26E+05,0.000534,0.000242,0.00017,,,,
4.59E+05,0.000449,0.000259,0.000116,,,,
4.92E+05,0.000423,0.000233,0.000149,,,,
5.24E+05,0.000661,1.27E-05,0.000248,,,,
5.90E+05,0.000538,0.000131,0.000269,,,,
6.55E+05,0.000355,3.12E-05,0.000211,,,,
7.21E+05,0.000375,4.18E-05,0.000283,,,,
7.86E+05,0.000383,0.000131,0.0001,,,,
8.52E+05,0.000521,0.000112,0.000209,,,,
9.18E+05,0.000373,3.21E-05,8.64E-05,,,,
9.83E+05,0.000365,0.000107,0,,,,
1.05E+06,0.000678,4.96E-05,0.000675,,,,
1.18E+06,0.000629,6.35E-05,0.000317,,,,
1.31E+06,0.000794,1.34E-06,0.000698,,,,
1.44E+06,0.000662,0.000438,0.000357,,,,
1.57E+06,0.000463,0,0.000312,,,,
1.70E+06,0.000589,0.000324,0.000649,,,,
1.84E+06,0.000309,8.54E-05,0.000319,,,,
1.97E+06,0.000407,8.92E-05,0.000325,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
