X Lag Time,Record 1: JJ1_10mg_000rpm_00-00min_NA_No3_230629 1,Record 2: JJ1_10mg_000rpm_00-00min_NA_No3_230629 2,Record 3: JJ1_10mg_000rpm_00-00min_NA_No3_230629 3,X Intensity,Record 1: JJ1_10mg_000rpm_00-00min_NA_No3_230629 1,Record 2: JJ1_10mg_000rpm_00-00min_NA_No3_230629 2,Record 3: JJ1_10mg_000rpm_00-00min_NA_No3_230629 3
0.5,0.789,0.785,0.791,0.4,0,0,0
1,0.769,0.773,0.774,0.463,0,0,0
1.5,0.754,0.748,0.752,0.536,0,0,0
2,0.73,0.727,0.732,0.621,0,0,0
2.5,0.711,0.71,0.717,0.719,0,0,0
3,0.698,0.695,0.697,0.833,0,0,0
3.5,0.675,0.675,0.671,0.965,0,0,0
4,0.659,0.657,0.658,1.12,0,0,0
4.5,0.642,0.641,0.641,1.29,0,0,0
5.5,0.612,0.61,0.611,1.5,0,0,0
6.5,0.583,0.588,0.578,1.74,0,0,0
7.5,0.554,0.55,0.558,2.01,0,0,0
8.5,0.525,0.526,0.525,2.33,0,0,0
9.5,0.505,0.5,0.498,2.7,0,0,0
10.5,0.476,0.476,0.477,3.12,0,0,0
11.5,0.456,0.454,0.451,3.62,0,0,0
12.5,0.434,0.431,0.43,4.19,0,0,0
14.5,0.39,0.391,0.391,4.85,0,0,0
16.5,0.354,0.356,0.354,5.61,0,0,0
18.5,0.325,0.325,0.324,6.5,0,0,0
20.5,0.291,0.291,0.289,7.53,0,1.33,2.28
22.5,0.264,0.264,0.263,8.72,3.4,5.58,6.75
24.5,0.242,0.239,0.238,10.1,10.8,11.4,11.9
26.5,0.219,0.217,0.218,11.7,18.5,16.7,16
28.5,0.198,0.197,0.198,13.5,22.5,19.3,17.8
32.5,0.163,0.162,0.163,15.7,21,18.4,16.9
36.5,0.135,0.135,0.135,18.2,14.9,14.4,13.6
40.5,0.11,0.11,0.113,21,7.24,8.8,9
44.5,0.0907,0.0926,0.0925,24.4,1.62,3.62,4.5
48.5,0.0743,0.0765,0.0785,28.2,0,0.543,1.3
52.5,0.0611,0.063,0.0646,32.7,0,0,0
56.5,0.0497,0.0537,0.0549,37.8,0,0,0
60.5,0.0435,0.0443,0.0455,43.8,0,0,0
68.5,0.0306,0.0298,0.033,50.7,0,0,0
76.5,0.0207,0.0218,0.0219,58.8,0,0,0
84.5,0.0162,0.0135,0.017,68.1,0,0,0
92.5,0.0105,0.00884,0.0124,78.8,0,0,0
101,0.0078,0.00738,0.00953,91.3,0,0,0
109,0.00467,0.00635,0.00643,106,0,0,0
117,0.00351,0.00469,0.00467,122,0,0,0
125,0.00329,0.00399,0.00536,142,0,0,0
141,0.00213,0.00195,0.00338,164,0,0,0
157,0.000543,0.00149,0.00283,190,0,0,0
173,0.00082,0.0025,0.00143,220,0,0,0
189,0.00105,0.00198,0.00195,255,0,0,0
205,0.000939,0.000941,0.00112,295,0,0,0
221,0.00119,0.000593,0.00045,342,0,0,0
237,0.000709,0.000618,0.000785,396,0,0,0
253,0.00108,0.000458,0.00046,459,0,0,0
285,0.00175,0.000605,0.000621,531,0,0,0
317,0.00166,0.000847,0.00145,615,0,0,0
349,0.00153,0.00114,0.00179,712,0,0,0
381,0.00121,0.00204,0.000867,825,0,0,0
