X Lag Time,Record 1: H2O_00mg_PS2_500ug_000rpm_00-00min_NA_No1 1,Record 2: H2O_00mg_PS2_500ug_000rpm_00-00min_NA_No1 2,Record 3: H2O_00mg_PS2_500ug_000rpm_00-00min_NA_No1 3,X Intensity,Record 1: H2O_00mg_PS2_500ug_000rpm_00-00min_NA_No1 1,Record 2: H2O_00mg_PS2_500ug_000rpm_00-00min_NA_No1 2,Record 3: H2O_00mg_PS2_500ug_000rpm_00-00min_NA_No1 3
0.5,0.5,0.491,0.473,0.4,0,0,0
1,0.48,0.472,0.456,0.463,0,0,0
1.5,0.463,0.45,0.434,0.536,0,0,0
2,0.449,0.441,0.423,0.621,0,0,0
2.5,0.436,0.429,0.408,0.719,0,0,0
3,0.421,0.419,0.399,0.833,0,0,0
3.5,0.415,0.406,0.386,0.965,0,0,0
4,0.397,0.391,0.379,1.12,0,0,0
4.5,0.388,0.38,0.366,1.29,0,0,0
5.5,0.367,0.357,0.34,1.5,0,0,0
6.5,0.346,0.339,0.321,1.74,0,0,0
7.5,0.33,0.323,0.302,2.01,0,0,0
8.5,0.31,0.307,0.287,2.33,0,0,0
9.5,0.294,0.291,0.275,2.7,0,0,0
10.5,0.285,0.27,0.257,3.12,0,0,0
11.5,0.269,0.262,0.245,3.62,0,0,0
12.5,0.257,0.25,0.232,4.19,0.0878,0.845,0.393
14.5,0.232,0.226,0.207,4.85,1.49,2.78,2.46
16.5,0.211,0.203,0.191,5.61,4.28,5.44,5.76
18.5,0.196,0.186,0.169,6.5,7.78,8.17,9.24
20.5,0.175,0.172,0.156,7.53,10.9,10.3,11.8
22.5,0.16,0.156,0.141,8.72,12.8,11.4,12.9
24.5,0.148,0.144,0.13,10.1,12.9,11.3,12.3
26.5,0.136,0.132,0.121,11.7,11.1,9.94,10.2
28.5,0.128,0.123,0.109,13.5,8.02,7.72,7.29
32.5,0.111,0.105,0.0952,15.7,4.55,5.13,4.3
36.5,0.0959,0.0939,0.0809,18.2,1.71,2.72,1.88
40.5,0.0841,0.0807,0.0702,21,0.193,0.971,0.445
44.5,0.0748,0.0727,0.0625,24.4,0,0.11,0
48.5,0.0677,0.0642,0.055,28.2,0,0,0
52.5,0.0622,0.0589,0.0488,32.7,0,0,0
56.5,0.0552,0.0522,0.0446,37.8,0,0,0
60.5,0.0521,0.049,0.0402,43.8,0,0,0
68.5,0.0459,0.0435,0.035,50.7,0,0,0
76.5,0.0399,0.0382,0.0321,58.8,0,0,0
84.5,0.0368,0.0348,0.0277,68.1,0,0,0
92.5,0.0345,0.0319,0.0251,78.8,0,0,0
101,0.0313,0.0299,0.0233,91.3,0,0,0
109,0.0308,0.0283,0.0218,106,0,0,0
117,0.0301,0.0271,0.0197,122,0,0,0
125,0.0281,0.0257,0.0188,142,0,0,0.106
141,0.0272,0.0236,0.0178,164,0,0.14,0.378
157,0.026,0.0227,0.0182,190,0.172,0.476,0.793
173,0.0249,0.0215,0.0178,220,0.616,0.971,1.28
189,0.0227,0.0212,0.0156,255,1.27,1.54,1.77
205,0.0228,0.0208,0.0147,295,2,2.09,2.17
221,0.0224,0.0202,0.015,342,2.64,2.52,2.43
237,0.0224,0.0185,0.0154,396,3.09,2.78,2.51
253,0.0219,0.0189,0.0153,459,3.26,2.82,2.42
285,0.0205,0.0169,0.0136,531,3.14,2.66,2.18
317,0.0181,0.0168,0.0119,615,2.75,2.33,1.81
349,0.0168,0.0157,0.011,712,2.18,1.87,1.38
381,0.0156,0.0151,0.01,825,1.53,1.36,0.941
413,0.0147,0.0136,0.0108,955,0.911,0.871,0.55
445,0.0138,0.0133,0.00932,1.11E+03,0.418,0.461,0.252
477,0.0128,0.0112,0.00759,1.28E+03,0.114,0.176,0.0705
509,0.0127,0.011,0.00734,1.48E+03,0,0.0321,0
573,0.0105,0.0101,0.00648,1.72E+03,0,0,0
637,0.00909,0.00926,0.00607,1.99E+03,0,0,0
701,0.00857,0.00818,0.00538,2.30E+03,0,0,0
765,0.00714,0.00676,0.00455,2.67E+03,0,0,0
829,0.00671,0.00544,0.00418,3.09E+03,0,0,0
893,0.00414,0.00478,0.00418,3.58E+03,0,0,0
957,0.00464,0.00502,0.00302,4.15E+03,0,0,0
1.02E+03,0.00402,0.00477,0.00306,4.80E+03,0,0,0
1.15E+03,0.00388,0.00379,0.00185,5.56E+03,0,0,0
1.28E+03,0.00269,0.0025,0.00245,6.44E+03,0,0,0
1.40E+03,0.00199,0.00219,0.0013,7.46E+03,0,0,0
1.53E+03,0.00171,0.00142,0.00113,8.63E+03,0,0,0
1.66E+03,0.00115,0.00139,0.000872,,,,
1.79E+03,0.00131,0.00107,0.000823,,,,
1.92E+03,0.000528,0.000742,0.000899,,,,
2.04E+03,0.00107,0.000628,0.000496,,,,
