X Lag Time,Record 1: JJ1_01mg_000rpm_10-00min_PM_No3_230601 1,Record 2: JJ1_01mg_000rpm_10-00min_PM_No3_230601 2,Record 3: JJ1_01mg_000rpm_10-00min_PM_No3_230601 3,X Intensity,Record 1: JJ1_01mg_000rpm_10-00min_PM_No3_230601 1,Record 2: JJ1_01mg_000rpm_10-00min_PM_No3_230601 2,Record 3: JJ1_01mg_000rpm_10-00min_PM_No3_230601 3
0.5,0.774,0.754,0.748,0.4,0,0,0
1,0.751,0.731,0.725,0.463,0,0,0
1.5,0.724,0.702,0.701,0.536,0,0,0
2,0.699,0.68,0.676,0.621,0,0,0
2.5,0.678,0.659,0.656,0.719,0.0897,0.465,0
3,0.657,0.639,0.634,0.833,0.709,1.13,0
3.5,0.639,0.619,0.616,0.965,1.38,1.49,0
4,0.618,0.601,0.6,1.12,1.54,1.3,0
4.5,0.604,0.585,0.584,1.29,1.07,0.718,0
5.5,0.571,0.556,0.553,1.5,0.365,0.167,0
6.5,0.542,0.527,0.524,1.74,0,0,0
7.5,0.515,0.5,0.499,2.01,0,0,0
8.5,0.491,0.477,0.475,2.33,0,0,0
9.5,0.468,0.455,0.451,2.7,0,0,0
10.5,0.446,0.432,0.43,3.12,0,0,0
11.5,0.424,0.413,0.411,3.62,0,0,0
12.5,0.406,0.394,0.392,4.19,0,0,0
14.5,0.371,0.36,0.359,4.85,0,0,0
16.5,0.337,0.328,0.327,5.61,0,0.0431,0
18.5,0.308,0.3,0.298,6.5,0.623,1.07,0.976
20.5,0.281,0.274,0.273,7.53,2.58,3.17,3.13
22.5,0.258,0.252,0.25,8.72,5.61,5.97,6.09
24.5,0.235,0.231,0.228,10.1,8.97,8.85,9.22
26.5,0.214,0.21,0.209,11.7,11.9,11.2,11.8
28.5,0.196,0.193,0.192,13.5,13.6,12.7,13.5
32.5,0.165,0.163,0.162,15.7,13.9,12.9,13.8
36.5,0.138,0.137,0.136,18.2,12.7,12,12.8
40.5,0.117,0.116,0.115,21,10.4,10.1,10.8
44.5,0.0986,0.0976,0.0971,24.4,7.45,7.65,8.18
48.5,0.0843,0.0828,0.0826,28.2,4.49,5.05,5.38
52.5,0.0717,0.0698,0.0706,32.7,2.06,2.76,2.92
56.5,0.0609,0.0604,0.0591,37.8,0.553,1.1,1.14
60.5,0.0528,0.0518,0.0509,43.8,0,0.215,0.216
68.5,0.0388,0.0384,0.0391,50.7,0,0,0
76.5,0.0291,0.029,0.0294,58.8,0,0,0
84.5,0.0218,0.0221,0.0225,68.1,0,0,0
92.5,0.0167,0.0166,0.0171,78.8,0,0,0
101,0.0124,0.0137,0.0133,91.3,0,0,0
109,0.00993,0.0101,0.0112,106,0,0,0
117,0.00798,0.00705,0.00881,122,0,0,0
125,0.00646,0.00544,0.00771,142,0,0,0
141,0.00451,0.00278,0.00565,164,0,0,0
157,0.00354,0.00203,0.00456,190,0,0,0
173,0.00306,0.00238,0.00323,220,0,0,0
189,0.00254,0.002,0.00139,255,0,0,0
205,0.00179,0.00133,0.00127,295,0,0,0
221,0.00127,0.000948,0.00133,342,0,0,0
237,0.00172,0.000592,0.00201,396,0,0,0
253,0.00115,0.000541,0.00173,459,0,0,0
285,0.0013,0.00124,0.00042,531,0,0,0
317,0.00116,0.00136,0.000889,615,0,0,0
349,0.000773,0.000541,0.000978,712,0,0,0
381,0.000309,0.000903,0.00106,825,0,0,0
413,0.000746,0.00067,0.00135,955,0,0,0
445,0.00148,0.000472,0.000943,1.11E+03,0,0,0
477,0.0015,0.000197,0.000398,1.28E+03,0,0,0
509,0.000806,0.000578,0.000259,1.48E+03,0,0,0
573,0.00143,0.00101,0.000794,1.72E+03,0,0,0
637,0.000981,0.000264,0.00121,1.99E+03,0,0,0
701,0.00123,0.000377,0.000342,2.30E+03,0,0,0
765,0.00225,0.000476,0.000116,2.67E+03,0,0,0
829,0.00115,0.00059,0.000155,3.09E+03,0,0,0
893,0.000615,0.000721,0.000918,3.58E+03,0,0,0
957,0.000746,0.000732,0.000503,4.15E+03,0,0,0
1.02E+03,0.000833,0.000905,0.000742,4.80E+03,0,0,0
1.15E+03,0.000321,0.00052,0.000402,5.56E+03,0,0,0
1.28E+03,0.000803,0.000613,0.000124,6.44E+03,0,0,0
1.40E+03,0.000736,0.000855,4.15E-05,7.46E+03,0,0,0
1.53E+03,0.000437,0.000218,0.000641,8.63E+03,0,0,0
1.66E+03,0.000672,0.000917,0.000659,,,,
1.79E+03,0.00068,0.00116,0.00123,,,,
1.92E+03,0.000498,9.98E-05,0.000504,,,,
2.04E+03,0.000957,0.000249,0.000511,,,,
2.30E+03,0.00116,6.86E-05,0.000839,,,,
2.56E+03,0.000488,0.00082,0,,,,
2.81E+03,0.000249,0,0.000245,,,,
3.07E+03,0.000222,0.000602,0.0005,,,,
3.32E+03,0.00018,0.000717,0.000423,,,,
3.58E+03,0.000828,7.21E-05,0.00019,,,,
3.84E+03,0.000475,9.31E-05,9.52E-05,,,,
4.09E+03,0.000475,0.000287,0.00023,,,,
4.60E+03,0.000673,0.000285,0.000358,,,,
5.12E+03,0.000659,0.00065,0.000286,,,,
5.63E+03,0.000289,0.000374,0.00014,,,,
6.14E+03,0.00035,0.00093,0.000171,,,,
6.65E+03,9.83E-05,0.000464,0.000213,,,,
7.16E+03,0.000133,0.00043,8.26E-05,,,,
7.68E+03,0.000192,0,0.000957,,,,
8.19E+03,0.000336,0,0.000514,,,,
9.21E+03,0.00023,0.000121,0.000582,,,,
1.02E+04,0.000325,1.77E-06,0.000248,,,,
1.13E+04,0.000233,0.000151,0.000186,,,,
1.23E+04,0.000346,0.000233,0.000252,,,,
1.33E+04,0.00022,0.000172,0.000279,,,,
1.43E+04,0.000258,0.000296,0.000302,,,,
1.54E+04,0.000292,0.000669,0.000311,,,,
1.64E+04,0.00025,0.000372,0.000162,,,,
1.84E+04,5.31E-05,8.82E-05,0.000261,,,,
2.05E+04,0.000255,4.74E-05,0.00013,,,,
2.25E+04,7.77E-05,0.000275,0.000157,,,,
2.46E+04,0.000208,0.000571,0.000119,,,,
2.66E+04,0.00027,0.000285,0.000426,,,,
2.87E+04,0,0.000128,8.02E-05,,,,
3.07E+04,0.000163,0.000211,2.34E-05,,,,
3.28E+04,0.000209,0.000154,0.000205,,,,
3.69E+04,2.88E-05,8.18E-05,0.000225,,,,
4.10E+04,0.000148,9.53E-05,0.000154,,,,
4.51E+04,5.04E-05,0.0002,0.000171,,,,
4.91E+04,0.00017,0.000155,8.45E-05,,,,
5.32E+04,0.000184,0.000289,0.000179,,,,
5.73E+04,0.000263,8.60E-05,0.000108,,,,
6.14E+04,0.000137,2.21E-05,0.0001,,,,
6.55E+04,0.0001,0.000259,0.000235,,,,
7.37E+04,6.09E-05,0.000341,0.000121,,,,
8.19E+04,0.000109,0.000179,0.000154,,,,
9.01E+04,8.01E-05,0.000173,0.000364,,,,
9.83E+04,0.000155,0.00029,0.000197,,,,
1.06E+05,8.28E-05,0.000419,0.000278,,,,
1.15E+05,0.000122,0.000249,0.000171,,,,
1.23E+05,1.13E-05,0.000157,9.01E-05,,,,
1.31E+05,0.000134,0.000228,0.000161,,,,
1.47E+05,3.72E-05,0.000134,7.27E-05,,,,
1.64E+05,0.000114,0.00012,0.000142,,,,
1.80E+05,8.65E-05,0.000253,0.0002,,,,
1.97E+05,0.000259,0.00016,0.000238,,,,
2.13E+05,6.33E-05,7.60E-05,0.000127,,,,
