X Lag Time,Record 1: JJ1_01mg_000rpm_00-00min_NA_No2_230530 1,Record 2: JJ1_01mg_000rpm_00-00min_NA_No2_230530 2,Record 3: JJ1_01mg_000rpm_00-00min_NA_No2_230530 3,X Intensity,Record 1: JJ1_01mg_000rpm_00-00min_NA_No2_230530 1,Record 2: JJ1_01mg_000rpm_00-00min_NA_No2_230530 2,Record 3: JJ1_01mg_000rpm_00-00min_NA_No2_230530 3
0.5,0.748,0.762,0.773,0.4,0,0,0
1,0.725,0.737,0.75,0.463,0,0,0
1.5,0.7,0.71,0.724,0.536,0,0,0
2,0.674,0.687,0.701,0.621,0,0,0.0988
2.5,0.653,0.665,0.677,0.719,0,0,0.533
3,0.633,0.644,0.658,0.833,0,0.558,1.08
3.5,0.614,0.626,0.639,0.965,0,1.36,1.37
4,0.596,0.606,0.623,1.12,0,1.68,1.2
4.5,0.578,0.589,0.606,1.29,0,1.25,0.694
5.5,0.548,0.558,0.573,1.5,0,0.476,0.187
6.5,0.52,0.53,0.543,1.74,0,0,0
7.5,0.494,0.502,0.517,2.01,0,0,0
8.5,0.469,0.478,0.493,2.33,0,0,0
9.5,0.446,0.454,0.471,2.7,0,0,0
10.5,0.424,0.433,0.448,3.12,0,0,0
11.5,0.404,0.413,0.43,3.62,0,0,0
12.5,0.384,0.394,0.41,4.19,0,0,0
14.5,0.349,0.358,0.375,4.85,0,0,0
16.5,0.317,0.325,0.342,5.61,0.127,0,0.23
18.5,0.289,0.296,0.313,6.5,1.34,0.606,1.4
20.5,0.262,0.27,0.287,7.53,3.77,2.62,3.51
22.5,0.241,0.247,0.263,8.72,7,5.8,6.18
24.5,0.218,0.224,0.241,10.1,10.3,9.37,8.86
26.5,0.198,0.205,0.222,11.7,13,12.4,11
28.5,0.182,0.188,0.204,13.5,14.5,14.2,12.3
32.5,0.151,0.157,0.172,15.7,14.4,14.4,12.4
36.5,0.126,0.131,0.146,18.2,12.9,13,11.6
40.5,0.105,0.11,0.124,21,10.2,10.2,9.83
44.5,0.0881,0.0929,0.107,24.4,6.94,6.88,7.59
48.5,0.0734,0.0778,0.0908,28.2,3.83,3.69,5.2
52.5,0.0623,0.0661,0.0774,32.7,1.47,1.31,3.03
56.5,0.0526,0.0555,0.0665,37.8,0.227,0.135,1.38
60.5,0.0447,0.048,0.0574,43.8,0,0,0.376
68.5,0.0318,0.0342,0.0429,50.7,0,0,0
76.5,0.0237,0.0261,0.033,58.8,0,0,0
84.5,0.0172,0.0188,0.0259,68.1,0,0,0
92.5,0.0124,0.0133,0.0204,78.8,0,0,0
101,0.00997,0.0101,0.016,91.3,0,0,0
109,0.00684,0.00738,0.013,106,0,0,0
117,0.00489,0.00657,0.0108,122,0,0,0
125,0.00361,0.00604,0.00942,142,0,0,0
141,0.00143,0.00462,0.00666,164,0,0,0
157,0.000825,0.00212,0.00556,190,0,0,0
173,0.000666,0.00177,0.00509,220,0,0,0
189,0.000274,0.000626,0.00343,255,0,0,0
205,0.000204,0.000736,0.00253,295,0,0,0
221,0,0.000773,0.00229,342,0,0,0
237,0.00039,0.000529,0.00186,396,0,0,0
253,0.000648,0.000415,0.00155,459,0,0,0
285,0.000712,0.000158,0.00161,531,0,0,0
317,0.000652,0.000715,0.000884,615,0,0,0
349,0.000976,0.00124,0.000778,712,0,0,0
