X Lag Time,Record 1: JJ1_01mg_PS8_050ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS8_050ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS8_050ug_000rpm_00-00min_NA_No1_230620 3,X Intensity,Record 1: JJ1_01mg_PS8_050ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS8_050ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS8_050ug_000rpm_00-00min_NA_No1_230620 3
0.5,0.793,0.794,0.793,0.4,0,0,0
1,0.764,0.769,0.771,0.463,0,0,0
1.5,0.739,0.739,0.742,0.536,0,0,0
2,0.711,0.712,0.717,0.621,0,0,0
2.5,0.69,0.691,0.692,0.719,0,0,0
3,0.669,0.669,0.672,0.833,0,0,0
3.5,0.648,0.649,0.655,0.965,0,0,0
4,0.629,0.629,0.635,1.12,0,0,0
4.5,0.611,0.613,0.617,1.29,0,0,0
5.5,0.578,0.579,0.583,1.5,0,0,0
6.5,0.547,0.549,0.555,1.74,0,0,0
7.5,0.519,0.52,0.524,2.01,0,0,0
8.5,0.493,0.495,0.5,2.33,0,0,0
9.5,0.468,0.47,0.476,2.7,0,0,0
10.5,0.444,0.447,0.453,3.12,0,0,0
11.5,0.423,0.424,0.43,3.62,0,0,0
12.5,0.401,0.405,0.411,4.19,0,0,0
14.5,0.365,0.367,0.375,4.85,0,0,0
16.5,0.33,0.334,0.34,5.61,0,0.253,0.153
18.5,0.3,0.303,0.31,6.5,1.17,1.61,1.32
20.5,0.272,0.275,0.283,7.53,3.78,4.11,3.58
22.5,0.249,0.25,0.258,8.72,7.34,7.27,6.56
24.5,0.226,0.229,0.235,10.1,11,10.4,9.62
26.5,0.205,0.209,0.215,11.7,13.9,12.9,12.1
28.5,0.187,0.191,0.197,13.5,15.3,14.1,13.6
32.5,0.154,0.158,0.166,15.7,14.9,13.9,13.8
36.5,0.129,0.131,0.139,18.2,12.9,12.4,12.7
40.5,0.107,0.109,0.118,21,9.75,9.92,10.6
44.5,0.0886,0.0909,0.099,24.4,6.19,6.92,7.79
48.5,0.0742,0.0769,0.0828,28.2,3.01,4.01,4.89
52.5,0.0613,0.0647,0.0709,32.7,0.863,1.74,2.41
56.5,0.0514,0.0554,0.0601,37.8,0,0.408,0.731
