X Lag Time,Record 1: H2O_000rpm_00-00min_NA_No1_230530 1,Record 2: H2O_000rpm_00-00min_NA_No1_230530 2,Record 3: H2O_000rpm_00-00min_NA_No1_230530 3,X Intensity,Record 1: H2O_000rpm_00-00min_NA_No1_230530 1,Record 2: H2O_000rpm_00-00min_NA_No1_230530 2,Record 3: H2O_000rpm_00-00min_NA_No1_230530 3
0.5,0.0294,0.0273,0.0251,0.4,0,0,0
1,0.0176,0.0192,0.0185,0.463,0,0,0
1.5,0.0142,0.014,0.0157,0.536,0,0,0
2,0.0118,0.0165,0.0179,0.621,0,0,0
2.5,0.0175,0.0126,0.00949,0.719,0,0,0
3,0.0124,0.0155,0.0128,0.833,0,0,0
3.5,0.0169,0.0121,0.0129,0.965,0,0,0.0127
4,0.0125,0.0132,0.0115,1.12,0,0,0.184
4.5,0.0135,0.0143,0.0126,1.29,0,0,0.583
5.5,0.00861,0.0107,0.0125,1.5,0,0,1.21
6.5,0.00961,0.00872,0.00901,1.74,0,0,2.02
7.5,0.00875,0.011,0.0104,2.01,0.163,0,2.93
8.5,0.00986,0.00669,0.00931,2.33,0.836,0.0109,3.83
9.5,0.00624,0.00858,0.00828,2.7,2.02,0.389,4.63
10.5,0.00811,0.00614,0.00938,3.12,3.52,1.25,5.27
11.5,0.00698,0.00971,0.00636,3.62,5.1,2.52,5.7
12.5,0.00711,0.00633,0.00868,4.19,6.51,4.04,5.88
14.5,0.00754,0.00699,0.00516,4.85,7.58,5.61,5.84
16.5,0.00494,0.00665,0.00688,5.61,8.2,7,5.58
18.5,0.00639,0.00379,0.00599,6.5,8.32,8.03,5.15
20.5,0.0031,0.00512,0.00513,7.53,7.96,8.59,4.59
22.5,0.00395,0.00565,0.00521,8.72,7.22,8.63,3.95
24.5,0.0039,0.00478,0.00495,10.1,6.19,8.15,3.27
26.5,0.00307,0.00399,0.00411,11.7,5,7.23,2.6
28.5,0.00445,0.00398,0.00422,13.5,3.77,5.99,1.97
32.5,0.00319,0.00247,0.00429,15.7,2.62,4.6,1.41
36.5,0.00295,0.00311,0.004,18.2,1.63,3.21,0.932
40.5,0.00259,0.00424,0.00398,21,0.875,1.97,0.555
44.5,0.0025,0.00258,0.003,24.4,0.365,1,0.283
48.5,0.00279,0.00302,0.00413,28.2,0.0915,0.365,0.11
52.5,0.0026,0.00248,0.00456,32.7,0,0.0611,0.0244
56.5,0.0018,0.00222,0.00312,37.8,0,0,0
60.5,0.00189,0.00236,0.00336,43.8,0,0,0
68.5,0.00202,0.00167,0.0022,50.7,0,0,0
76.5,0.00225,0.00168,0.00265,58.8,0,0,0
