X Lag Time,Record 1: H2O_00mg_200rpm_10-00min_PM_No3_230601 1,Record 2: H2O_00mg_200rpm_10-00min_PM_No3_230601 2,Record 3: H2O_00mg_200rpm_10-00min_PM_No3_230601 3,X Intensity,Record 1: H2O_00mg_200rpm_10-00min_PM_No3_230601 1,Record 2: H2O_00mg_200rpm_10-00min_PM_No3_230601 2,Record 3: H2O_00mg_200rpm_10-00min_PM_No3_230601 3
0.5,0.531,0.567,0.607,0.4,0,0,0
1,0.528,0.563,0.599,0.463,0,0,0
1.5,0.526,0.562,0.597,0.536,0,0,0
2,0.522,0.56,0.6,0.621,0,0,0
2.5,0.521,0.555,0.595,0.719,0,0,0
3,0.517,0.558,0.591,0.833,0,0,0
3.5,0.517,0.556,0.595,0.965,0,0,0
4,0.516,0.556,0.593,1.12,0,0,0
4.5,0.516,0.552,0.589,1.29,0,0,0
5.5,0.511,0.548,0.585,1.5,0,0,0
6.5,0.51,0.548,0.585,1.74,0,0,0
7.5,0.507,0.544,0.582,2.01,0,0,0
8.5,0.508,0.543,0.58,2.33,0,0,0
9.5,0.506,0.544,0.578,2.7,0,0,0
10.5,0.503,0.538,0.576,3.12,0,0,0
11.5,0.498,0.539,0.574,3.62,0,0,0
12.5,0.498,0.535,0.57,4.19,0,0,0
14.5,0.495,0.53,0.566,4.85,0,0,0
16.5,0.49,0.528,0.564,5.61,0,0,0
18.5,0.486,0.524,0.559,6.5,0,0,0
20.5,0.482,0.522,0.556,7.53,0,0,0
22.5,0.48,0.519,0.553,8.72,0,0,0
24.5,0.478,0.514,0.546,10.1,0,0,0
26.5,0.473,0.512,0.545,11.7,0,0,0
28.5,0.471,0.509,0.543,13.5,0,0,0
32.5,0.466,0.502,0.535,15.7,0,0,0
36.5,0.46,0.497,0.529,18.2,0,0,0
40.5,0.454,0.491,0.524,21,0,0,0
44.5,0.449,0.483,0.515,24.4,0,0,0
48.5,0.442,0.478,0.51,28.2,0,0,0
52.5,0.437,0.472,0.503,32.7,0,0,0
56.5,0.432,0.469,0.497,37.8,0,0,0
60.5,0.426,0.463,0.492,43.8,0,0,0
68.5,0.416,0.452,0.48,50.7,0,0,0
76.5,0.406,0.44,0.471,58.8,0,0,0
84.5,0.396,0.431,0.458,68.1,0,0,0
92.5,0.388,0.42,0.449,78.8,0,0,0
101,0.377,0.411,0.438,91.3,0,0,0
109,0.368,0.402,0.428,106,0,0,0.305
117,0.36,0.392,0.417,122,2.16,0,2.26
125,0.351,0.383,0.408,142,6.71,3.15,5.76
141,0.335,0.367,0.39,164,12.1,9.62,9.91
157,0.318,0.35,0.371,190,16.5,16.6,13.6
173,0.304,0.335,0.355,220,18.4,20.8,15.8
189,0.291,0.321,0.34,255,17.3,20.7,16
205,0.278,0.306,0.325,295,13.6,16.3,14.2
221,0.266,0.293,0.311,342,8.55,9.56,10.9
237,0.252,0.28,0.297,396,3.86,3.34,6.94
253,0.241,0.268,0.284,459,0.867,0.0169,3.34
285,0.219,0.245,0.26,531,0,0,0.92
317,0.2,0.223,0.238,615,0,0,0
349,0.182,0.204,0.219,712,0,0,0
381,0.166,0.186,0.2,825,0,0,0
413,0.151,0.169,0.184,955,0,0,0
445,0.138,0.154,0.169,1.11E+03,0,0,0
477,0.126,0.141,0.156,1.28E+03,0,0,0
509,0.116,0.129,0.144,1.48E+03,0,0,0
573,0.097,0.107,0.121,1.72E+03,0,0,0
637,0.0807,0.0891,0.103,1.99E+03,0,0,0
701,0.0675,0.075,0.0867,2.30E+03,0,0,0
765,0.0567,0.0636,0.0736,2.67E+03,0,0,0
829,0.0492,0.0536,0.0615,3.09E+03,0,0,0
893,0.043,0.046,0.0524,3.58E+03,0,0,0
957,0.0378,0.0393,0.0449,4.15E+03,0,0,0
1.02E+03,0.0331,0.0341,0.0395,4.80E+03,0,0,0
1.15E+03,0.0254,0.0264,0.0316,5.56E+03,0,0,0
1.28E+03,0.0208,0.021,0.0255,6.44E+03,0,0,0
1.40E+03,0.0183,0.0174,0.0209,7.46E+03,0,0,0
1.53E+03,0.015,0.016,0.0174,8.63E+03,0,0,0
1.66E+03,0.013,0.0155,0.0145,,,,
1.79E+03,0.0126,0.015,0.0122,,,,
1.92E+03,0.0135,0.0138,0.0104,,,,
2.04E+03,0.0139,0.0127,0.00983,,,,
2.30E+03,0.0138,0.0111,0.00927,,,,
2.56E+03,0.0149,0.0128,0.00967,,,,
2.81E+03,0.0138,0.0141,0.00968,,,,
3.07E+03,0.0122,0.014,0.0104,,,,
3.32E+03,0.00946,0.0117,0.0111,,,,
3.58E+03,0.00784,0.0128,0.0117,,,,
