X Lag Time,Record 1: H2O_00mg_200rpm_10-00min_ST_No3_230601 1,Record 2: H2O_00mg_200rpm_10-00min_ST_No3_230601 2,Record 3: H2O_00mg_200rpm_10-00min_ST_No3_230601 3,X Intensity,Record 1: H2O_00mg_200rpm_10-00min_ST_No3_230601 1,Record 2: H2O_00mg_200rpm_10-00min_ST_No3_230601 2,Record 3: H2O_00mg_200rpm_10-00min_ST_No3_230601 3
0.5,0.234,0.296,0.29,0.4,0,0,0
1,0.223,0.286,0.287,0.463,0,0,0
1.5,0.216,0.287,0.284,0.536,0,0,0
2,0.217,0.282,0.283,0.621,0,0,0
2.5,0.22,0.281,0.281,0.719,0,0,0
3,0.217,0.276,0.28,0.833,0,0,0
3.5,0.217,0.273,0.278,0.965,0,0,0
4,0.215,0.273,0.278,1.12,0,0,0
4.5,0.213,0.272,0.279,1.29,0,0,0
5.5,0.213,0.272,0.277,1.5,0,0,0
6.5,0.209,0.27,0.274,1.74,0,0,0
7.5,0.21,0.269,0.271,2.01,0,0,0
8.5,0.211,0.267,0.274,2.33,0,0,0
9.5,0.203,0.261,0.271,2.7,0,0,0
10.5,0.204,0.266,0.269,3.12,0,0,0
11.5,0.206,0.261,0.268,3.62,0,0,0
12.5,0.204,0.262,0.267,4.19,0,0,0
14.5,0.203,0.26,0.265,4.85,0,0,0
16.5,0.199,0.256,0.263,5.61,0,0,0
18.5,0.197,0.255,0.262,6.5,0,0,0
20.5,0.198,0.253,0.26,7.53,0,0,0
22.5,0.196,0.25,0.259,8.72,0,0,0
24.5,0.194,0.25,0.258,10.1,0,0,0
26.5,0.194,0.248,0.258,11.7,0,0,0
28.5,0.191,0.247,0.255,13.5,0,0,0
32.5,0.188,0.242,0.252,15.7,0,0,0
36.5,0.185,0.239,0.248,18.2,0,0,0
40.5,0.183,0.237,0.245,21,0,0,0
44.5,0.18,0.234,0.243,24.4,0,0,0
48.5,0.181,0.231,0.241,28.2,0,0,0
52.5,0.178,0.229,0.238,32.7,0,0,0
56.5,0.175,0.227,0.236,37.8,0,0,0
60.5,0.172,0.223,0.234,43.8,0,0,0
68.5,0.168,0.218,0.228,50.7,0,0,0
76.5,0.164,0.212,0.226,58.8,0,0,0
84.5,0.16,0.208,0.22,68.1,0,0,0
92.5,0.156,0.202,0.216,78.8,0,0,0
101,0.152,0.198,0.211,91.3,0,0,0
109,0.149,0.192,0.207,106,0.352,0,0
117,0.146,0.189,0.203,122,2.81,2.05,0
125,0.142,0.185,0.198,142,7.04,6.92,1.48
141,0.136,0.176,0.191,164,11.7,12.9,6.32
157,0.13,0.169,0.183,190,15.5,17.6,12.8
173,0.124,0.161,0.176,220,17.1,19.4,18.1
189,0.118,0.154,0.169,255,16.4,17.7,20.2
205,0.113,0.147,0.161,295,13.4,13.2,18.3
221,0.108,0.141,0.155,342,9.21,7.47,13.3
237,0.103,0.135,0.15,396,4.86,2.59,7.2
253,0.0985,0.128,0.143,459,1.56,0.0717,2.25
285,0.0899,0.116,0.132,531,0.00606,0,0
317,0.0819,0.105,0.122,615,0,0,0
349,0.075,0.0957,0.113,712,0,0,0
381,0.0682,0.0867,0.104,825,0,0,0
413,0.0623,0.0786,0.0955,955,0,0,0
445,0.0567,0.0715,0.0874,1.11E+03,0,0,0
477,0.0517,0.0648,0.0801,1.28E+03,0,0,0
509,0.0473,0.0591,0.0739,1.48E+03,0,0,0
573,0.0395,0.0497,0.0619,1.72E+03,0,0,0
637,0.0334,0.0409,0.0521,1.99E+03,0,0,0
701,0.0279,0.0344,0.0436,2.30E+03,0,0,0
765,0.0236,0.0283,0.0359,2.67E+03,0,0,0
829,0.0199,0.0244,0.03,3.09E+03,0,0,0
893,0.0172,0.0209,0.0252,3.58E+03,0,0,0
957,0.0142,0.0186,0.0218,4.15E+03,0,0,0
1.02E+03,0.0127,0.0169,0.0192,4.80E+03,0,0,0
1.15E+03,0.0103,0.0138,0.0159,5.56E+03,0,0,0
1.28E+03,0.00873,0.012,0.0135,6.44E+03,0,0,0
1.40E+03,0.00817,0.0112,0.012,7.46E+03,0,0,0
1.53E+03,0.00736,0.0114,0.0112,8.63E+03,0,0,0
1.66E+03,0.00742,0.0109,0.0108,,,,
1.79E+03,0.00681,0.0112,0.0105,,,,
1.92E+03,0.0065,0.0111,0.0104,,,,
2.04E+03,0.00622,0.0112,0.0105,,,,
2.30E+03,0.00617,0.0111,0.0113,,,,
2.56E+03,0.00655,0.0116,0.0112,,,,
2.81E+03,0.00656,0.0103,0.011,,,,
3.07E+03,0.00716,0.00996,0.0112,,,,
3.32E+03,0.00734,0.0105,0.0116,,,,
3.58E+03,0.00789,0.0106,0.0118,,,,
3.84E+03,0.00758,0.0106,0.0124,,,,
4.09E+03,0.00725,0.00959,0.0126,,,,
4.60E+03,0.00798,0.00868,0.0119,,,,
5.12E+03,0.00722,0.00871,0.00894,,,,
5.63E+03,0.00696,0.0099,0.00857,,,,
6.14E+03,0.00783,0.0104,0.0113,,,,
6.65E+03,0.00622,0.0118,0.0127,,,,
7.16E+03,0.00618,0.0116,0.0131,,,,
7.68E+03,0.00715,0.00963,0.0138,,,,
8.19E+03,0.00818,0.00883,0.0127,,,,
9.21E+03,0.00713,0.0101,0.0106,,,,
1.02E+04,0.00627,0.0114,0.0106,,,,
1.13E+04,0.00604,0.0121,0.0114,,,,
1.23E+04,0.00542,0.0101,0.00997,,,,
1.33E+04,0.00578,0.0101,0.00935,,,,
1.43E+04,0.0055,0.00889,0.0104,,,,
1.54E+04,0.0063,0.0107,0.011,,,,
1.64E+04,0.00612,0.0103,0.012,,,,
1.84E+04,0.00578,0.00956,0.0119,,,,
2.05E+04,0.00597,0.0095,0.00984,,,,
2.25E+04,0.00518,0.00842,0.00969,,,,
2.46E+04,0.00635,0.01,0.0109,,,,
2.66E+04,0.00655,0.0105,0.0107,,,,
2.87E+04,0.00782,0.00762,0.0119,,,,
3.07E+04,0.00667,0.00894,0.0122,,,,
3.28E+04,0.00592,0.0104,0.0112,,,,
3.69E+04,0.00605,0.0103,0.0116,,,,
4.10E+04,0.0059,0.00992,0.0103,,,,
4.51E+04,0.00666,0.00965,0.00941,,,,
4.91E+04,0.00696,0.00944,0.0101,,,,
5.32E+04,0.00656,0.00975,0.00998,,,,
5.73E+04,0.00547,0.00977,0.0104,,,,
6.14E+04,0.00584,0.0103,0.00878,,,,
6.55E+04,0.00599,0.00999,0.00963,,,,
7.37E+04,0.00636,0.00983,0.00873,,,,
8.19E+04,0.00561,0.00966,0.00885,,,,
9.01E+04,0.00617,0.0102,0.00949,,,,
9.83E+04,0.0067,0.01,0.00908,,,,
1.06E+05,0.00634,0.00957,0.0088,,,,
1.15E+05,0.00635,0.01,0.00845,,,,
1.23E+05,0.00615,0.00942,0.00864,,,,
1.31E+05,0.00521,0.00918,0.00957,,,,
1.47E+05,0.00555,0.00974,0.00827,,,,
1.64E+05,0.00576,0.00939,0.00794,,,,
1.80E+05,0.00503,0.00968,0.00769,,,,
1.97E+05,0.00509,0.0086,0.00819,,,,
2.13E+05,0.00522,0.00936,0.00768,,,,
2.29E+05,0.00546,0.00985,0.00697,,,,
2.46E+05,0.00506,0.00958,0.00788,,,,
2.62E+05,0.0062,0.00905,0.00731,,,,
2.95E+05,0.00544,0.00873,0.00703,,,,
3.28E+05,0.00601,0.00853,0.00695,,,,
3.60E+05,0.00596,0.00782,0.00586,,,,
3.93E+05,0.006,0.00776,0.00581,,,,
4.26E+05,0.00598,0.00737,0.005,,,,
4.59E+05,0.0061,0.0071,0.00504,,,,
4.92E+05,0.00548,0.00782,0.00511,,,,
5.24E+05,0.00571,0.00748,0.00467,,,,
5.90E+05,0.00485,0.00715,0.00395,,,,
6.55E+05,0.00491,0.00651,0.00342,,,,
7.21E+05,0.00553,0.00523,0.00253,,,,
7.86E+05,0.00556,0.00572,0.00198,,,,
8.52E+05,0.00513,0.00617,0.00117,,,,
9.18E+05,0.00447,0.00548,0.00114,,,,
9.83E+05,0.00497,0.0062,0.00137,,,,
1.05E+06,0.00767,0.00354,0.00166,,,,
1.18E+06,0.00739,0.00597,0.00121,,,,
1.31E+06,0.00529,0.00373,0.00102,,,,
1.44E+06,0.00631,0.00427,0.00183,,,,
1.57E+06,0.00569,0.00545,0.00241,,,,
1.70E+06,0.00439,0.00519,0.00179,,,,
1.84E+06,0.0035,0.00659,0.00151,,,,
