X Lag Time,Record 1: JJ1_01mg_PS8_010ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS8_010ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS8_010ug_000rpm_00-00min_NA_No1_230620 3,X Intensity,Record 1: JJ1_01mg_PS8_010ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS8_010ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS8_010ug_000rpm_00-00min_NA_No1_230620 3
0.5,0.777,0.773,0.773,0.4,0,0,0
1,0.756,0.745,0.747,0.463,0,0,0
1.5,0.726,0.718,0.719,0.536,0,0,0
2,0.699,0.695,0.691,0.621,0.109,0,0
2.5,0.676,0.671,0.667,0.719,0.608,0,0
3,0.654,0.648,0.648,0.833,1.22,0.703,0
3.5,0.636,0.629,0.628,0.965,1.51,1.62,0
4,0.615,0.605,0.608,1.12,1.24,1.84,0
4.5,0.599,0.589,0.59,1.29,0.587,1.19,0
5.5,0.563,0.556,0.556,1.5,0.0465,0.321,0
6.5,0.533,0.527,0.526,1.74,0,0,0
7.5,0.506,0.499,0.497,2.01,0,0,0
8.5,0.479,0.474,0.472,2.33,0,0,0
9.5,0.456,0.45,0.448,2.7,0,0,0
10.5,0.433,0.427,0.424,3.12,0,0,0
11.5,0.413,0.405,0.404,3.62,0,0,0
12.5,0.392,0.386,0.383,4.19,0,0,0
14.5,0.354,0.348,0.346,4.85,0,0,0
16.5,0.322,0.315,0.313,5.61,0,0,0
18.5,0.291,0.286,0.283,6.5,0.587,0.578,1.12
20.5,0.265,0.259,0.256,7.53,2.92,2.92,4
22.5,0.241,0.235,0.232,8.72,6.7,6.7,8.08
24.5,0.217,0.214,0.21,10.1,10.9,10.9,12.2
26.5,0.197,0.195,0.191,11.7,14.2,14.2,15.3
28.5,0.18,0.176,0.173,13.5,15.8,15.8,16.5
32.5,0.149,0.146,0.142,15.7,15.3,15.2,15.5
36.5,0.123,0.121,0.116,18.2,12.7,12.6,12.6
40.5,0.101,0.1,0.0951,21,8.89,8.82,8.59
44.5,0.084,0.0827,0.0787,24.4,4.86,4.82,4.52
48.5,0.0688,0.0689,0.0652,28.2,1.7,1.68,1.45
52.5,0.0579,0.0561,0.0542,32.7,0.109,0.106,0
56.5,0.048,0.0473,0.0448,37.8,0,0,0
60.5,0.0405,0.0393,0.0381,43.8,0,0,0
68.5,0.0281,0.0271,0.0265,50.7,0,0,0
76.5,0.0201,0.0183,0.0185,58.8,0,0,0
84.5,0.0151,0.0132,0.0124,68.1,0,0,0
92.5,0.0111,0.00883,0.00906,78.8,0,0,0
101,0.00857,0.00646,0.00741,91.3,0,0,0
109,0.00698,0.00477,0.00508,106,0,0,0
117,0.00523,0.00323,0.0043,122,0,0,0
125,0.00377,0.00279,0.00386,142,0,0,0
141,0.00109,0.00201,0.00193,164,0,0,0
157,0.000543,0.00213,0.000831,190,0,0,0
173,0.0008,0.00141,0.00062,220,0,0,0
189,0.00143,0.00123,0.000121,255,0,0,0
205,0.00107,0.00106,0.000828,295,0,0,0
221,0.000851,0.00112,0.000542,342,0,0,0
237,0.000424,0.00143,0.000538,396,0,0,0
253,0.000575,0.00159,0.000636,459,0,0,0
285,0.000366,0.00171,0.000518,531,0,0,0
