X Lag Time,Record 1: R 1,Record 2: R 2,Record 3: R 3,X Intensity,Record 1: R 1,Record 2: R 2,Record 3: R 3
0.5,0.737,0.757,0.718,0.4,0,0,0
1,0.71,0.728,0.692,0.463,0,0,0
1.5,0.681,0.699,0.665,0.536,0,0,0
2,0.658,0.672,0.641,0.621,0,0.427,0
2.5,0.634,0.649,0.619,0.719,0.508,0.667,0
3,0.614,0.627,0.601,0.833,1.23,0.964,0
3.5,0.594,0.605,0.58,0.965,1.66,1.19,0
4,0.575,0.587,0.564,1.12,1.51,1.2,0
4.5,0.559,0.569,0.548,1.29,0.909,0.969,0
5.5,0.528,0.536,0.518,1.5,0.275,0.567,0
6.5,0.499,0.506,0.489,1.74,0,0.185,0
7.5,0.473,0.478,0.465,2.01,0,0,0
8.5,0.449,0.453,0.442,2.33,0,0,0
9.5,0.426,0.429,0.42,2.7,0,0,0
10.5,0.407,0.409,0.4,3.12,0,0,0
11.5,0.387,0.388,0.382,3.62,0,0,0
12.5,0.369,0.369,0.364,4.19,0,0,0
14.5,0.334,0.333,0.332,4.85,0,0.0723,0.154
16.5,0.305,0.302,0.301,5.61,0.644,0.893,1.01
18.5,0.276,0.274,0.275,6.5,2.28,2.6,2.67
20.5,0.252,0.249,0.252,7.53,4.69,4.96,4.91
22.5,0.229,0.225,0.231,8.72,7.39,7.54,7.37
24.5,0.209,0.204,0.212,10.1,9.84,9.86,9.61
26.5,0.19,0.186,0.194,11.7,11.6,11.5,11.3
28.5,0.175,0.17,0.178,13.5,12.3,12.2,12.1
32.5,0.146,0.141,0.15,15.7,12,11.9,11.9
36.5,0.123,0.117,0.126,18.2,10.7,10.6,10.9
40.5,0.104,0.098,0.108,21,8.73,8.63,9.25
44.5,0.087,0.0819,0.0922,24.4,6.41,6.29,7.15
48.5,0.0741,0.0685,0.0786,28.2,4.12,3.97,4.95
52.5,0.0634,0.0579,0.0683,32.7,2.19,2.02,2.95
56.5,0.0543,0.0488,0.0584,37.8,0.847,0.697,1.4
60.5,0.0469,0.0416,0.0508,43.8,0.162,0.0778,0.424
68.5,0.035,0.0305,0.038,50.7,0,0,0.0173
76.5,0.0261,0.0225,0.0295,58.8,0,0,0
84.5,0.0193,0.017,0.0233,68.1,0,0,0
92.5,0.0146,0.0123,0.0188,78.8,0,0,0
101,0.0113,0.00972,0.0152,91.3,0,0,0
109,0.00952,0.00712,0.0124,106,0,0,0
117,0.00762,0.00526,0.0102,122,0,0,0
125,0.00656,0.004,0.00857,142,0,0,0
141,0.00537,0.00329,0.0068,164,0,0,0
157,0.00466,0.00239,0.00521,190,0,0,0
173,0.00371,0.0018,0.0043,220,0,0,0
189,0.00264,0.00176,0.00369,255,0,0,0
205,0.00267,0.00192,0.00257,295,0,0,0
221,0.00261,0.00172,0.00252,342,0,0,0
237,0.00309,0.00132,0.0018,396,0,0,0
253,0.00233,0.00159,0.0017,459,0,0,0
285,0.001,0.00148,0.00116,531,0,0,0
317,0.000877,0.00133,0.000596,615,0,0,0
349,0.0012,0.000512,0.000996,712,0,0,0
381,0.00173,0.000829,0.00103,825,0,0,0
413,0.00171,0.000676,0.00157,955,0,0,0
445,0.00138,0.00107,0.00162,1.11E+03,0,0,0
477,0.00198,0.00031,0.00178,1.28E+03,0,0,0
509,0.00171,0.000577,0.00146,1.48E+03,0,0,0
573,0.000812,0.000257,0.00175,1.72E+03,0,0,0
637,0.000792,0.000315,0.000793,1.99E+03,0,0,0.0193
701,0.00109,0.000507,0.0011,2.30E+03,0,0,0.0644
765,0.00042,0.000146,0.00111,2.67E+03,0,0,0.132
829,0.000463,0.000583,0.000991,3.09E+03,0,0,0.214
893,0.000273,0.000466,0.000793,3.58E+03,0,0,0.296
957,0.00065,0.000397,0.00087,4.15E+03,0,0,0.365
1.02E+03,0.000492,0.000439,0.000937,4.80E+03,0,0,0.407
1.15E+03,0.000539,0.000633,0.00122,5.56E+03,0,0,0.413
1.28E+03,0.000771,0.000207,0.000916,6.44E+03,0,0,0
1.40E+03,0.000319,0.00057,0.000767,7.46E+03,0,0,0
1.53E+03,0.000327,0.00012,0.000629,8.63E+03,0,0,0
1.66E+03,0.000297,0.000674,0.000951,,,,
1.79E+03,0.000598,0.000381,0.000581,,,,
1.92E+03,0.000951,0.000458,0.000587,,,,
2.04E+03,0.000369,0.000425,0.000453,,,,
2.30E+03,0.00032,0.000527,0.000739,,,,
2.56E+03,0.000271,0.000108,0.000188,,,,
2.81E+03,0.000411,0.000397,0.000375,,,,
3.07E+03,0.000176,0.000251,0.000564,,,,
3.32E+03,0.000193,0.000562,0.000377,,,,
3.58E+03,0.00025,8.45E-05,0.000382,,,,
3.84E+03,0.000388,3.07E-05,0.000694,,,,
4.09E+03,0.000436,0.000125,0.000716,,,,
4.60E+03,0.000377,8.69E-05,0.000135,,,,
5.12E+03,0.00011,0.000134,0.000365,,,,
5.63E+03,0.000258,4.65E-05,0.000423,,,,
6.14E+03,9.86E-05,0.000193,0.000251,,,,
6.65E+03,0.000104,0.000204,0.000294,,,,
7.16E+03,0.000151,0.000323,0.000246,,,,
7.68E+03,0.000167,0.000208,0.000424,,,,
8.19E+03,0.000225,0.000141,0.000375,,,,
9.21E+03,0.000178,0.000112,0.000509,,,,
1.02E+04,0.000178,0.000215,0.000252,,,,
1.13E+04,0.000202,0.000317,0.000203,,,,
1.23E+04,0.000203,0.000211,0.000232,,,,
1.33E+04,0.000161,0.000143,0.000267,,,,
1.43E+04,0.00017,6.60E-05,0.000226,,,,
1.54E+04,0.000113,0.000208,0.000339,,,,
1.64E+04,3.77E-05,0.000105,5.54E-05,,,,
1.84E+04,9.08E-05,0.000141,0.000112,,,,
2.05E+04,0.00022,0.000138,0.00036,,,,
2.25E+04,0.000149,0.000227,0.000239,,,,
2.46E+04,6.30E-05,0.000107,0.000344,,,,
2.66E+04,0.000108,9.03E-05,0.000386,,,,
2.87E+04,0.000254,0.000157,0.000197,,,,
3.07E+04,0.000163,0.000183,0.000299,,,,
3.28E+04,0.000139,3.42E-05,0.000311,,,,
3.69E+04,0.000128,0.000144,0.000196,,,,
4.10E+04,0.00014,2.59E-05,0.000173,,,,
4.51E+04,6.62E-05,7.42E-05,0.000229,,,,
4.91E+04,0.00015,6.93E-05,0.000251,,,,
5.32E+04,0.000147,2.47E-05,0.000327,,,,
5.73E+04,0.000102,0.000128,0.000175,,,,
6.14E+04,0.000135,4.09E-05,0.000242,,,,
6.55E+04,8.27E-05,0.000136,0.000203,,,,
7.37E+04,0.00013,9.30E-05,0.000197,,,,
8.19E+04,0.000168,6.46E-05,0.000137,,,,
9.01E+04,0.000202,0.000103,0.000141,,,,
9.83E+04,0.000127,9.01E-05,0.000161,,,,
1.06E+05,0.00011,5.69E-05,0.000131,,,,
1.15E+05,0.000109,0.0001,0.000219,,,,
1.23E+05,8.32E-05,6.56E-05,0.00018,,,,
1.31E+05,5.95E-05,5.82E-05,0.000102,,,,
1.47E+05,0.000115,0.000107,0.00024,,,,
1.64E+05,0.00018,0.000138,0.000156,,,,
1.80E+05,9.88E-05,0.000159,0.000119,,,,
1.97E+05,9.73E-05,6.72E-05,0.000209,,,,
2.13E+05,9.37E-05,3.46E-05,9.60E-05,,,,
2.29E+05,0.000153,9.38E-05,0.000244,,,,
2.46E+05,0.000127,0.000159,0.00012,,,,
2.62E+05,1.94E-05,8.52E-05,9.04E-05,,,,
2.95E+05,0.000146,5.51E-05,0.000169,,,,
3.28E+05,0.000161,5.10E-05,0.000108,,,,
3.60E+05,7.39E-05,1.87E-05,0.000115,,,,
3.93E+05,4.56E-05,3.56E-05,0.000173,,,,
4.26E+05,8.91E-05,5.26E-05,7.25E-05,,,,
4.59E+05,8.65E-05,3.83E-05,6.89E-05,,,,
4.92E+05,4.82E-05,5.91E-05,0.000167,,,,
5.24E+05,0.000192,9.62E-05,0.000163,,,,
5.90E+05,0.000127,3.53E-05,0.000102,,,,
6.55E+05,0.000156,2.68E-05,0.000126,,,,
7.21E+05,0.000201,0.000109,0.000159,,,,
7.86E+05,0.000189,0.000126,0.000173,,,,
8.52E+05,0.000101,0.000117,0.000195,,,,
9.18E+05,8.45E-05,5.42E-05,0.000249,,,,
9.83E+05,9.97E-05,3.55E-05,0.000182,,,,
1.05E+06,0.000585,0.000123,6.98E-05,,,,
1.18E+06,0.000428,0.000208,0.000145,,,,
1.31E+06,0.000276,9.38E-05,0.000125,,,,
1.44E+06,0.000248,0.00021,0.000107,,,,
1.57E+06,0.000373,0.000159,0.000113,,,,
1.70E+06,0.000319,7.92E-05,0.000111,,,,
1.84E+06,0.000498,0.000302,0.000144,,,,
1.97E+06,0.000596,0.00019,0.000203,,,,
2.10E+06,0.000214,0.000221,0.000249,,,,
2.36E+06,0.000379,0.000166,0.000188,,,,
2.62E+06,0.000292,3.82E-05,0.000436,,,,
2.88E+06,0.000339,0.000255,0.000143,,,,
3.15E+06,0.000476,0.00011,0.000361,,,,
3.41E+06,0.000642,0.000287,0.000328,,,,
3.67E+06,0.000877,6.10E-05,0.00054,,,,
3.93E+06,0.000948,0.000239,0.000539,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
