X Lag Time,Record 1: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No2_230629 1,Record 2: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No2_230629 2,Record 3: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No2_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No2_230629 1,Record 2: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No2_230629 2,Record 3: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No2_230629 3
0.5,0.825,0.828,0.827,0.4,0,0,0
1,0.807,0.811,0.807,0.463,0,0,0
1.5,0.786,0.789,0.79,0.536,0,0,0
2,0.766,0.767,0.768,0.621,0,0,0
2.5,0.745,0.75,0.75,0.719,0,0,0
3,0.725,0.731,0.73,0.833,0,0,0
3.5,0.708,0.713,0.712,0.965,0,0,0
4,0.689,0.694,0.693,1.12,0,0,0
4.5,0.672,0.677,0.675,1.29,0,0,0
5.5,0.639,0.642,0.643,1.5,0,0,0
6.5,0.606,0.61,0.612,1.74,0,0,0
7.5,0.576,0.581,0.582,2.01,0,0,0
8.5,0.55,0.553,0.553,2.33,0,0,0
9.5,0.524,0.526,0.527,2.7,0,0,0
10.5,0.496,0.499,0.5,3.12,0,0,0
11.5,0.472,0.475,0.477,3.62,0,0,0
12.5,0.449,0.453,0.454,4.19,0,0,0
14.5,0.407,0.409,0.411,4.85,0,0,0
16.5,0.369,0.371,0.371,5.61,0,0,0
18.5,0.334,0.336,0.336,6.5,0,0,0
20.5,0.302,0.304,0.304,7.53,1.7,1.97,1.6
22.5,0.273,0.275,0.276,8.72,6.25,6.59,6.12
24.5,0.248,0.249,0.251,10.1,12.2,12.3,12.1
26.5,0.225,0.225,0.227,11.7,17.2,17,17.1
28.5,0.204,0.205,0.206,13.5,19.4,19.1,19.4
32.5,0.168,0.169,0.169,15.7,18.1,17.7,18.1
36.5,0.138,0.139,0.14,18.2,13.8,13.6,13.9
40.5,0.113,0.114,0.115,21,8.12,8.11,8.23
44.5,0.0937,0.0936,0.0957,24.4,3.06,3.21,3.19
48.5,0.0761,0.078,0.0788,28.2,0.272,0.41,0.35
52.5,0.0629,0.064,0.0656,32.7,0,0,0
56.5,0.0522,0.053,0.0544,37.8,0,0,0
60.5,0.0442,0.0442,0.0453,43.8,0,0,0
68.5,0.0307,0.0305,0.0313,50.7,0,0,0
76.5,0.0218,0.0211,0.0214,58.8,0,0,0
84.5,0.015,0.0146,0.0145,68.1,0,0,0
92.5,0.0111,0.0108,0.0102,78.8,0,0,0
101,0.00812,0.00852,0.00799,91.3,0,0,0
109,0.00484,0.00606,0.00582,106,0,0,0
117,0.00414,0.00564,0.00436,122,0,0,0
125,0.00292,0.00427,0.0032,142,0,0,0
141,0.00171,0.00301,0.00254,164,0,0,0
157,0.00151,0.00251,0.00201,190,0,0,0
173,0.000621,0.00207,0.00176,220,0,0,0
189,0.000387,0.00209,0.00147,255,0,0,0
205,7.91E-05,0.00178,0.000838,295,0,0,0
221,0.000344,0.00144,0.000926,342,0,0,0
237,0.000654,0.00131,0.00119,396,0,0,0
253,0.000691,0.00129,0.00098,459,0,0,0
285,0.00159,0.00103,0.000129,531,0,0,0
317,0.00134,0.000777,0.000641,615,0,0,0
349,0.000928,0.000474,0.000492,712,0,0,0
381,0.00104,0.000544,0.000591,825,0,0,0
413,0.00155,0.00026,0.00108,955,0,0,0
