X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
0.5,0.839,0.844,0.85,0.4,0,0,0
1,0.844,0.851,0.854,0.463,0,0,0
1.5,0.842,0.848,0.853,0.536,0,0,0
2,0.84,0.847,0.849,0.621,0,0,0
2.5,0.838,0.844,0.848,0.719,0,0,0
3,0.838,0.843,0.847,0.833,0,0,0
3.5,0.836,0.84,0.844,0.965,0,0,0
4,0.834,0.841,0.844,1.12,0,0,0
4.5,0.832,0.837,0.841,1.29,0,0,0
5.5,0.83,0.836,0.839,1.5,0,0,0
6.5,0.827,0.833,0.836,1.74,0,0,0
7.5,0.825,0.83,0.835,2.01,0,0,0
8.5,0.822,0.827,0.832,2.33,0,0,0
9.5,0.82,0.825,0.828,2.7,0,0,0
10.5,0.817,0.823,0.826,3.12,0,0,0
11.5,0.816,0.819,0.824,3.62,0,0,0
12.5,0.813,0.817,0.822,4.19,0,0,0
14.5,0.807,0.813,0.816,4.85,0,0,0
16.5,0.802,0.807,0.812,5.61,0,0,0
18.5,0.798,0.803,0.807,6.5,0,0,0
20.5,0.793,0.798,0.802,7.53,0,0,0
22.5,0.788,0.793,0.798,8.72,0,0,0
24.5,0.783,0.788,0.793,10.1,0,0,0
26.5,0.778,0.783,0.788,11.7,0,0,0
28.5,0.774,0.778,0.783,13.5,0,0,0
32.5,0.764,0.769,0.775,15.7,0,0,0
36.5,0.756,0.76,0.765,18.2,0,0,0
40.5,0.747,0.751,0.756,21,0,0,0
44.5,0.737,0.741,0.747,24.4,0,0,0
48.5,0.728,0.732,0.738,28.2,0,0,0
52.5,0.72,0.724,0.73,32.7,0,0,0
56.5,0.711,0.714,0.721,37.8,0,0,0
60.5,0.703,0.706,0.712,43.8,0,0,0
68.5,0.686,0.689,0.696,50.7,0,0,0
76.5,0.669,0.672,0.68,58.8,0,0,0
84.5,0.653,0.656,0.663,68.1,0,0,0
92.5,0.638,0.64,0.648,78.8,0,0,0
101,0.622,0.624,0.633,91.3,0,0,0
109,0.608,0.61,0.618,106,0,0,0
117,0.593,0.595,0.603,122,1.83,1.34,0
125,0.579,0.581,0.589,142,9.67,9.74,7.78
141,0.551,0.554,0.562,164,19.1,20.1,19.1
157,0.526,0.527,0.536,190,24.5,25.7,26.2
173,0.501,0.502,0.511,220,22.9,23.3,24.9
189,0.477,0.479,0.487,255,15.4,14.7,16.2
205,0.455,0.456,0.465,295,6.25,5.12,5.86
221,0.433,0.434,0.443,342,0.424,0,0
237,0.413,0.414,0.422,396,0,0,0
253,0.393,0.394,0.402,459,0,0,0
285,0.357,0.358,0.365,531,0,0,0
317,0.324,0.324,0.332,615,0,0,0
349,0.294,0.293,0.302,712,0,0,0
381,0.266,0.266,0.274,825,0,0,0
413,0.242,0.241,0.249,955,0,0,0
445,0.219,0.218,0.226,1.11E+03,0,0,0
477,0.199,0.196,0.205,1.28E+03,0,0,0
509,0.181,0.178,0.186,1.48E+03,0,0,0
573,0.148,0.145,0.153,1.72E+03,0,0,0
637,0.122,0.119,0.125,1.99E+03,0,0,0
701,0.101,0.0962,0.102,2.30E+03,0,0,0
765,0.0824,0.0777,0.0835,2.67E+03,0,0,0
829,0.0674,0.0623,0.0678,3.09E+03,0,0,0
893,0.0549,0.0499,0.0557,3.58E+03,0,0,0
957,0.0443,0.0402,0.0457,4.15E+03,0,0,0
1.02E+03,0.037,0.0339,0.0385,4.80E+03,0,0,0
1.15E+03,0.0256,0.024,0.0269,5.56E+03,0,0,0
1.28E+03,0.0181,0.0162,0.0196,6.44E+03,0,0,0
1.40E+03,0.0148,0.0107,0.0142,7.46E+03,0,0,0
1.53E+03,0.012,0.00762,0.0104,8.63E+03,0,0,0
1.66E+03,0.00962,0.00678,0.00805,,,,
1.79E+03,0.00939,0.00518,0.00664,,,,
1.92E+03,0.00943,0.00413,0.00564,,,,
2.04E+03,0.00871,0.0034,0.00471,,,,
2.30E+03,0.00708,0.00263,0.00513,,,,
2.56E+03,0.00594,0.00213,0.00298,,,,
2.81E+03,0.00489,0.00376,0.00305,,,,
3.07E+03,0.00799,0.00469,0.00562,,,,
3.32E+03,0.00902,0.00862,0.00586,,,,
3.58E+03,0.00666,0.00998,0.00434,,,,
3.84E+03,0.00549,0.00775,0.00277,,,,
4.09E+03,0.00317,0.00699,0.00235,,,,
