X Lag Time,Record 1: JJ1_01mg_PS2_010ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS2_010ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS2_010ug_000rpm_00-00min_NA_No1_230620 3,X Intensity,Record 1: JJ1_01mg_PS2_010ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PS2_010ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PS2_010ug_000rpm_00-00min_NA_No1_230620 3
0.5,0.75,0.765,0.769,0.4,0,0,0
1,0.727,0.74,0.744,0.463,0,0,0
1.5,0.698,0.71,0.714,0.536,0,0,0
2,0.674,0.685,0.689,0.621,0,0,0
2.5,0.648,0.662,0.665,0.719,0,0,0
3,0.629,0.643,0.643,0.833,0,0,0
3.5,0.609,0.619,0.623,0.965,0,0,0
4,0.591,0.602,0.604,1.12,0,0,0
4.5,0.573,0.583,0.584,1.29,0,0,0
5.5,0.54,0.549,0.55,1.5,0,0,0
6.5,0.511,0.518,0.519,1.74,0,0,0
7.5,0.482,0.491,0.49,2.01,0,0,0
8.5,0.457,0.463,0.465,2.33,0,0,0
9.5,0.434,0.439,0.44,2.7,0,0,0
10.5,0.41,0.417,0.416,3.12,0,0,0
11.5,0.39,0.396,0.394,3.62,0,0,0
12.5,0.371,0.375,0.375,4.19,0,0,0
14.5,0.335,0.338,0.337,4.85,0,0,0
16.5,0.302,0.304,0.303,5.61,0,0,0
18.5,0.273,0.275,0.273,6.5,0.939,1.25,1.25
20.5,0.246,0.248,0.246,7.53,3.92,4.48,4.54
22.5,0.223,0.223,0.221,8.72,8.36,8.97,9.1
24.5,0.201,0.202,0.2,10.1,12.9,13.4,13.5
26.5,0.182,0.181,0.181,11.7,16.2,16.4,16.5
28.5,0.165,0.164,0.163,13.5,17.2,17.1,17.2
32.5,0.134,0.135,0.132,15.7,15.8,15.4,15.4
36.5,0.11,0.109,0.108,18.2,12.3,11.8,11.6
40.5,0.0898,0.0896,0.0881,21,7.81,7.29,7.12
44.5,0.074,0.0732,0.0726,24.4,3.65,3.27,3.12
48.5,0.0607,0.0606,0.0589,28.2,0.915,0.738,0.66
52.5,0.0502,0.049,0.0485,32.7,0,0,0
56.5,0.0421,0.0402,0.0398,37.8,0,0,0
60.5,0.0347,0.0333,0.033,43.8,0,0,0
68.5,0.0225,0.0213,0.0222,50.7,0,0,0
76.5,0.0155,0.0148,0.0154,58.8,0,0,0
84.5,0.0115,0.00866,0.0103,68.1,0,0,0
92.5,0.00828,0.00581,0.00683,78.8,0,0,0
101,0.00532,0.00371,0.00497,91.3,0,0,0
109,0.00382,0.00249,0.00332,106,0,0,0
117,0.00208,0.00192,0.00221,122,0,0,0
125,0.00142,0.00193,0.00187,142,0,0,0
141,0.000836,0.00198,0.00127,164,0,0,0
157,0.000319,0.00203,0.000998,190,0,0,0
173,0.000663,0.00142,0.000318,220,0,0,0
189,0.00125,0.00163,0.00063,255,0,0,0
205,0.00124,0.00107,0.000428,295,0,0,0
221,0.00145,0.00135,0.000615,342,0,0,0
237,0.00138,0.00123,0.00063,396,0,0,0
253,0.00111,0.000805,0.000556,459,0,0,0
285,0.00114,0.00099,0.000877,531,0,0,0
317,0.000299,0.00162,0.00119,615,0,0,0
349,0.000168,0.00115,0.000808,712,0,0,0
381,0.000111,0.00165,0.00121,825,0,0,0
413,0.00017,0.00142,0.000457,955,0,0,0
445,0.000223,0.00103,0.000742,1.11E+03,0,0,0
477,0.00089,0.000965,0.000304,1.28E+03,0,0,0
509,0.000441,0.00134,0.000395,1.48E+03,0,0,0
573,0.0001,0.00103,0.000514,1.72E+03,0,0,0
637,2.74E-05,0.000226,0.000466,1.99E+03,0,0,0
701,0.000869,0.000176,0.000407,2.30E+03,0,0,0
765,0.0005,0.000277,0.000543,2.67E+03,0,0,0
829,0.00081,0.000741,0.000552,3.09E+03,0,0,0
893,0.000604,0.000675,0.000195,3.58E+03,0,0,0
957,0.000271,0.000544,0.000521,4.15E+03,0,0,0
1.02E+03,0.00039,0.000808,0.00123,4.80E+03,0,0,0
1.15E+03,0.000181,0.000682,0.00184,5.56E+03,0,0,0
1.28E+03,0.00017,9.89E-05,0.000424,6.44E+03,0,0,0
1.40E+03,0.000237,0.000143,0.000337,7.46E+03,0,0,0
1.53E+03,0.000523,0.000501,4.97E-05,8.63E+03,0,0,0
1.66E+03,6.29E-05,0.000494,0.000682,,,,
1.79E+03,0,0.00106,0.00016,,,,
1.92E+03,0.000285,0.000331,0.000199,,,,
2.04E+03,0,0.000384,0.000219,,,,
2.30E+03,0.00042,0.000146,0.000399,,,,
2.56E+03,0.000255,0.000539,0.000257,,,,
2.81E+03,0.000538,0.000252,0.000123,,,,
3.07E+03,0.000212,0.000342,0,,,,
3.32E+03,0.000512,0.000211,0.000125,,,,
3.58E+03,0.000305,0.000434,0.000413,,,,
3.84E+03,0.000557,0.000268,0.000551,,,,
4.09E+03,0.000322,0.000465,0,,,,
4.60E+03,0.000155,0.000116,2.44E-05,,,,
5.12E+03,0.000134,0.000301,0.000201,,,,
5.63E+03,6.79E-05,0.000417,0.000375,,,,
6.14E+03,0.000292,0.000215,1.15E-05,,,,
6.65E+03,0.000293,5.62E-05,0.000141,,,,
7.16E+03,0.000416,0.000333,0,,,,
7.68E+03,0.00032,0.00019,0.000496,,,,
8.19E+03,0.000349,3.95E-05,0.000144,,,,
9.21E+03,0.000237,5.80E-05,0.000202,,,,
1.02E+04,0.000121,0.000161,0.000149,,,,
1.13E+04,0.000235,7.84E-05,0.000192,,,,
1.23E+04,0.000461,0.000155,0.000328,,,,
1.33E+04,0.000267,0.00022,0.000199,,,,
1.43E+04,0.000151,0,0.000187,,,,
1.54E+04,3.21E-05,0.000157,0.00041,,,,
1.64E+04,1.68E-05,0.000192,9.58E-05,,,,
