X Lag Time,Record 1: H2O_00mg_200rpm_10-00min_ST_No2_230601 1,Record 2: H2O_00mg_200rpm_10-00min_ST_No2_230601 2,Record 3: H2O_00mg_200rpm_10-00min_ST_No2_230601 3,X Intensity,Record 1: H2O_00mg_200rpm_10-00min_ST_No2_230601 1,Record 2: H2O_00mg_200rpm_10-00min_ST_No2_230601 2,Record 3: H2O_00mg_200rpm_10-00min_ST_No2_230601 3
0.5,0.239,0.188,0.161,0.4,0,0,0
1,0.208,0.166,0.142,0.463,0,0,0
1.5,0.203,0.158,0.134,0.536,0,0,0
2,0.209,0.155,0.132,0.621,1.57,0,0
2.5,0.196,0.155,0.118,0.719,2.3,0,0
3,0.194,0.142,0.119,0.833,2.21,0,0
3.5,0.192,0.153,0.12,0.965,1.41,0,0
4,0.191,0.153,0.12,1.12,0.489,0,0
4.5,0.182,0.149,0.121,1.29,0,0,0
5.5,0.182,0.146,0.116,1.5,0,0,0
6.5,0.187,0.144,0.11,1.74,0.275,0,0
7.5,0.181,0.143,0.109,2.01,0.842,0,0.0209
8.5,0.17,0.133,0.104,2.33,1.33,0,0.837
9.5,0.176,0.146,0.107,2.7,1.38,0,2.05
10.5,0.178,0.13,0.103,3.12,0.924,0.928,2.99
11.5,0.173,0.136,0.104,3.62,0.31,3.21,3.19
12.5,0.174,0.128,0.103,4.19,0,4.49,2.65
14.5,0.168,0.127,0.098,4.85,0,3.47,1.68
16.5,0.167,0.127,0.0984,5.61,0,1.23,0.734
18.5,0.163,0.118,0.096,6.5,0,0,0.155
20.5,0.166,0.125,0.0928,7.53,0,0,0
22.5,0.164,0.12,0.0905,8.72,0,0,0
24.5,0.159,0.118,0.0927,10.1,0,0,0
26.5,0.159,0.124,0.089,11.7,0,0,0
28.5,0.16,0.115,0.0917,13.5,0,0,0
32.5,0.158,0.116,0.0839,15.7,0,0,0
36.5,0.154,0.115,0.0856,18.2,0,0,0
40.5,0.151,0.112,0.0816,21,0,0,0
44.5,0.154,0.108,0.0848,24.4,0,0,0
48.5,0.15,0.109,0.0814,28.2,0,0,0
52.5,0.147,0.109,0.0785,32.7,0,0,0
56.5,0.145,0.105,0.0818,37.8,0,0,0
60.5,0.143,0.104,0.0815,43.8,0,0,0
68.5,0.141,0.103,0.0717,50.7,0,0,0
76.5,0.134,0.101,0.0732,58.8,0,0,0
84.5,0.134,0.0961,0.0725,68.1,0,0,0
92.5,0.131,0.0952,0.0719,78.8,0,0,0.0883
101,0.129,0.0915,0.0693,91.3,0,0,0.922
109,0.124,0.0903,0.0673,106,0,0,2.61
117,0.124,0.0859,0.0632,122,1.6,1.43,4.89
125,0.121,0.0879,0.0634,142,5.18,4.94,7.34
141,0.116,0.0826,0.0603,164,9.67,9.47,9.48
157,0.11,0.0778,0.0582,190,13.5,13.4,10.9
173,0.105,0.0753,0.0549,220,15.5,15.5,11.4
189,0.103,0.0713,0.0525,255,15.1,15.2,10.9
205,0.0959,0.0691,0.0503,295,12.4,12.5,9.55
221,0.0924,0.0667,0.0476,342,8.42,8.52,7.52
237,0.0873,0.0625,0.0437,396,4.31,4.38,5.22
253,0.0838,0.0598,0.0424,459,1.29,1.32,3.06
285,0.0759,0.0538,0.0391,531,0,0,1.36
317,0.0702,0.0482,0.0354,615,0,0,0.345
349,0.0629,0.0415,0.0326,712,0,0,0
381,0.057,0.039,0.0289,825,0,0,0
413,0.0516,0.0344,0.026,955,0,0,0
445,0.0453,0.0309,0.0232,1.11E+03,0,0,0
477,0.0417,0.0282,0.0207,1.28E+03,0,0,0
509,0.0377,0.0249,0.0193,1.48E+03,0,0,0
573,0.0308,0.0185,0.0152,1.72E+03,0,0,0
637,0.0247,0.0154,0.0117,1.99E+03,0,0,0
701,0.0183,0.0114,0.0101,2.30E+03,0,0,0
765,0.0144,0.00837,0.0082,2.67E+03,0,0,0
829,0.0116,0.00705,0.00516,3.09E+03,0,0,0
893,0.00885,0.00456,0.00527,3.58E+03,0,0,0
957,0.00814,0.00442,0.00451,4.15E+03,0,0,0
1.02E+03,0.00608,0.00286,0.00256,4.80E+03,0,0,0
1.15E+03,0.00432,0.00161,0.00177,5.56E+03,0,0,0
1.28E+03,0.00416,0.00185,0.00218,6.44E+03,0,0,0
1.40E+03,0.00405,0.00182,0.00118,7.46E+03,0,0,0
1.53E+03,0.00393,0.00202,0.00127,8.63E+03,0,0,0
