X Lag Time,Record 1: SST_230601 1,Record 2: SST_230601 2,Record 3: SST_230601 3,X Intensity,Record 1: SST_230601 1,Record 2: SST_230601 2,Record 3: SST_230601 3
0.5,0.884,0.894,0.872,0.4,0,0,0
1,0.89,0.899,0.873,0.463,0,0,0
1.5,0.886,0.895,0.874,0.536,0,0,0
2,0.886,0.893,0.87,0.621,0,0,0
2.5,0.884,0.891,0.871,0.719,0,0,0
3,0.881,0.891,0.869,0.833,0,0,0
3.5,0.88,0.89,0.867,0.965,0,0,0
4,0.879,0.887,0.865,1.12,0,0,0
4.5,0.877,0.886,0.864,1.29,0,0,0
5.5,0.874,0.883,0.862,1.5,0,0,0
6.5,0.873,0.881,0.859,1.74,0,0,0
7.5,0.868,0.878,0.855,2.01,0,0,0
8.5,0.866,0.875,0.854,2.33,0,0,0
9.5,0.864,0.872,0.849,2.7,0,0,0
10.5,0.861,0.87,0.848,3.12,0,0,0
11.5,0.859,0.867,0.845,3.62,0,0,0
12.5,0.856,0.865,0.843,4.19,0,0,0
14.5,0.85,0.86,0.838,4.85,0,0,0
16.5,0.846,0.856,0.833,5.61,0,0,0
18.5,0.84,0.851,0.829,6.5,0,0,0
20.5,0.837,0.845,0.823,7.53,0,0,0
22.5,0.831,0.841,0.818,8.72,0,0,0
24.5,0.826,0.836,0.814,10.1,0,0,0
26.5,0.82,0.83,0.81,11.7,0,0,0
28.5,0.816,0.826,0.805,13.5,0,0,0
32.5,0.808,0.816,0.796,15.7,0,0,0
36.5,0.797,0.807,0.787,18.2,0,0,0
40.5,0.788,0.798,0.777,21,0,0,0
44.5,0.779,0.789,0.768,24.4,0,0,0
48.5,0.77,0.78,0.76,28.2,0,0,0
52.5,0.761,0.771,0.75,32.7,0,0,0
56.5,0.752,0.762,0.742,37.8,0,0,0
60.5,0.744,0.754,0.734,43.8,0,0,0
68.5,0.727,0.736,0.717,50.7,0,0,0
76.5,0.71,0.72,0.701,58.8,0,0,0
84.5,0.694,0.703,0.685,68.1,0,0,0
92.5,0.678,0.687,0.668,78.8,0,0,0
101,0.663,0.671,0.652,91.3,0,0,0
109,0.647,0.656,0.638,106,0,0,0
117,0.633,0.641,0.623,122,0,0,0.55
125,0.618,0.626,0.608,142,7.05,6.44,7.53
141,0.59,0.598,0.581,164,17.4,16.4,17.1
157,0.564,0.571,0.554,190,24.5,23.9,23.6
173,0.538,0.546,0.529,220,24.4,24.5,23.5
189,0.514,0.521,0.504,255,17.5,18.2,17.3
205,0.49,0.498,0.481,295,7.95,8.87,8.52
221,0.468,0.475,0.459,342,1.17,1.74,1.85
237,0.447,0.454,0.438,396,0,0,0
253,0.427,0.434,0.419,459,0,0,0
285,0.389,0.397,0.381,531,0,0,0
317,0.354,0.362,0.348,615,0,0,0
349,0.323,0.33,0.317,712,0,0,0
381,0.294,0.301,0.289,825,0,0,0
413,0.268,0.275,0.263,955,0,0,0
445,0.244,0.25,0.24,1.11E+03,0,0,0
477,0.222,0.229,0.219,1.28E+03,0,0,0
509,0.202,0.209,0.2,1.48E+03,0,0,0
573,0.167,0.173,0.166,1.72E+03,0,0,0
637,0.138,0.143,0.138,1.99E+03,0,0,0
701,0.114,0.117,0.116,2.30E+03,0,0,0
765,0.094,0.0956,0.0963,2.67E+03,0,0,0
829,0.0773,0.0785,0.0808,3.09E+03,0,0,0
893,0.0643,0.0637,0.0684,3.58E+03,0,0,0
957,0.0538,0.0512,0.058,4.15E+03,0,0,0
1.02E+03,0.0468,0.0417,0.0498,4.80E+03,0,0,0
1.15E+03,0.0361,0.0279,0.0364,5.56E+03,0,0,0
1.28E+03,0.0285,0.0185,0.0267,6.44E+03,0,0,0
1.40E+03,0.0222,0.0108,0.0211,7.46E+03,0,0,0
1.53E+03,0.0179,0.0063,0.0166,8.63E+03,0,0,0
1.66E+03,0.0141,0.00478,0.0123,,,,
1.79E+03,0.012,0.00459,0.0105,,,,
1.92E+03,0.0122,0.00495,0.00983,,,,
2.04E+03,0.0118,0.00491,0.0089,,,,
2.30E+03,0.0116,0.00452,0.0068,,,,
2.56E+03,0.013,0.00393,0.00372,,,,
2.81E+03,0.0129,0.00208,0.0024,,,,
3.07E+03,0.0118,0.00307,0.00224,,,,
3.32E+03,0.011,0.00301,0.0027,,,,
3.58E+03,0.00858,0.00447,0.0028,,,,
3.84E+03,0.00731,0.00781,0.00172,,,,
4.09E+03,0.00534,0.00949,0.00363,,,,
4.60E+03,0.00309,0.0111,0.00688,,,,
5.12E+03,0.00478,0.00852,0.00901,,,,
5.63E+03,0.00725,0.00468,0.00494,,,,
6.14E+03,0.0116,0.00293,0.00201,,,,
6.65E+03,0.0109,0.00356,0.000272,,,,
7.16E+03,0.00832,0.00443,0.000513,,,,
7.68E+03,0.0117,0.00144,0.00311,,,,
8.19E+03,0.0135,0.000684,0.00537,,,,
9.21E+03,0.00938,0.00342,0.00449,,,,
1.02E+04,0.00824,0.000414,0.0042,,,,
1.13E+04,0.00792,0.00202,0.00274,,,,
1.23E+04,0.00507,0.00424,0.00283,,,,
1.33E+04,0.00387,0.00708,0.00241,,,,
1.43E+04,0.00824,0.00436,0.000648,,,,
1.54E+04,0.00895,0.00318,0.00386,,,,
1.64E+04,0.00583,0.000691,0.00349,,,,
1.84E+04,0.00953,0.000578,0.00143,,,,
2.05E+04,0.0103,0.00241,0.00196,,,,
2.25E+04,0.00753,0.00369,0.00101,,,,
2.46E+04,0.00602,0.00127,0.000961,,,,
2.66E+04,0.00404,0.000546,0.000886,,,,
2.87E+04,0.00639,0.00429,0.00368,,,,
3.07E+04,0.00206,0.00165,0.00119,,,,
3.28E+04,0.00574,0.00225,0.00178,,,,
3.69E+04,0.00371,0.00036,0.00435,,,,
4.10E+04,0.00643,0.00385,0.00244,,,,
