X Lag Time,Record 1: JJ1_01mg_PS8_100ug_000rpm_00-00min_NA_No1_230621 1,Record 2: JJ1_01mg_PS8_100ug_000rpm_00-00min_NA_No1_230621 2,Record 3: JJ1_01mg_PS8_100ug_000rpm_00-00min_NA_No1_230621 3,X Intensity,Record 1: JJ1_01mg_PS8_100ug_000rpm_00-00min_NA_No1_230621 1,Record 2: JJ1_01mg_PS8_100ug_000rpm_00-00min_NA_No1_230621 2,Record 3: JJ1_01mg_PS8_100ug_000rpm_00-00min_NA_No1_230621 3
0.5,0.756,0.741,0.741,0.4,0,0,0
1,0.732,0.719,0.719,0.463,0,0,0
1.5,0.706,0.694,0.694,0.536,0,0,0
2,0.681,0.67,0.672,0.621,0,0,0
2.5,0.66,0.652,0.651,0.719,0,0,0
3,0.641,0.633,0.634,0.833,0,0,0
3.5,0.621,0.614,0.617,0.965,0,0,0
4,0.604,0.598,0.599,1.12,0,0,0
4.5,0.587,0.582,0.583,1.29,0,0,0
5.5,0.555,0.551,0.553,1.5,0,0,0
6.5,0.527,0.522,0.526,1.74,0,0,0
7.5,0.499,0.497,0.5,2.01,0,0,0
8.5,0.474,0.472,0.477,2.33,0,0,0
9.5,0.45,0.45,0.455,2.7,0,0,0
10.5,0.428,0.429,0.437,3.12,0,0,0
11.5,0.408,0.409,0.414,3.62,0,0,0
12.5,0.388,0.391,0.397,4.19,0,0,0
14.5,0.354,0.357,0.364,4.85,0,0,0
16.5,0.322,0.326,0.333,5.61,0.432,0,0
18.5,0.293,0.298,0.305,6.5,1.92,0.99,0.898
20.5,0.267,0.273,0.28,7.53,4.37,3.21,2.89
22.5,0.242,0.249,0.257,8.72,7.31,6.26,5.63
24.5,0.221,0.227,0.235,10.1,10.1,9.45,8.55
26.5,0.201,0.209,0.216,11.7,12.3,12.1,11.1
28.5,0.184,0.192,0.199,13.5,13.3,13.6,12.7
32.5,0.154,0.161,0.169,15.7,13.2,13.8,13.2
36.5,0.129,0.136,0.143,18.2,11.9,12.8,12.6
40.5,0.108,0.115,0.121,21,9.82,10.6,11
44.5,0.0909,0.0973,0.104,24.4,7.23,7.95,8.75
48.5,0.0766,0.0824,0.0883,28.2,4.63,5.17,6.23
52.5,0.0649,0.0709,0.0763,32.7,2.42,2.76,3.85
56.5,0.0552,0.0612,0.0654,37.8,0.891,1.07,1.93
60.5,0.0474,0.0529,0.0572,43.8,0.137,0.197,0.66
68.5,0.0345,0.0399,0.0428,50.7,0,0,0.0793
76.5,0.0256,0.0303,0.0325,58.8,0,0,0
84.5,0.0202,0.0228,0.0247,68.1,0,0,0
92.5,0.0157,0.0176,0.0198,78.8,0,0,0
