X Lag Time,Record 1: H2O_00mg_000rpm_10-00min_ST_No3_230601 1,Record 2: H2O_00mg_000rpm_10-00min_ST_No3_230601 2,Record 3: H2O_00mg_000rpm_10-00min_ST_No3_230601 3,X Intensity,Record 1: H2O_00mg_000rpm_10-00min_ST_No3_230601 1,Record 2: H2O_00mg_000rpm_10-00min_ST_No3_230601 2,Record 3: H2O_00mg_000rpm_10-00min_ST_No3_230601 3
0.5,0.0297,0.025,0.0474,0.4,0,0,0
1,0.0263,0.0211,0.0403,0.463,0,0,0
1.5,0.0223,0.0202,0.04,0.536,0,0,0
2,0.0196,0.0178,0.0362,0.621,0,3.88,0
2.5,0.0213,0.0151,0.0382,0.719,0,3.32,0
3,0.0236,0.0152,0.0366,0.833,0,2.35,0
3.5,0.0225,0.016,0.0357,0.965,0,1.31,0
4,0.0204,0.0149,0.0355,1.12,0,0.503,0
4.5,0.0193,0.0157,0.0366,1.29,0,0.0816,0
5.5,0.0175,0.0135,0.0352,1.5,0,0,0
6.5,0.0176,0.0132,0.0326,1.74,0.33,0,0.0771
7.5,0.018,0.0138,0.0337,2.01,1.04,0.259,0.783
8.5,0.0167,0.0106,0.0322,2.33,1.99,0.823,2.1
9.5,0.0159,0.0118,0.032,2.7,2.93,1.62,3.67
10.5,0.0157,0.0127,0.0295,3.12,3.66,2.49,5.02
11.5,0.016,0.0117,0.0307,3.62,4.03,3.28,5.74
12.5,0.0146,0.011,0.0299,4.19,4,3.83,5.61
14.5,0.0149,0.00937,0.0291,4.85,3.6,4.05,4.68
16.5,0.0132,0.00999,0.0293,5.61,2.93,3.91,3.22
18.5,0.0126,0.00972,0.0302,6.5,2.14,3.44,1.68
20.5,0.0134,0.00957,0.0278,7.53,1.35,2.74,0.514
22.5,0.0124,0.00842,0.0267,8.72,0.705,1.93,0
24.5,0.012,0.00766,0.0271,10.1,0.264,1.16,0
26.5,0.0137,0.00853,0.0253,11.7,0.0461,0.537,0
28.5,0.0136,0.00873,0.0262,13.5,0,0.15,0
32.5,0.0123,0.00801,0.0266,15.7,0,0,0
36.5,0.0117,0.00627,0.0264,18.2,0,0,0
40.5,0.012,0.00837,0.0254,21,0,0,0
44.5,0.0109,0.00782,0.0261,24.4,0,0,0
48.5,0.011,0.00734,0.0257,28.2,0,0,0
52.5,0.0115,0.00734,0.0245,32.7,0,0,0
56.5,0.0108,0.00745,0.0257,37.8,0,0,0
60.5,0.011,0.00716,0.025,43.8,0.00464,0,0
68.5,0.0104,0.00659,0.025,50.7,0.129,0,0
76.5,0.0102,0.00541,0.0248,58.8,0.429,0.0114,0
84.5,0.00955,0.00617,0.0251,68.1,0.913,0.137,0
92.5,0.00939,0.00661,0.0239,78.8,1.55,0.42,0
101,0.00927,0.00559,0.0236,91.3,2.3,0.861,0
109,0.00838,0.0058,0.0235,106,3.08,1.43,0
117,0.00898,0.00594,0.0239,122,3.84,2.08,0.637
125,0.00863,0.00587,0.0237,142,4.51,2.76,2.09
141,0.00825,0.00565,0.0232,164,5.04,3.4,4.07
157,0.00823,0.00517,0.0233,190,5.39,3.96,6.05
173,0.00782,0.00512,0.0227,220,5.55,4.41,7.52
189,0.0073,0.00418,0.0232,255,5.51,4.7,8.11
205,0.00715,0.00471,0.022,295,5.29,4.83,7.69
221,0.00693,0.00485,0.0227,342,4.91,4.79,6.37
237,0.00669,0.0044,0.022,396,4.41,4.59,4.49
253,0.00656,0.00426,0.0222,459,3.82,4.25,2.54
285,0.00594,0.0039,0.0217,531,3.18,3.8,0.979
317,0.00546,0.0036,0.0213,615,2.54,3.27,0.141
349,0.00475,0.00309,0.0206,712,1.94,2.7,0
381,0.0044,0.00311,0.0201,825,1.39,2.12,0
413,0.00413,0.00293,0.0199,955,0.928,1.57,0
