X Lag Time,Record 1: JJ1_01mg_PS2_100ug_000rpm_00-00min_NA_No1_230621 1,Record 2: JJ1_01mg_PS2_100ug_000rpm_00-00min_NA_No1_230621 2,Record 3: JJ1_01mg_PS2_100ug_000rpm_00-00min_NA_No1_230621 3,X Intensity,Record 1: JJ1_01mg_PS2_100ug_000rpm_00-00min_NA_No1_230621 1,Record 2: JJ1_01mg_PS2_100ug_000rpm_00-00min_NA_No1_230621 2,Record 3: JJ1_01mg_PS2_100ug_000rpm_00-00min_NA_No1_230621 3
0.5,0.765,0.751,0.758,0.4,0,0,0
1,0.741,0.727,0.731,0.463,0,0,0
1.5,0.71,0.698,0.706,0.536,0,0,0
2,0.686,0.675,0.679,0.621,0,0,0.606
2.5,0.662,0.65,0.656,0.719,0,0,1.28
3,0.644,0.632,0.636,0.833,0,0,1.57
3.5,0.624,0.611,0.615,0.965,0,0,1.22
4,0.602,0.592,0.596,1.12,0,0,0.5
4.5,0.587,0.575,0.577,1.29,0,0,0
5.5,0.554,0.542,0.544,1.5,0,0,0
6.5,0.524,0.513,0.513,1.74,0,0,0
7.5,0.495,0.486,0.486,2.01,0,0,0
8.5,0.47,0.46,0.46,2.33,0,0,0
9.5,0.447,0.437,0.436,2.7,0,0,0
10.5,0.423,0.415,0.413,3.12,0,0,0
11.5,0.403,0.395,0.393,3.62,0,0,0
12.5,0.382,0.374,0.373,4.19,0,0,0
14.5,0.346,0.339,0.337,4.85,0,0,0
16.5,0.314,0.306,0.304,5.61,0,0.106,0
18.5,0.284,0.276,0.274,6.5,1.2,1.68,0.657
20.5,0.258,0.25,0.248,7.53,3.86,4.73,3.47
22.5,0.235,0.225,0.223,8.72,7.48,8.55,7.92
24.5,0.213,0.205,0.2,10.1,11.2,12.2,12.6
26.5,0.194,0.185,0.182,11.7,14.1,14.6,15.9
28.5,0.177,0.169,0.164,13.5,15.5,15.5,16.9
32.5,0.146,0.138,0.134,15.7,15,14.5,15.3
36.5,0.121,0.113,0.11,18.2,12.9,12,11.6
40.5,0.1,0.0942,0.0897,21,9.57,8.55,7.01
44.5,0.0834,0.0781,0.0737,24.4,5.89,5.02,2.94
48.5,0.0692,0.0646,0.0597,28.2,2.71,2.15,0.532
52.5,0.0581,0.054,0.0489,32.7,0.687,0.473,0
56.5,0.0483,0.0449,0.0399,37.8,0,0,0
60.5,0.0408,0.0374,0.0334,43.8,0,0,0
68.5,0.0284,0.0268,0.0226,50.7,0,0,0
76.5,0.0202,0.0191,0.016,58.8,0,0,0
84.5,0.0141,0.014,0.0116,68.1,0,0,0
92.5,0.0104,0.0102,0.00831,78.8,0,0,0
101,0.00703,0.0075,0.00674,91.3,0,0,0
109,0.00524,0.00531,0.00483,106,0,0,0
117,0.00369,0.0034,0.0031,122,0,0,0
125,0.0025,0.00213,0.00194,142,0,0,0
141,0.00199,0.00128,0.00194,164,0,0,0
157,0.00132,0.000586,0.00192,190,0,0,0
173,0.00109,0.000964,0.00197,220,0,0,0
189,0.00133,0.000645,0.00213,255,0,0,0
205,0.000633,0.000438,0.00195,295,0,0,0
221,0.000869,0.000619,0.00176,342,0,0,0
237,0.000946,0.0016,0.00213,396,0,0,0
253,0.00071,0.00105,0.00199,459,0,0,0
285,0.00148,0.000985,0.00119,531,0,0,0
317,0.000957,0.000374,0.000982,615,0,0,0
349,0.000708,0.000377,0.000934,712,0,0,0
381,0.000758,0.000471,0.00113,825,0,0,0
413,0.000738,0.000948,0.00145,955,0,0,0
445,0.00107,0.000467,0.000669,1.11E+03,0,0,0
477,0.000681,9.44E-05,0.00139,1.28E+03,0,0,0
509,0.00042,0.000155,0.000783,1.48E+03,0,0,0
573,0.000416,0.000319,0.000267,1.72E+03,0,0,0
637,0.000619,5.17E-06,0.000411,1.99E+03,0,0,0
701,0.000536,0.000511,0.000699,2.30E+03,0,0,0
765,0.000202,0.000834,0.000251,2.67E+03,0,0,0
829,0.000533,0.000532,0.000181,3.09E+03,0,0,0
893,0.000993,0.000758,6.58E-05,3.58E+03,0,0,0
957,0.0013,0.000894,0.000787,4.15E+03,0,0,0
1.02E+03,0.000745,0.000521,0.000202,4.80E+03,0,0,0
1.15E+03,0.000728,0.000463,0.00123,5.56E+03,0,0,0
1.28E+03,0.000164,0.0005,0.000535,6.44E+03,0,0,0
1.40E+03,0.000336,4.21E-05,0.000201,7.46E+03,0,0,0
1.53E+03,0.000566,0.000871,0.000237,8.63E+03,0,0,0
1.66E+03,0.000953,9.47E-05,1.15E-05,,,,
1.79E+03,0.00078,3.14E-05,0.000479,,,,
1.92E+03,0.000869,0.000993,0.000454,,,,
2.04E+03,0.0004,0.000356,7.40E-05,,,,
2.30E+03,0.000441,0.000313,0.000239,,,,
2.56E+03,0.000219,0.000311,0.000683,,,,
2.81E+03,0.000264,0.000719,0.00035,,,,
3.07E+03,0.000446,0.000523,0.000135,,,,
3.32E+03,0.000801,0.000292,1.21E-05,,,,
3.58E+03,0.000162,0.000134,0.000388,,,,
3.84E+03,0.000122,0,0.000211,,,,
4.09E+03,0.000201,0,0.000244,,,,
4.60E+03,0.000289,0.000309,0.000328,,,,
5.12E+03,0.000401,0.000335,0.000255,,,,
5.63E+03,0.000173,0.000253,0.000451,,,,
6.14E+03,0.000144,0.000389,0.000115,,,,
6.65E+03,0.000233,7.01E-05,5.95E-05,,,,
7.16E+03,0.000126,0.000154,0.000229,,,,
7.68E+03,0.000505,0.000443,0.000152,,,,
8.19E+03,0.000327,8.46E-06,7.16E-05,,,,
9.21E+03,0.000368,0.00016,4.75E-05,,,,
1.02E+04,0.00028,0.000208,3.77E-05,,,,
1.13E+04,3.82E-05,0.000194,0.000123,,,,
1.23E+04,0.000292,0.000344,8.54E-05,,,,
1.33E+04,0,0.000227,0.000152,,,,
1.43E+04,0.000251,0.000225,0.000128,,,,
1.54E+04,0.000234,5.33E-05,0.000148,,,,
1.64E+04,0.000193,6.07E-05,8.92E-05,,,,
1.84E+04,8.53E-05,9.07E-05,0.000209,,,,
2.05E+04,0.000164,0.000397,4.36E-06,,,,
2.25E+04,0.000171,0.00018,0.000123,,,,
2.46E+04,0.000109,0.000337,0.000282,,,,
2.66E+04,0.000201,0.000461,0.000229,,,,
2.87E+04,0.000181,4.97E-05,0.000103,,,,
3.07E+04,0.0002,0.00029,2.19E-05,,,,
3.28E+04,0.000159,0.000144,7.87E-05,,,,
3.69E+04,0.000192,0.000168,0,,,,
4.10E+04,7.44E-05,0,0.000151,,,,
4.51E+04,0.00021,0.000155,1.36E-05,,,,
4.91E+04,6.90E-05,8.88E-05,7.88E-05,,,,
5.32E+04,5.22E-05,7.50E-05,2.78E-05,,,,
5.73E+04,3.96E-05,9.70E-05,7.52E-05,,,,
6.14E+04,0.000357,0.00012,0.000229,,,,
6.55E+04,0.000203,8.78E-05,6.47E-05,,,,
7.37E+04,0.000135,0.000222,7.89E-05,,,,
8.19E+04,0.000127,8.02E-05,0.000142,,,,
9.01E+04,9.78E-05,3.89E-05,7.55E-05,,,,
9.83E+04,0.000119,0.000234,0.00018,,,,
1.06E+05,8.23E-05,0.000137,0.000108,,,,
1.15E+05,0.000247,0.000303,0.000114,,,,
1.23E+05,9.77E-05,0.0002,0.000309,,,,
1.31E+05,0.000267,2.24E-05,0.000162,,,,
1.47E+05,0.000306,8.66E-05,2.40E-05,,,,
1.64E+05,0.000278,4.94E-05,8.11E-06,,,,
1.80E+05,0.000241,6.52E-05,7.79E-05,,,,
1.97E+05,0.000397,0,3.38E-05,,,,
2.13E+05,0.000324,2.70E-06,2.56E-05,,,,
2.29E+05,0.000329,0,5.21E-05,,,,
2.46E+05,0.000394,6.24E-05,8.14E-05,,,,
2.62E+05,0.000288,0.000223,4.23E-05,,,,
2.95E+05,0.000189,0.000102,0.000193,,,,
3.28E+05,0.000166,8.10E-05,5.34E-05,,,,
3.60E+05,0.00024,0.000164,0,,,,
3.93E+05,0.000157,2.47E-05,0.000122,,,,
4.26E+05,0.000164,9.23E-05,0.00011,,,,
4.59E+05,0.000149,0.000139,3.43E-05,,,,
4.92E+05,0.000135,0.000147,0.000132,,,,
5.24E+05,0.000183,1.67E-05,4.25E-05,,,,
5.90E+05,0.000139,0.000109,0.000254,,,,
6.55E+05,9.72E-05,0,0.000286,,,,
7.21E+05,0.000247,0,0.000167,,,,
7.86E+05,0.000247,0,0.00037,,,,
8.52E+05,0.000323,4.23E-06,0.000148,,,,
9.18E+05,0.000264,0.000207,0.00028,,,,
9.83E+05,0.000242,6.05E-05,0.000267,,,,
1.05E+06,0.000314,0,0.000389,,,,
1.18E+06,0.000487,0.000137,0.000107,,,,
1.31E+06,0.000666,0.00016,8.81E-05,,,,
1.44E+06,0.000816,0.000157,0.000357,,,,
1.57E+06,0.00106,3.53E-05,0.000281,,,,
1.70E+06,0.00127,5.67E-05,0.000335,,,,
1.84E+06,0.00122,0.000196,0.000125,,,,
1.97E+06,0.00128,0.00011,8.95E-05,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
