X Lag Time,Record 1: JJ1_01mg_PO1_100ug_000rpm_00-00min_NA_No1_230621 1,Record 2: JJ1_01mg_PO1_100ug_000rpm_00-00min_NA_No1_230621 2,Record 3: JJ1_01mg_PO1_100ug_000rpm_00-00min_NA_No1_230621 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_000rpm_00-00min_NA_No1_230621 1,Record 2: JJ1_01mg_PO1_100ug_000rpm_00-00min_NA_No1_230621 2,Record 3: JJ1_01mg_PO1_100ug_000rpm_00-00min_NA_No1_230621 3
0.5,0.777,0.782,0.773,0.4,0,0,0
1,0.749,0.753,0.749,0.463,0,0,0
1.5,0.723,0.726,0.72,0.536,0,0,0
2,0.697,0.699,0.696,0.621,0,0,0
2.5,0.675,0.677,0.67,0.719,0,0,0
3,0.653,0.656,0.649,0.833,0,0,0
3.5,0.633,0.635,0.63,0.965,0,0,0
4,0.615,0.617,0.611,1.12,0,0,0
4.5,0.596,0.599,0.592,1.29,0,0,0
5.5,0.563,0.565,0.558,1.5,0,0,0
6.5,0.532,0.534,0.528,1.74,0,0,0
7.5,0.505,0.504,0.5,2.01,0,0,0
8.5,0.478,0.479,0.473,2.33,0,0,0
9.5,0.456,0.455,0.449,2.7,0,0,0
10.5,0.432,0.432,0.426,3.12,0,0,0
11.5,0.41,0.409,0.403,3.62,0,0,0
12.5,0.39,0.389,0.384,4.19,0,0,0
14.5,0.353,0.353,0.348,4.85,0,0,0
16.5,0.318,0.319,0.314,5.61,0,0,0
18.5,0.289,0.289,0.284,6.5,1.3,0.908,0.873
20.5,0.261,0.261,0.257,7.53,4.13,3.58,3.67
22.5,0.239,0.236,0.232,8.72,7.9,7.58,7.91
24.5,0.216,0.215,0.21,10.1,11.7,11.8,12.3
26.5,0.195,0.194,0.189,11.7,14.5,15.1,15.7
28.5,0.178,0.177,0.172,13.5,15.7,16.6,16.9
32.5,0.146,0.145,0.141,15.7,15,15.8,15.8
36.5,0.122,0.121,0.116,18.2,12.6,13,12.7
40.5,0.0997,0.0998,0.0962,21,9.1,9.02,8.47
44.5,0.0831,0.0821,0.0792,24.4,5.39,4.86,4.29
48.5,0.069,0.0677,0.0652,28.2,2.32,1.65,1.27
52.5,0.0566,0.0557,0.0541,32.7,0.497,0.0701,0
56.5,0.048,0.0458,0.0442,37.8,0,0,0
60.5,0.0397,0.0388,0.0371,43.8,0,0,0
68.5,0.0281,0.0265,0.0257,50.7,0,0,0
76.5,0.0202,0.0178,0.0196,58.8,0,0,0
84.5,0.0142,0.0129,0.0143,68.1,0,0,0
92.5,0.0105,0.00944,0.0111,78.8,0,0,0
101,0.00746,0.00699,0.00814,91.3,0,0,0
109,0.00476,0.00495,0.00548,106,0,0,0
117,0.00257,0.00373,0.00457,122,0,0,0
125,0.00199,0.00338,0.00306,142,0,0,0
141,0.00118,0.00161,0.00168,164,0,0,0
157,0.000566,0.00101,0.00147,190,0,0,0
173,0.00103,0.00133,0.00153,220,0,0,0
189,0.00123,0.00098,0.00157,255,0,0,0
205,0.00086,0.00109,0.00119,295,0,0,0
221,0.000835,0.00139,0.00152,342,0,0,0
237,0.00121,0.000856,0.00121,396,0,0,0
253,0.000644,0.000765,0.000437,459,0,0,0
285,0.000822,0.000435,0.000473,531,0,0,0
317,0.000429,0.000844,0.000335,615,0,0,0
349,0.000393,0.000363,0.000766,712,0,0,0
381,0.000852,0.00129,0.000655,825,0,0,0
413,0.000696,0.000872,0.00101,955,0,0,0
445,0.00108,0.00051,0.0009,1.11E+03,0,0,0
477,0.00102,0.000589,0.00145,1.28E+03,0,0,0
509,0.000676,0.000329,0.000843,1.48E+03,0,0,0
573,0.000438,0.000128,1.21E-05,1.72E+03,0,0,0
637,0.00102,0.00114,0.00053,1.99E+03,0,0,0
701,0.000592,0.000472,0.00109,2.30E+03,0,0,0
765,0.000362,0.00107,4.97E-05,2.67E+03,0,0,0
829,0.000112,0.0016,0.00164,3.09E+03,0,0,0
893,0.000681,0.00091,0.00022,3.58E+03,0,0,0
957,0.000237,0.000476,0.000597,4.15E+03,0,0,0
1.02E+03,0.000134,6.70E-05,0.000481,4.80E+03,0,0,0
1.15E+03,0.000345,0.000325,0.00107,5.56E+03,0,0,0
1.28E+03,0.000456,0.000438,0.000306,6.44E+03,0,0,0
1.40E+03,0.000601,0.000355,2.68E-05,7.46E+03,0,0,0
1.53E+03,0.000114,0.000511,0.000805,8.63E+03,0,0,0
1.66E+03,0.000175,0.00105,0.000296,,,,
