X Lag Time,Record 1: SST_230607 1,Record 2: SST_230607 2,Record 3: SST_230607 3,X Intensity,Record 1: SST_230607 1,Record 2: SST_230607 2,Record 3: SST_230607 3
1.15E+05,0.00595,0.00252,0.00206,,,,
1.23E+05,0.00439,0.000943,0.000887,,,,
1.31E+05,0.00315,0.00216,0.00189,,,,
1.47E+05,0.00328,0.00161,0.00207,,,,
1.64E+05,0,0.00217,0.00247,,,,
1.80E+05,0.000476,0.000319,0.00125,,,,
1.97E+05,0.000423,0.00291,0.00267,,,,
2.13E+05,0.00121,0.00402,0.000798,,,,
2.29E+05,0.000536,0.00258,0.00181,,,,
2.46E+05,0.000679,0.00302,0.00152,,,,
2.62E+05,0.000761,0.00341,0.00109,,,,
2.95E+05,0.000581,0.00191,0.00213,,,,
3.28E+05,0.000555,0.00351,0.0018,,,,
3.60E+05,0.000411,0.00254,0.00162,,,,
3.93E+05,0.000528,0.00261,0.00184,,,,
4.26E+05,5.44E-06,0.00233,0.00197,,,,
4.59E+05,0.000152,0.00372,0.00134,,,,
4.92E+05,0.00122,0.00169,0.0015,,,,
5.24E+05,0.000339,0.00104,0.00242,,,,
5.90E+05,0.000526,0.000801,0.00112,,,,
6.55E+05,0.000831,0.0025,0.00129,,,,
7.21E+05,4.31E-05,0.00264,0.000831,,,,
7.86E+05,0.000303,0.000173,0.00102,,,,
8.52E+05,0.00219,0.000696,0.00165,,,,
9.18E+05,0.00488,0.000718,0.00182,,,,
9.83E+05,0.00697,0.000447,0.00152,,,,
1.05E+06,0.00547,0.00168,0.000459,,,,
1.18E+06,0.000743,0.00319,1.71E-05,,,,
1.31E+06,0.000525,0.00352,0.000901,,,,
1.44E+06,0.00125,0.000878,0.00124,,,,
1.57E+06,0.000993,0.000182,0.000284,,,,
1.70E+06,0.00293,0.000812,0.000831,,,,
1.84E+06,0.00238,0.00174,0.00105,,,,
1.97E+06,5.30E-05,0.00133,0.00059,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
