X Lag Time,Record 1: H2O_000rpm_10-00min_ST_No2_230530 1,Record 2: H2O_000rpm_10-00min_ST_No2_230530 2,Record 3: H2O_000rpm_10-00min_ST_No2_230530 3,X Intensity,Record 1: H2O_000rpm_10-00min_ST_No2_230530 1,Record 2: H2O_000rpm_10-00min_ST_No2_230530 2,Record 3: H2O_000rpm_10-00min_ST_No2_230530 3
0.5,0.0847,0.0971,0.0974,0.4,0,0,0
1,0.0768,0.0969,0.0938,0.463,0,0,0
1.5,0.0747,0.0955,0.093,0.536,0,0,0
2,0.0723,0.0951,0.0907,0.621,0,0.493,0
2.5,0.0751,0.0906,0.0914,0.719,0,0.424,0
3,0.0732,0.0929,0.091,0.833,0,0.54,0
3.5,0.0731,0.0891,0.084,0.965,0,0.816,0
4,0.0708,0.0906,0.0865,1.12,0,1.14,0
4.5,0.0721,0.0905,0.087,1.29,0,1.36,0
5.5,0.0704,0.088,0.0836,1.5,0,1.37,0
6.5,0.069,0.0879,0.0849,1.74,0.45,1.16,0
7.5,0.0681,0.0835,0.0848,2.01,1.39,0.814,0
8.5,0.0688,0.0842,0.0815,2.33,2.21,0.467,0
9.5,0.0654,0.0831,0.0817,2.7,2.37,0.253,0
10.5,0.0654,0.0817,0.081,3.12,1.78,0.244,0
11.5,0.0643,0.0829,0.0794,3.62,0.818,0.41,0.109
12.5,0.0654,0.0815,0.0787,4.19,0.0991,0.63,0.592
14.5,0.0642,0.0823,0.0801,4.85,0,0.753,1.18
16.5,0.0644,0.0828,0.0783,5.61,0,0.676,1.49
18.5,0.0626,0.0783,0.0777,6.5,0,0.417,1.29
20.5,0.0629,0.079,0.0782,7.53,0,0.128,0.719
22.5,0.0625,0.0802,0.0777,8.72,0,0,0.166
24.5,0.0629,0.078,0.0762,10.1,0,0,0
26.5,0.06,0.0786,0.0767,11.7,0,0,0
28.5,0.0597,0.0779,0.0748,13.5,0,0,0
32.5,0.0605,0.0771,0.0733,15.7,0,0,0
36.5,0.059,0.0759,0.0715,18.2,0,0,0
40.5,0.0576,0.0742,0.0739,21,0,0,0
44.5,0.0572,0.0742,0.0711,24.4,0,0,0
48.5,0.0565,0.0733,0.0703,28.2,0,0,0
52.5,0.056,0.0748,0.0696,32.7,0,0,0
56.5,0.0566,0.0723,0.068,37.8,0,0,0
60.5,0.0558,0.0706,0.0681,43.8,0,0,0
68.5,0.054,0.071,0.0664,50.7,0,0,0
76.5,0.0531,0.07,0.066,58.8,0,0,0
84.5,0.0519,0.0678,0.0635,68.1,0,0,0
92.5,0.0511,0.0666,0.0634,78.8,0,0,0
101,0.0496,0.0661,0.0609,91.3,0,0,0
109,0.0495,0.0656,0.0605,106,0.141,0,0
117,0.047,0.0639,0.0601,122,1.25,1.19,0.625
125,0.047,0.0629,0.0588,142,3.36,3.8,2.49
141,0.0455,0.0617,0.0565,164,6.07,7.22,5.35
157,0.0438,0.06,0.0547,190,8.79,10.5,8.57
173,0.042,0.0586,0.0521,220,11,12.8,11.4
189,0.0401,0.0562,0.0507,255,12.2,13.5,13.2
205,0.0389,0.055,0.049,295,12.4,12.6,13.7
221,0.0374,0.0539,0.0462,342,11.4,10.2,12.8
237,0.0355,0.0516,0.0447,396,9.47,7.07,10.6
253,0.034,0.0502,0.0432,459,7.05,3.9,7.82
285,0.0318,0.0475,0.0397,531,4.53,1.46,4.86
317,0.0297,0.0452,0.037,615,2.34,0.194,2.34
349,0.0269,0.043,0.0342,712,0.823,0,0.674
381,0.0254,0.0404,0.0315,825,0.0944,0,0
413,0.0234,0.0386,0.0294,955,0,0,0
445,0.0215,0.0359,0.0273,1.11E+03,0,0,0
477,0.0197,0.0339,0.0249,1.28E+03,0,0,0
509,0.0184,0.0323,0.0231,1.48E+03,0,0,0
573,0.0156,0.0298,0.0195,1.72E+03,0,0,0
637,0.0134,0.0272,0.0165,1.99E+03,0,0,0
701,0.0111,0.0246,0.0136,2.30E+03,0,0,0
765,0.00958,0.0223,0.0115,2.67E+03,0,0,0
829,0.00821,0.0206,0.00977,3.09E+03,0,0,0
893,0.00679,0.0195,0.008,3.58E+03,0,0,0
957,0.00612,0.018,0.00692,4.15E+03,0,0.138,0
1.02E+03,0.00535,0.017,0.00572,4.80E+03,0,0.962,0
1.15E+03,0.0041,0.0152,0.00382,5.56E+03,0,2.32,0
1.28E+03,0.00304,0.0141,0.00286,6.44E+03,0,0,0
1.40E+03,0.00193,0.0131,0.00237,7.46E+03,0,0,0
1.53E+03,0.00161,0.0125,0.0017,8.63E+03,0,0,0
1.66E+03,0.00135,0.0121,0.00159,,,,
1.79E+03,0.00127,0.0118,0.00148,,,,
1.92E+03,0.00134,0.0119,0.000933,,,,
2.04E+03,0.00116,0.0114,0.000814,,,,
2.30E+03,0.0011,0.0108,0.000955,,,,
2.56E+03,0.00074,0.0111,0.000715,,,,
2.81E+03,0.000656,0.0113,0.000913,,,,
3.07E+03,0.0007,0.0113,0.001,,,,
3.32E+03,0.000447,0.0114,0.000831,,,,
3.58E+03,0.000634,0.012,0.00111,,,,
3.84E+03,0.000706,0.0119,0.00128,,,,
4.09E+03,0.0007,0.0119,0.00123,,,,
4.60E+03,0.000655,0.0113,0.000709,,,,
5.12E+03,0.000809,0.011,0.000672,,,,
5.63E+03,0.000542,0.0111,0.000578,,,,
6.14E+03,0.000496,0.0118,0.000615,,,,
6.65E+03,0.000821,0.0119,0.00108,,,,
7.16E+03,0.000984,0.0117,0.00174,,,,
7.68E+03,0.000747,0.0121,0.00156,,,,
8.19E+03,0.000771,0.0114,0.00165,,,,
9.21E+03,0.000506,0.0108,0.00116,,,,
1.02E+04,0.000911,0.0115,0.000812,,,,
1.13E+04,0.00116,0.0119,0.00084,,,,
