X Lag Time,Record 1: JJ1_01mg_000rpm_00-00min_STEEL_No2_230530 1,Record 2: JJ1_01mg_000rpm_00-00min_STEEL_No2_230530 2,Record 3: JJ1_01mg_000rpm_00-00min_STEEL_No2_230530 3,X Intensity,Record 1: JJ1_01mg_000rpm_00-00min_STEEL_No2_230530 1,Record 2: JJ1_01mg_000rpm_00-00min_STEEL_No2_230530 2,Record 3: JJ1_01mg_000rpm_00-00min_STEEL_No2_230530 3
0.5,0.715,0.747,0.7,0.4,0,0,0
1,0.692,0.725,0.677,0.463,0,0,0
1.5,0.668,0.7,0.652,0.536,0,0,0
2,0.646,0.678,0.628,0.621,0.395,0.136,0
2.5,0.625,0.656,0.607,0.719,0.861,0.563,0.24
3,0.608,0.637,0.588,0.833,1.18,1.08,0.766
3.5,0.59,0.619,0.57,0.965,1.19,1.35,1.26
4,0.573,0.601,0.555,1.12,0.903,1.17,1.36
4.5,0.556,0.585,0.538,1.29,0.486,0.64,0.988
5.5,0.528,0.555,0.507,1.5,0.141,0.133,0.39
6.5,0.503,0.526,0.481,1.74,0,0,0
7.5,0.478,0.501,0.454,2.01,0,0,0
8.5,0.455,0.477,0.432,2.33,0,0,0
9.5,0.434,0.455,0.41,2.7,0,0,0
10.5,0.415,0.433,0.39,3.12,0,0,0
11.5,0.396,0.414,0.371,3.62,0,0,0
12.5,0.378,0.396,0.354,4.19,0,0,0
14.5,0.345,0.362,0.32,4.85,0,0,0
16.5,0.316,0.331,0.29,5.61,0.456,0,0
18.5,0.289,0.304,0.264,6.5,1.79,0.87,1.08
20.5,0.265,0.278,0.239,7.53,3.95,3.18,3.54
22.5,0.244,0.255,0.218,8.72,6.58,6.52,6.9
24.5,0.223,0.234,0.197,10.1,9.19,10,10.4
26.5,0.206,0.214,0.18,11.7,11.3,12.8,13.1
28.5,0.189,0.197,0.164,13.5,12.4,14.2,14.4
32.5,0.161,0.167,0.135,15.7,12.4,13.8,14.1
36.5,0.137,0.142,0.113,18.2,11.3,12,12.3
40.5,0.117,0.121,0.0938,21,9.3,9.07,9.35
44.5,0.1,0.103,0.0785,24.4,6.78,5.79,6.02
48.5,0.0867,0.0891,0.0665,28.2,4.21,2.86,3
52.5,0.0747,0.0766,0.0552,32.7,2.04,0.855,0.907
56.5,0.0649,0.0662,0.046,37.8,0.603,0,0
60.5,0.0562,0.0581,0.0397,43.8,0,0,0
68.5,0.0428,0.0451,0.0287,50.7,0,0,0
76.5,0.034,0.0354,0.021,58.8,0,0,0
84.5,0.0268,0.0282,0.0158,68.1,0,0,0
92.5,0.0214,0.0233,0.0112,78.8,0,0,0
101,0.0172,0.0199,0.00805,91.3,0,0,0
109,0.0142,0.0167,0.00694,106,0,0,0
117,0.0124,0.0151,0.0053,122,0,0,0
125,0.0105,0.0132,0.0045,142,0,0,0
141,0.00821,0.0102,0.00277,164,0,0,0
