X Lag Time,Record 1: JJ1_01mg_PO1_010ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PO1_010ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PO1_010ug_000rpm_00-00min_NA_No1_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_000rpm_00-00min_NA_No1_230620 1,Record 2: JJ1_01mg_PO1_010ug_000rpm_00-00min_NA_No1_230620 2,Record 3: JJ1_01mg_PO1_010ug_000rpm_00-00min_NA_No1_230620 3
0.5,0.71,0.761,0.758,0.4,0,0,0
1,0.681,0.73,0.733,0.463,0,0,0
1.5,0.656,0.699,0.705,0.536,0,0,0
2,0.637,0.672,0.676,0.621,0,0,0
2.5,0.617,0.648,0.656,0.719,0.098,0,0
3,0.597,0.63,0.634,0.833,0.722,0,0
3.5,0.58,0.607,0.61,0.965,1.39,0,0
4,0.563,0.596,0.593,1.12,1.58,0,0
4.5,0.55,0.575,0.574,1.29,1.16,0,0
5.5,0.522,0.54,0.545,1.5,0.468,0,0
6.5,0.494,0.517,0.517,1.74,0,0,0
7.5,0.471,0.487,0.49,2.01,0,0,0
8.5,0.448,0.46,0.46,2.33,0,0,0
9.5,0.43,0.438,0.434,2.7,0,0,0
10.5,0.41,0.416,0.41,3.12,0,0,0
11.5,0.39,0.399,0.393,3.62,0,0,0
12.5,0.375,0.379,0.374,4.19,0,0,0
14.5,0.343,0.343,0.338,4.85,0,0.31,0
16.5,0.313,0.314,0.308,5.61,0,1.29,0.128
18.5,0.286,0.281,0.28,6.5,0.861,2.98,1.35
20.5,0.265,0.256,0.253,7.53,2.89,5.22,3.83
22.5,0.244,0.233,0.23,8.72,5.76,7.67,7.18
24.5,0.22,0.214,0.207,10.1,8.85,9.93,10.7
26.5,0.206,0.194,0.19,11.7,11.5,11.6,13.5
28.5,0.189,0.178,0.173,13.5,13.1,12.5,15
32.5,0.159,0.146,0.143,15.7,13.3,12.3,14.8
36.5,0.136,0.124,0.118,18.2,12.3,11.3,13
40.5,0.118,0.103,0.0973,21,10.1,9.41,9.98
44.5,0.1,0.0851,0.0822,24.4,7.33,7.09,6.46
48.5,0.0862,0.072,0.0679,28.2,4.48,4.67,3.22
52.5,0.0754,0.0592,0.0577,32.7,2.11,2.54,0.958
56.5,0.0643,0.0506,0.0488,37.8,0.589,0.997,0
60.5,0.0562,0.0431,0.0405,43.8,0,0.185,0
68.5,0.0419,0.033,0.0272,50.7,0,0,0
76.5,0.0324,0.0238,0.0193,58.8,0,0,0
84.5,0.0257,0.0173,0.0142,68.1,0,0,0
92.5,0.0206,0.0128,0.012,78.8,0,0,0
101,0.0163,0.00861,0.00705,91.3,0,0,0
109,0.0126,0.00731,0.00574,106,0,0,0
117,0.0122,0.00477,0.00399,122,0,0,0
125,0.00943,0.00418,0.00291,142,0,0,0
141,0.00706,0.00222,0.00164,164,0,0,0
157,0.00518,0.00357,0.0014,190,0,0,0
173,0.00539,0.00152,0.00124,220,0,0,0
189,0.00529,0.00183,0.000999,255,0,0,0
205,0.00358,0.00225,0.00141,295,0,0,0
221,0.00275,0.00241,0.00175,342,0,0,0
237,0.00343,0.000874,0.00148,396,0,0,0
253,0.00457,0.00114,0.000959,459,0,0,0
285,0.00363,0.000588,0.00152,531,0,0,0
317,0.00362,0.000535,0.00027,615,0,0,0
349,0.00257,0.000635,0.00108,712,0,0,0
381,0.00349,0.0019,0.002,825,0,0,0
413,0.00302,0.00157,0.00111,955,0,0,0
445,0.00407,0.000378,0.00131,1.11E+03,0,0,0
477,0.00498,0.000981,0.000892,1.28E+03,0,0,0
509,0.00552,0.000839,0.00098,1.48E+03,0,0,0
573,0.00375,0.00189,0.00155,1.72E+03,0,0,0
637,0.0042,0.000883,0.000693,1.99E+03,0,0,0
701,0.00283,0.000529,0.000657,2.30E+03,0,0,0
765,0.00249,0.00192,0.000822,2.67E+03,0,0,0
829,0.00219,0.00117,0.000606,3.09E+03,0.0319,0,0
893,0.0017,0.00123,0.000464,3.58E+03,0.132,0,0
957,0.00211,0.000985,0.000711,4.15E+03,0.289,0,0
1.02E+03,0.00262,0.000805,0.000272,4.80E+03,0.461,0,0
1.15E+03,0.00231,0.000605,0.00138,5.56E+03,0.598,0,0
1.28E+03,0.00333,0.00201,0.00102,6.44E+03,0,0,0
1.40E+03,0.00315,0.00146,0.000946,7.46E+03,0,0,0
1.53E+03,0.00156,0.000444,0.00171,8.63E+03,0,0,0
1.66E+03,0.00256,0.000911,0.00121,,,,
1.79E+03,0.00265,0.00109,0.000455,,,,
1.92E+03,0.00292,0.00116,0.00149,,,,
2.04E+03,0.00185,0.00126,0.0013,,,,
2.30E+03,0.002,0.000656,0.00072,,,,
2.56E+03,0.00169,0.00061,0.000738,,,,
2.81E+03,0.00235,0.00035,0.000521,,,,
3.07E+03,0.00201,0.000766,0.000404,,,,
3.32E+03,0.00203,0.000571,0.000843,,,,
3.58E+03,0.00184,0.000704,0.000936,,,,
3.84E+03,0.00241,0.000441,0.000449,,,,
4.09E+03,0.00224,0.000558,0.000701,,,,
4.60E+03,0.00151,0.000682,0.000474,,,,
5.12E+03,0.00134,0.00029,0.00053,,,,
5.63E+03,0.00133,0.000906,0.000458,,,,
6.14E+03,0.00118,0.000271,0.000397,,,,
6.65E+03,0.000914,0.000589,0.000569,,,,
7.16E+03,0.000768,0.000192,0.000393,,,,
7.68E+03,0.000934,0.000152,0.0005,,,,
8.19E+03,0.000981,0.00019,0.000336,,,,
9.21E+03,0.00113,0.000287,0.000413,,,,
1.02E+04,0.00083,0.000342,0.000568,,,,
1.13E+04,0.000443,0.000413,0.000471,,,,
1.23E+04,0.00049,0.00043,0.000322,,,,
1.33E+04,0.00045,0.000806,0.000554,,,,
1.43E+04,0.000386,0.000183,0.000355,,,,
1.54E+04,0.0003,0.000351,5.35E-05,,,,
1.64E+04,0.000508,0.000369,0.000328,,,,
1.84E+04,0.000474,6.77E-05,0.000285,,,,
2.05E+04,0.000545,0.000429,0.000159,,,,
2.25E+04,0.000496,0.000208,0.000173,,,,
2.46E+04,0.000439,0.00048,0.000434,,,,
2.66E+04,0.000623,9.05E-05,0.00034,,,,
2.87E+04,0.000353,0.000631,0.000308,,,,
3.07E+04,0.00063,0.000131,0.000302,,,,
3.28E+04,0.000475,8.81E-05,0.000221,,,,
3.69E+04,0.000873,0.000151,0.000402,,,,
4.10E+04,0.000491,0.00024,0.000576,,,,
4.51E+04,0.00108,0.000198,0.00027,,,,
4.91E+04,0.00107,0.000277,0.000522,,,,
5.32E+04,0.00103,0.000222,0.000285,,,,
5.73E+04,0.000737,0.000223,0.000413,,,,
6.14E+04,0.000705,0.00023,0.000344,,,,
6.55E+04,0.000655,0.000329,0.000139,,,,
7.37E+04,0.000434,0.000103,9.36E-05,,,,
8.19E+04,0.000472,0.000146,0.000134,,,,
9.01E+04,0.000902,0.00028,0.000135,,,,
9.83E+04,0.000716,0.000193,0.000118,,,,
1.06E+05,0.000879,3.30E-05,7.60E-05,,,,
1.15E+05,0.000607,7.49E-05,0.000292,,,,
1.23E+05,0.000408,0.000125,6.22E-05,,,,
1.31E+05,0.000356,0.000261,0.000261,,,,
1.47E+05,0.000514,0.000252,8.04E-05,,,,
1.64E+05,0.000517,0.000176,0.000135,,,,
1.80E+05,0.00041,0.000259,0.000139,,,,
1.97E+05,0.000505,0.000213,0.000116,,,,
2.13E+05,0.000381,0.00027,7.65E-05,,,,
2.29E+05,0.000402,0.000239,0.000115,,,,
2.46E+05,0.000448,0.000188,4.93E-05,,,,
2.62E+05,0.000477,0.000276,0.000264,,,,
2.95E+05,0.000552,0.0001,0.000207,,,,
3.28E+05,0.000303,7.10E-05,0.000172,,,,
3.60E+05,0.000268,0.000248,0.000167,,,,
3.93E+05,0.000445,0.000363,0.000126,,,,
4.26E+05,0.000345,5.89E-05,3.46E-05,,,,
4.59E+05,0.000199,0.000123,0.000411,,,,
4.92E+05,0.000398,0.000139,9.08E-05,,,,
5.24E+05,0.000401,0.00032,0.000231,,,,
5.90E+05,0.000395,0.000253,2.09E-05,,,,
6.55E+05,0.000704,0.000128,9.81E-05,,,,
7.21E+05,0.000759,0.000125,0.000106,,,,
7.86E+05,0.000374,0.000185,2.64E-06,,,,
8.52E+05,0.000447,0.000144,0.000314,,,,
9.18E+05,0.000154,0.000257,0.000366,,,,
9.83E+05,0.000218,1.32E-05,0.000277,,,,
1.05E+06,0.00034,0.000752,0.000143,,,,
1.18E+06,0.000333,0.000706,0.000337,,,,
1.31E+06,0.000666,0.000865,0.000196,,,,
1.44E+06,0.00105,0.000156,0,,,,
1.57E+06,0.00119,0.000335,0.0005,,,,
1.70E+06,0.00156,0.000317,0.000233,,,,
1.84E+06,0.00186,0.000324,0.000457,,,,
1.97E+06,0.00215,0.000557,0.000709,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
