X Lag Time,Record 1: BVs_3e10_300rpm_20-00min_ST_No1_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No1_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No1_230906 3,X Intensity,Record 1: BVs_3e10_300rpm_20-00min_ST_No1_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No1_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No1_230906 3
0.5,0.889,0.882,0.892,0.4,0,0,0
1,0.891,0.887,0.899,0.463,0,0,0
1.5,0.893,0.884,0.898,0.536,0,0,0
2,0.89,0.884,0.895,0.621,0,0,0
2.5,0.889,0.883,0.895,0.719,0,0,0
3,0.889,0.881,0.892,0.833,0,0,0
3.5,0.886,0.879,0.891,0.965,0,0,0
4,0.885,0.878,0.89,1.12,0,0,0
4.5,0.884,0.876,0.889,1.29,0,0,0
5.5,0.879,0.874,0.885,1.5,0,0,0
6.5,0.878,0.871,0.882,1.74,0,0,0
7.5,0.874,0.869,0.88,2.01,0,0,0
8.5,0.87,0.865,0.877,2.33,0,0,0
9.5,0.869,0.863,0.875,2.7,0,0,0
10.5,0.866,0.86,0.873,3.12,0,0,0
11.5,0.864,0.857,0.869,3.62,0,0,0
12.5,0.861,0.854,0.866,4.19,0,0,0
14.5,0.853,0.848,0.861,4.85,0,0,0
16.5,0.848,0.843,0.854,5.61,0,0,0
18.5,0.841,0.838,0.848,6.5,0,0,0
20.5,0.837,0.832,0.843,7.53,0,0,0
22.5,0.831,0.828,0.837,8.72,0,0,0
24.5,0.826,0.822,0.832,10.1,0,0,0
26.5,0.821,0.816,0.825,11.7,0,0,0
28.5,0.815,0.811,0.82,13.5,0,0,0
32.5,0.804,0.801,0.81,15.7,0,0,0
36.5,0.793,0.79,0.799,18.2,0,0,0
40.5,0.782,0.78,0.79,21,0,0,0
44.5,0.772,0.771,0.779,24.4,0,0,0
48.5,0.762,0.761,0.769,28.2,0,0,0
52.5,0.752,0.751,0.759,32.7,0,0.00205,0
56.5,0.743,0.742,0.75,37.8,0,0.00143,0
60.5,0.733,0.733,0.741,43.8,0,0.0615,0
68.5,0.714,0.715,0.722,50.7,0,0.289,0
