X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No3_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No3_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No3_230829 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No3_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No3_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No3_230829 3
0.5,0.905,0.902,0.909,0.4,0,0,0
1,0.912,0.91,0.914,0.463,0,0,0
1.5,0.906,0.904,0.91,0.536,0,0,0
2,0.904,0.901,0.909,0.621,0,0,0
2.5,0.903,0.898,0.907,0.719,0,0,0
3,0.899,0.897,0.903,0.833,0,0,0
3.5,0.897,0.896,0.904,0.965,0,0,0
4,0.895,0.893,0.9,1.12,0,0,0
4.5,0.894,0.891,0.897,1.29,0,0,0
5.5,0.886,0.886,0.892,1.5,0,0,0
6.5,0.884,0.881,0.886,1.74,0,0,0
7.5,0.878,0.875,0.883,2.01,0,0,0
8.5,0.873,0.871,0.878,2.33,0,0,0
9.5,0.871,0.865,0.872,2.7,0,0,0
10.5,0.865,0.862,0.869,3.12,0,0,0
11.5,0.859,0.858,0.866,3.62,0,0,0
12.5,0.855,0.853,0.86,4.19,0,0,0
14.5,0.846,0.843,0.851,4.85,0,0,0
16.5,0.838,0.834,0.841,5.61,0,0,0
18.5,0.828,0.826,0.834,6.5,0,0,0
20.5,0.82,0.818,0.824,7.53,0,0,0
22.5,0.812,0.808,0.815,8.72,0,0,0
24.5,0.802,0.8,0.808,10.1,0,0,0
26.5,0.795,0.791,0.799,11.7,0,0,0
28.5,0.785,0.783,0.791,13.5,0,0,0
32.5,0.77,0.768,0.775,15.7,0,0,0
36.5,0.754,0.752,0.759,18.2,0,0,0
40.5,0.738,0.737,0.744,21,0.0654,0,0
44.5,0.723,0.722,0.729,24.4,0.249,0,0
48.5,0.709,0.707,0.715,28.2,0.391,0,0
52.5,0.694,0.692,0.701,32.7,0.417,0,0
56.5,0.681,0.679,0.687,37.8,0.41,0,0
60.5,0.667,0.665,0.674,43.8,0.556,0.266,0.0296
68.5,0.641,0.639,0.648,50.7,1.05,0.973,0.6
76.5,0.616,0.614,0.623,58.8,2.03,2.17,1.84
84.5,0.591,0.591,0.599,68.1,3.48,3.77,3.66
92.5,0.568,0.568,0.577,78.8,5.28,5.6,5.84
101,0.546,0.547,0.556,91.3,7.2,7.44,8.03
109,0.525,0.526,0.534,106,8.97,9.05,9.92
117,0.505,0.506,0.515,122,10.3,10.2,11.2
125,0.486,0.488,0.496,142,11,10.8,11.7
141,0.451,0.452,0.461,164,11,10.7,11.3
157,0.418,0.42,0.429,190,10.3,10,10.2
173,0.388,0.389,0.399,220,8.93,8.82,8.49
189,0.36,0.362,0.371,255,7.15,7.23,6.45
205,0.334,0.337,0.346,295,5.2,5.47,4.36
221,0.311,0.313,0.324,342,3.33,3.74,2.52
237,0.289,0.292,0.302,396,1.78,2.23,1.13
253,0.27,0.273,0.283,459,0.702,1.08,0.302
285,0.235,0.237,0.248,531,0.143,0.354,0
317,0.204,0.207,0.218,615,0,0.0364,0
349,0.178,0.181,0.192,712,0,0,0
381,0.155,0.159,0.169,825,0,0,0
413,0.136,0.14,0.15,955,0,0,0
445,0.12,0.123,0.132,1.11E+03,0,0,0
477,0.105,0.108,0.118,1.28E+03,0,0,0
509,0.0923,0.0959,0.106,1.48E+03,0,0,0
573,0.0715,0.0746,0.0859,1.72E+03,0,0,0
637,0.0562,0.0584,0.0698,1.99E+03,0,0,0
701,0.0452,0.0461,0.0571,2.30E+03,0,0,0
765,0.0363,0.0366,0.0474,2.67E+03,0,0,0
829,0.029,0.0297,0.0401,3.09E+03,0,0,0.0715
893,0.0236,0.0239,0.0345,3.58E+03,0,0,0.239
957,0.0191,0.0201,0.0299,4.15E+03,0,0,0.476
1.02E+03,0.0157,0.0179,0.0259,4.80E+03,0,0,0.723
1.15E+03,0.0109,0.0135,0.0192,5.56E+03,0,0,0.908
1.28E+03,0.00889,0.00996,0.0143,6.44E+03,0,0,0
1.40E+03,0.00701,0.00795,0.0115,7.46E+03,0,0,0
1.53E+03,0.00394,0.00566,0.00964,8.63E+03,0,0,0
1.66E+03,0.00324,0.00467,0.00917,,,,
1.79E+03,0.00345,0.00359,0.00839,,,,
1.92E+03,0.00368,0.00264,0.00746,,,,
2.04E+03,0.00402,0.00164,0.00705,,,,
2.30E+03,0.00391,0.000756,0.00701,,,,
2.56E+03,0.00408,0.000591,0.00813,,,,
2.81E+03,0.00191,0.00192,0.00684,,,,
3.07E+03,0.000544,0.00248,0.00692,,,,
3.32E+03,0.000711,0.00177,0.00754,,,,
3.58E+03,0.00188,0.00181,0.00593,,,,
3.84E+03,0.00177,0.00335,0.00482,,,,
4.09E+03,0.00089,0.00295,0.00402,,,,
4.60E+03,0.00149,0.00109,0.00488,,,,
5.12E+03,0.00218,8.94E-05,0.00505,,,,
5.63E+03,0.00096,0.000916,0.00419,,,,
6.14E+03,0.0016,0.00262,0.00391,,,,
6.65E+03,0.00198,0.00211,0.00451,,,,
7.16E+03,0.00246,0.00165,0.0035,,,,
7.68E+03,0.00274,0.00236,0.00276,,,,
8.19E+03,0.0013,0.00126,0.00384,,,,
9.21E+03,0.000349,0.001,0.0048,,,,
1.02E+04,0.00142,0.00136,0.00576,,,,
1.13E+04,0.000359,0.00028,0.00368,,,,
1.23E+04,0.00155,0.00235,0.00569,,,,
1.33E+04,0.0013,0.00193,0.00448,,,,
1.43E+04,0.000622,0.00176,0.00216,,,,
1.54E+04,0.00122,0.000887,0.00303,,,,
1.64E+04,0.000186,0.00246,0.0043,,,,
1.84E+04,0.00055,0.00106,0.00622,,,,
