X Lag Time,Record 1: EVs_3e10_BSA_010mg_300rpm_40-00min_ST_No1_230831 1,Record 2: EVs_3e10_BSA_010mg_300rpm_40-00min_ST_No1_230831 2,Record 3: EVs_3e10_BSA_010mg_300rpm_40-00min_ST_No1_230831 3,X Intensity,Record 1: EVs_3e10_BSA_010mg_300rpm_40-00min_ST_No1_230831 1,Record 2: EVs_3e10_BSA_010mg_300rpm_40-00min_ST_No1_230831 2,Record 3: EVs_3e10_BSA_010mg_300rpm_40-00min_ST_No1_230831 3
0.5,0.915,0.905,0.909,0.4,0,0,0
1,0.919,0.911,0.916,0.463,0,0,0
1.5,0.916,0.91,0.911,0.536,0,0,0
2,0.913,0.904,0.909,0.621,0,0,0
2.5,0.91,0.901,0.907,0.719,0,0,0
3,0.906,0.902,0.906,0.833,0,0,0
3.5,0.904,0.898,0.903,0.965,0,0,0
4,0.902,0.895,0.899,1.12,0,0,0
4.5,0.898,0.894,0.898,1.29,0,0,0
5.5,0.894,0.888,0.894,1.5,0,0,0
6.5,0.887,0.882,0.887,1.74,0,0,0
7.5,0.883,0.877,0.883,2.01,0,0,0
8.5,0.877,0.874,0.877,2.33,0,0,0
9.5,0.874,0.868,0.871,2.7,0,0,0
10.5,0.87,0.862,0.867,3.12,0,0,0
11.5,0.865,0.858,0.863,3.62,0,0,0
12.5,0.859,0.854,0.859,4.19,0,0,0
14.5,0.85,0.846,0.85,4.85,0,0,0
16.5,0.842,0.835,0.84,5.61,0,0,0
18.5,0.834,0.828,0.831,6.5,0,0,0
20.5,0.824,0.819,0.823,7.53,0,0,0
22.5,0.817,0.81,0.815,8.72,0,0.936,0.697
24.5,0.807,0.803,0.809,10.1,0,1.71,1.67
26.5,0.801,0.796,0.801,11.7,0,1.58,1.74
28.5,0.793,0.789,0.793,13.5,0,0.767,0.878
32.5,0.781,0.775,0.779,15.7,0,0.0769,0.049
36.5,0.767,0.761,0.765,18.2,0,0,0
40.5,0.755,0.75,0.752,21,0,0,0
44.5,0.742,0.738,0.741,24.4,0,0,0
48.5,0.732,0.726,0.729,28.2,0.0894,0,0
52.5,0.721,0.714,0.719,32.7,0.372,0.208,0
56.5,0.71,0.705,0.709,37.8,0.722,0.642,0
60.5,0.699,0.695,0.699,43.8,0.965,1.03,0.361
68.5,0.68,0.675,0.678,50.7,1.01,1.12,0.962
76.5,0.662,0.657,0.66,58.8,0.898,0.872,1.52
84.5,0.643,0.639,0.642,68.1,0.789,0.478,1.84
92.5,0.627,0.623,0.625,78.8,0.892,0.262,1.97
101,0.611,0.607,0.61,91.3,1.4,0.563,2.08
109,0.596,0.592,0.594,106,2.4,1.6,2.44
117,0.581,0.577,0.579,122,3.88,3.39,3.23
125,0.567,0.563,0.565,142,5.69,5.73,4.5
141,0.54,0.536,0.538,164,7.59,8.24,6.14
157,0.515,0.511,0.513,190,9.29,10.5,7.89
173,0.491,0.487,0.489,220,10.5,11.9,9.41
189,0.469,0.465,0.467,255,11.1,12.3,10.4
205,0.449,0.444,0.446,295,10.8,11.6,10.6
221,0.428,0.425,0.426,342,9.8,9.78,9.86
237,0.409,0.406,0.408,396,8.16,7.28,8.37
253,0.392,0.389,0.39,459,6.16,4.58,6.34
285,0.359,0.356,0.358,531,4.1,2.23,4.13
317,0.33,0.328,0.329,615,2.27,0.647,2.16
349,0.303,0.301,0.303,712,0.935,0,0.753
381,0.279,0.277,0.279,825,0.203,0,0.0765
413,0.258,0.255,0.257,955,0,0,0
445,0.238,0.236,0.238,1.11E+03,0,0,0
477,0.22,0.218,0.22,1.28E+03,0,0,0
509,0.205,0.202,0.204,1.48E+03,0,0,0
573,0.176,0.173,0.176,1.72E+03,0,0,0
637,0.152,0.149,0.152,1.99E+03,0,0,0
701,0.13,0.129,0.133,2.30E+03,0,0,0
765,0.113,0.112,0.115,2.67E+03,0,0,0
829,0.0982,0.0978,0.1,3.09E+03,0,0,0
893,0.0862,0.0852,0.0877,3.58E+03,0,0,0
957,0.076,0.0741,0.0772,4.15E+03,0,0,0
1.02E+03,0.0672,0.0647,0.0682,4.80E+03,0,0,0
1.15E+03,0.0526,0.0488,0.0529,5.56E+03,0,0,0
1.28E+03,0.0416,0.0385,0.0417,6.44E+03,0,0,0
1.40E+03,0.0326,0.0307,0.033,7.46E+03,0,0,0
1.53E+03,0.0265,0.0254,0.0265,8.63E+03,0,0,0
1.66E+03,0.0222,0.0213,0.0208,,,,
1.79E+03,0.0195,0.0177,0.0168,,,,
1.92E+03,0.0168,0.0146,0.0143,,,,
2.04E+03,0.0138,0.0128,0.0117,,,,
2.30E+03,0.00814,0.0102,0.00757,,,,
2.56E+03,0.00495,0.00911,0.0053,,,,
2.81E+03,0.00473,0.00761,0.00411,,,,
3.07E+03,0.00498,0.00718,0.00451,,,,
3.32E+03,0.00472,0.00592,0.00584,,,,
3.58E+03,0.00468,0.00599,0.0061,,,,
3.84E+03,0.00459,0.00552,0.00687,,,,
4.09E+03,0.00472,0.0057,0.00547,,,,
4.60E+03,0.00476,0.00555,0.00513,,,,
5.12E+03,0.00434,0.00634,0.00512,,,,
5.63E+03,0.0039,0.00795,0.00695,,,,
6.14E+03,0.00637,0.00636,0.00801,,,,
6.65E+03,0.00803,0.00465,0.0063,,,,
7.16E+03,0.00659,0.0076,0.00468,,,,
7.68E+03,0.00264,0.00886,0.00391,,,,
8.19E+03,0.00357,0.00695,0.0037,,,,
9.21E+03,0.00458,0.00617,0.00262,,,,
1.02E+04,0.00486,0.00543,0.00153,,,,
1.13E+04,0.00301,0.0031,0.00204,,,,
1.23E+04,0.00253,0.00209,0.00238,,,,
1.33E+04,0.00295,0.00209,0.00208,,,,
1.43E+04,0.00169,0.00469,0.00247,,,,
1.54E+04,0.00358,0.00366,0.00223,,,,
1.64E+04,0.00352,0.00338,0.00171,,,,
1.84E+04,0.00325,0.0051,0.00315,,,,
2.05E+04,0.00283,0.00239,0.00229,,,,
2.25E+04,0.0025,0.00327,0.00461,,,,
2.46E+04,0.00229,0.0052,0.00305,,,,
2.66E+04,0.00265,0.00598,0.00409,,,,
2.87E+04,0.00334,0.00372,0.00406,,,,
3.07E+04,0.00334,0.0025,0.00312,,,,
3.28E+04,0.00278,0.00455,0.00258,,,,
3.69E+04,0.0022,0.00289,0.0043,,,,
4.10E+04,0.00209,0.00324,0.00271,,,,
4.51E+04,0.00152,0.00183,0.00293,,,,
4.91E+04,0.00278,0.00167,0.00289,,,,
5.32E+04,0.00192,0.00113,0.00337,,,,
5.73E+04,0.00251,0.00198,0.000833,,,,
6.14E+04,0.00292,0.00202,0.00139,,,,
6.55E+04,0.00273,0.00196,0.00105,,,,
7.37E+04,0.00116,0.00303,0.00293,,,,
8.19E+04,0.00157,0.00239,0.00143,,,,
9.01E+04,0.00127,0.00265,0.000982,,,,
9.83E+04,0.00173,0.00177,0.00265,,,,
1.06E+05,0.00189,0.00187,0.00149,,,,
1.15E+05,0.0016,0.00191,0.00117,,,,
1.23E+05,0.00216,0.00133,0.00104,,,,
1.31E+05,0.00198,0.00198,0.000373,,,,
1.47E+05,0.00154,0.0025,0.00111,,,,
1.64E+05,0.00166,0.00213,0.00125,,,,
1.80E+05,0.00178,0.00184,0.00143,,,,
1.97E+05,0.00152,0.00104,0.000375,,,,
2.13E+05,0.000879,0.00143,0.000808,,,,
2.29E+05,0.00196,0.00128,0.000863,,,,
2.46E+05,0.00121,0.000801,0.000784,,,,
2.62E+05,0.00177,0.000581,0.000763,,,,
2.95E+05,0.00154,0.000634,0.000847,,,,
3.28E+05,0.00146,0.000373,0.000642,,,,
3.60E+05,0.000654,0.000293,0.000478,,,,
3.93E+05,0.00166,0.000608,0.000631,,,,
4.26E+05,0.000849,0.000175,0.000704,,,,
4.59E+05,0.00134,0.000706,7.96E-05,,,,
4.92E+05,0.000966,0.000625,0.00052,,,,
5.24E+05,0.00152,0.000801,0.000689,,,,
5.90E+05,0.00105,0.00064,0.0005,,,,
6.55E+05,0.000811,0.000558,0.00028,,,,
7.21E+05,0.000989,0.000863,0.000648,,,,
7.86E+05,0.000514,0.000454,0.000768,,,,
8.52E+05,0.000375,0.000846,0.000495,,,,
9.18E+05,0.000325,0.000627,0.000767,,,,
9.83E+05,0.0005,0.00139,0.000421,,,,
1.05E+06,0.00079,0.000887,0.000366,,,,
1.18E+06,0.000913,0.001,0.00112,,,,
1.31E+06,0.000879,0.000963,0.000682,,,,
1.44E+06,0.000974,0.000406,0.001,,,,
1.57E+06,0.000902,0.000624,0.00159,,,,
1.70E+06,0.00112,0.000307,0.00078,,,,
1.84E+06,0.000889,0.000515,0.00123,,,,
1.97E+06,0.0014,0.00042,0.000539,,,,
2.10E+06,0.000984,0.000386,0.00123,,,,
2.36E+06,0.00119,0.00138,0.000863,,,,
2.62E+06,0.000833,0.00133,0.00157,,,,
2.88E+06,0.0004,0.000989,0.00171,,,,
3.15E+06,0.000375,0.000985,0.00174,,,,
