X Lag Time,Record 1: BVs_3e10_000rpm_00-00min_NA_No2_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No2_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No2_230906 3,X Intensity,Record 1: BVs_3e10_000rpm_00-00min_NA_No2_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No2_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No2_230906 3
0.5,0.902,0.91,0.907,0.4,0,0,0
1,0.91,0.918,0.913,0.463,0,0,0
1.5,0.906,0.913,0.911,0.536,0,0,0
2,0.905,0.912,0.907,0.621,0,0,0
2.5,0.903,0.909,0.905,0.719,0,0,0
3,0.902,0.908,0.905,0.833,0,0,0
3.5,0.899,0.907,0.903,0.965,0,0,0
4,0.9,0.906,0.901,1.12,0,0,0
4.5,0.897,0.904,0.9,1.29,0,0,0
5.5,0.892,0.899,0.896,1.5,0,0,0
6.5,0.89,0.895,0.894,1.74,0,0,0
7.5,0.887,0.893,0.889,2.01,0,0,0
8.5,0.883,0.889,0.887,2.33,0,0,0
9.5,0.878,0.885,0.882,2.7,0,0,0
10.5,0.876,0.884,0.879,3.12,0,0,0
11.5,0.872,0.879,0.875,3.62,0,0,0
12.5,0.868,0.875,0.873,4.19,0,0,0
14.5,0.861,0.869,0.866,4.85,0,0,0
16.5,0.856,0.863,0.858,5.61,0,0,0
18.5,0.849,0.855,0.851,6.5,0,0,0
20.5,0.842,0.849,0.845,7.53,0,0,0
22.5,0.835,0.842,0.839,8.72,0,0,0
24.5,0.83,0.836,0.833,10.1,0,0,0
26.5,0.823,0.83,0.826,11.7,0,0,0
28.5,0.816,0.824,0.82,13.5,0,0,0
32.5,0.803,0.81,0.806,15.7,0,0,0
36.5,0.791,0.799,0.795,18.2,0,0,0
40.5,0.78,0.787,0.782,21,0,0,0
44.5,0.768,0.775,0.771,24.4,0,0,0
48.5,0.756,0.763,0.759,28.2,0,0,0
52.5,0.745,0.752,0.748,32.7,0,0,0
56.5,0.733,0.74,0.736,37.8,0,0,0.0142
60.5,0.723,0.729,0.725,43.8,0,0,0.0375
68.5,0.702,0.708,0.704,50.7,0,0,0.135
76.5,0.68,0.687,0.683,58.8,0.0869,0,0.464
84.5,0.66,0.668,0.662,68.1,0.869,0.111,1.2
92.5,0.641,0.648,0.643,78.8,2.41,1.29,2.47
101,0.622,0.629,0.625,91.3,4.48,3.61,4.23
109,0.604,0.611,0.606,106,6.71,6.64,6.32
117,0.586,0.594,0.589,122,8.74,9.71,8.47
125,0.569,0.577,0.572,142,10.3,12.2,10.3
141,0.538,0.544,0.54,164,11.1,13.5,11.6
157,0.507,0.514,0.509,190,11.3,13.6,12
173,0.479,0.485,0.481,220,10.7,12.3,11.5
189,0.452,0.458,0.454,255,9.45,10.1,10.1
205,0.428,0.433,0.429,295,7.83,7.28,8.11
221,0.404,0.409,0.406,342,6,4.49,5.78
237,0.382,0.387,0.384,396,4.18,2.16,3.52
253,0.362,0.367,0.364,459,2.57,0.637,1.67
285,0.324,0.329,0.327,531,1.31,0,0.483
317,0.291,0.295,0.294,615,0.488,0,0
349,0.261,0.265,0.265,712,0.0885,0,0
381,0.235,0.239,0.239,825,0,0,0
413,0.212,0.215,0.215,955,0,0,0
445,0.192,0.194,0.195,1.11E+03,0,0,0
477,0.174,0.176,0.177,1.28E+03,0,0,0
509,0.158,0.16,0.161,1.48E+03,0,0,0
573,0.13,0.132,0.134,1.72E+03,0,0,0
637,0.108,0.11,0.111,1.99E+03,0,0,0
701,0.0902,0.0918,0.0931,2.30E+03,0,0,0
765,0.0754,0.0768,0.0786,2.67E+03,0,0,0
829,0.0635,0.0647,0.0665,3.09E+03,0.0415,0.0127,0
893,0.0536,0.0547,0.0566,3.58E+03,0.142,0.156,0.0373
957,0.0457,0.0465,0.0486,4.15E+03,0.285,0.432,0.215
1.02E+03,0.0392,0.0401,0.0421,4.80E+03,0.436,0.77,0.51
1.15E+03,0.0284,0.0306,0.0322,5.56E+03,0.55,1.07,0.825
1.28E+03,0.0218,0.0243,0.0259,6.44E+03,0,0,0
1.40E+03,0.0171,0.0204,0.0215,7.46E+03,0,0,0
1.53E+03,0.0137,0.0162,0.0175,8.63E+03,0,0,0
1.66E+03,0.0104,0.0127,0.0147,,,,
1.79E+03,0.00703,0.0111,0.012,,,,
1.92E+03,0.00463,0.00922,0.0113,,,,
2.04E+03,0.004,0.00796,0.00953,,,,
2.30E+03,0.00491,0.00898,0.00875,,,,
2.56E+03,0.00603,0.0104,0.00956,,,,
2.81E+03,0.00436,0.0095,0.00924,,,,
3.07E+03,0.00336,0.00811,0.00784,,,,
3.32E+03,0.00363,0.0068,0.0081,,,,
3.58E+03,0.00277,0.00611,0.00772,,,,
3.84E+03,0.00216,0.00764,0.00776,,,,
4.09E+03,0.0018,0.00768,0.00668,,,,
4.60E+03,0.00206,0.00428,0.00581,,,,
5.12E+03,0.00265,0.00111,0.00613,,,,
5.63E+03,0.00363,0.00146,0.00486,,,,
6.14E+03,0.00235,0.0018,0.00703,,,,
6.65E+03,0.00045,0.00472,0.00749,,,,
7.16E+03,0.000676,0.00583,0.00766,,,,
7.68E+03,0.00157,0.00398,0.00625,,,,
8.19E+03,0.00193,0.00296,0.00446,,,,
9.21E+03,0.00116,0.00232,0.00448,,,,
1.02E+04,0.00204,0.00309,0.00296,,,,
1.13E+04,0.000393,0.00407,0.00323,,,,
1.23E+04,0.00061,0.00291,0.00285,,,,
1.33E+04,0.000971,0.0039,0.0015,,,,
1.43E+04,0.00046,0.00289,0.00325,,,,
1.54E+04,0.000699,0.00249,0.00456,,,,
1.64E+04,0.000869,0.00342,0.0044,,,,
1.84E+04,0.000152,0.00299,0.00086,,,,
2.05E+04,0.00163,0.00275,0.00228,,,,
2.25E+04,0.00235,0.00265,0.00309,,,,
2.46E+04,0.000524,0.00348,0.00462,,,,
2.66E+04,0.00253,0.00253,0.00386,,,,
2.87E+04,0.00146,0.00269,0.00405,,,,
3.07E+04,0.00172,0.00501,0.00227,,,,
3.28E+04,0.000973,0.00192,0.00238,,,,
3.69E+04,0.00105,0.00189,0.00334,,,,
4.10E+04,0.00153,0.00282,0.00165,,,,
4.51E+04,0.000919,0.00243,0.00275,,,,
4.91E+04,0.000913,0.00246,0.00311,,,,
5.32E+04,0.00274,0.00292,0.00248,,,,
5.73E+04,0.00195,0.00246,0.00293,,,,
6.14E+04,0.00182,0.00287,0.00245,,,,
6.55E+04,0.00187,0.0017,0.00235,,,,
7.37E+04,0.00158,0.00276,0.0025,,,,
8.19E+04,0.00179,0.00189,0.00306,,,,
9.01E+04,0.000644,0.00323,0.00258,,,,
9.83E+04,0.000288,0.0031,0.00244,,,,
1.06E+05,0.000408,0.00139,0.00219,,,,
1.15E+05,0.000954,0.00125,0.0028,,,,
1.23E+05,0.00176,0.00203,0.0034,,,,
1.31E+05,0.00104,0.00233,0.00385,,,,
1.47E+05,0.000414,0.00162,0.00335,,,,
1.64E+05,0.00027,0.0025,0.00363,,,,
1.80E+05,0.000204,0.00216,0.00308,,,,
1.97E+05,0.00116,0.00176,0.00242,,,,
2.13E+05,0.000554,0.00204,0.0033,,,,
2.29E+05,0.000734,0.00183,0.00302,,,,
2.46E+05,0.00132,0.00221,0.00175,,,,
2.62E+05,0.00075,0.00158,0.00253,,,,
2.95E+05,0.00065,0.000932,0.00219,,,,
3.28E+05,0.000484,0.00122,0.00187,,,,
3.60E+05,0.000279,0.00129,0.00135,,,,
3.93E+05,0.00086,0.000776,0.00208,,,,
4.26E+05,0.000361,0.0013,0.00187,,,,
4.59E+05,0.000483,0.00173,0.00175,,,,
4.92E+05,0.000341,0.00103,0.000845,,,,
5.24E+05,0.000349,0.00125,0.00143,,,,
5.90E+05,0.000495,0.00155,0.00113,,,,
6.55E+05,0.000318,0.00163,0.00194,,,,
7.21E+05,0.000536,0.000944,0.00206,,,,
7.86E+05,0.000354,0.00163,0.00186,,,,
8.52E+05,0.000454,0.000897,0.0012,,,,
9.18E+05,0.000675,0.00105,0.00151,,,,
9.83E+05,0.000524,0.00135,0.00183,,,,
1.05E+06,0.00148,0.00157,0.000724,,,,
1.18E+06,0.00142,0.0011,0.000755,,,,
1.31E+06,0.0013,0.000865,0.00103,,,,
1.44E+06,0.00126,0.00117,0.000801,,,,
1.57E+06,0.00123,0.00165,0.000817,,,,
1.70E+06,0.00187,0.00133,0.000955,,,,
1.84E+06,0.00168,0.000738,0.000307,,,,
1.97E+06,0.00171,0.000776,0.00114,,,,
2.10E+06,0.00193,0.00147,0.00101,,,,
2.36E+06,0.00198,0.00216,0.00136,,,,
2.62E+06,0.00268,0.00205,0.00127,,,,
2.88E+06,0.00231,0.00141,0.00138,,,,
3.15E+06,0.00227,0.000614,0.000824,,,,
3.41E+06,0.00257,0.00101,0.000863,,,,
3.67E+06,0.00231,0.000896,0.00121,,,,
3.93E+06,0.00268,0.00141,0.00133,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
