X Lag Time,Record 1: EVs_3e10_300rpm_00-30min_ST_No1_230911 1,Record 2: EVs_3e10_300rpm_00-30min_ST_No1_230911 2,Record 3: EVs_3e10_300rpm_00-30min_ST_No1_230911 3,X Intensity,Record 1: EVs_3e10_300rpm_00-30min_ST_No1_230911 1,Record 2: EVs_3e10_300rpm_00-30min_ST_No1_230911 2,Record 3: EVs_3e10_300rpm_00-30min_ST_No1_230911 3
0.5,0.865,0.863,0.869,0.4,0,0,0
1,0.871,0.868,0.874,0.463,0,0,0
1.5,0.868,0.865,0.87,0.536,0,0,0
2,0.864,0.861,0.869,0.621,0,0,0
2.5,0.865,0.862,0.867,0.719,0,0,0
3,0.862,0.859,0.865,0.833,0,0,0
3.5,0.859,0.857,0.863,0.965,0,0,0
4,0.857,0.855,0.862,1.12,0,0,0
4.5,0.856,0.853,0.859,1.29,0,0,0
5.5,0.851,0.848,0.854,1.5,0,0,0
6.5,0.847,0.845,0.85,1.74,0,0,0
7.5,0.842,0.841,0.846,2.01,0,0,0
8.5,0.839,0.837,0.842,2.33,0,0,0
9.5,0.835,0.833,0.838,2.7,0,0,0
10.5,0.831,0.829,0.833,3.12,0,0,0
11.5,0.827,0.826,0.828,3.62,0,0,0
12.5,0.822,0.821,0.825,4.19,0,0,0
14.5,0.815,0.813,0.816,4.85,0,0,0
16.5,0.807,0.805,0.809,5.61,0,0,0
18.5,0.8,0.797,0.801,6.5,0,0,0
20.5,0.793,0.79,0.794,7.53,0,0,0
22.5,0.786,0.783,0.787,8.72,0,0,0
24.5,0.777,0.776,0.778,10.1,0,0,0
26.5,0.771,0.768,0.771,11.7,0,0,0
28.5,0.764,0.762,0.764,13.5,0,0,0
32.5,0.75,0.747,0.749,15.7,0,0,0
36.5,0.737,0.734,0.735,18.2,0,0,0
40.5,0.723,0.72,0.722,21,0,0.0867,0
44.5,0.71,0.707,0.708,24.4,0,0.195,0
48.5,0.698,0.695,0.695,28.2,0,0.255,0
52.5,0.685,0.682,0.683,32.7,0,0.306,0.113
56.5,0.673,0.67,0.67,37.8,0.194,0.46,0.4
60.5,0.662,0.658,0.658,43.8,0.702,0.832,0.847
68.5,0.639,0.635,0.634,50.7,1.5,1.49,1.45
76.5,0.617,0.614,0.611,58.8,2.51,2.42,2.25
84.5,0.596,0.593,0.59,68.1,3.69,3.56,3.28
92.5,0.576,0.572,0.569,78.8,4.96,4.79,4.54
101,0.557,0.554,0.549,91.3,6.27,6,5.99
109,0.538,0.535,0.53,106,7.54,7.08,7.48
117,0.521,0.518,0.512,122,8.65,7.91,8.84
125,0.504,0.501,0.494,142,9.48,8.45,9.85
141,0.472,0.469,0.461,164,9.89,8.65,10.3
157,0.442,0.439,0.431,190,9.79,8.5,10.2
173,0.415,0.412,0.402,220,9.13,8.04,9.45
189,0.39,0.387,0.377,255,7.96,7.28,8.13
205,0.366,0.364,0.353,295,6.39,6.31,6.42
221,0.344,0.342,0.33,342,4.63,5.19,4.57
237,0.324,0.322,0.31,396,2.91,4.01,2.83
253,0.305,0.304,0.291,459,1.47,2.87,1.41
285,0.272,0.271,0.257,531,0.492,1.85,0.48
317,0.243,0.242,0.228,615,0.042,1.02,0.053
349,0.218,0.217,0.202,712,0,0.439,0
381,0.196,0.195,0.18,825,0,0.112,0
413,0.177,0.176,0.161,955,0,0,0
445,0.16,0.159,0.144,1.11E+03,0,0,0
477,0.145,0.144,0.129,1.28E+03,0,0,0
509,0.132,0.131,0.117,1.48E+03,0,0,0
573,0.109,0.109,0.0942,1.72E+03,0,0,0
637,0.0921,0.0916,0.0761,1.99E+03,0,0,0
701,0.0778,0.0775,0.0622,2.30E+03,0,0,0
765,0.0666,0.0659,0.0514,2.67E+03,0,0,0
829,0.0573,0.0563,0.0425,3.09E+03,0,0.0333,0
893,0.0494,0.0488,0.0351,3.58E+03,0,0.151,0.0493
957,0.0426,0.0425,0.0291,4.15E+03,0.169,0.35,0.171
