X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230829 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230829 3
0.5,0.87,0.875,0.883,0.4,0,0,0
1,0.876,0.882,0.888,0.463,0,0,0
1.5,0.875,0.88,0.886,0.536,0,0,0
2,0.872,0.878,0.884,0.621,0,0,0
2.5,0.872,0.876,0.883,0.719,0,0,0
3,0.872,0.875,0.883,0.833,0,0,0
3.5,0.868,0.873,0.881,0.965,0,0,0
4,0.867,0.872,0.88,1.12,0,0,0
4.5,0.866,0.871,0.879,1.29,0,0,0
5.5,0.863,0.868,0.876,1.5,0,0,0
6.5,0.861,0.866,0.873,1.74,0,0,0
7.5,0.858,0.863,0.87,2.01,0,0,0
8.5,0.855,0.86,0.868,2.33,0,0,0
9.5,0.853,0.858,0.865,2.7,0,0,0
10.5,0.85,0.855,0.863,3.12,0,0,0
11.5,0.848,0.852,0.86,3.62,0,0,0
12.5,0.845,0.849,0.857,4.19,0,0,0
14.5,0.84,0.844,0.852,4.85,0,0,0
16.5,0.835,0.84,0.847,5.61,0,0,0
18.5,0.83,0.835,0.843,6.5,0,0,0
20.5,0.825,0.83,0.837,7.53,0,0,0
22.5,0.821,0.825,0.833,8.72,0,0,0
24.5,0.815,0.82,0.828,10.1,0,0,0
26.5,0.81,0.815,0.823,11.7,0,0,0
28.5,0.806,0.811,0.819,13.5,0,0,0
32.5,0.797,0.801,0.809,15.7,0,0,0
36.5,0.787,0.792,0.8,18.2,0,0,0
40.5,0.779,0.783,0.792,21,0,0,0
44.5,0.77,0.775,0.783,24.4,0,0,0
48.5,0.762,0.766,0.774,28.2,0,0,0
52.5,0.753,0.758,0.766,32.7,0.129,0,0
56.5,0.745,0.75,0.758,37.8,0.333,0,0
60.5,0.737,0.742,0.75,43.8,0.492,0,0
68.5,0.721,0.726,0.734,50.7,0.509,0,0
76.5,0.705,0.711,0.719,58.8,0.378,0,0
84.5,0.691,0.696,0.704,68.1,0.195,0,0
92.5,0.676,0.682,0.69,78.8,0.128,0,0
101,0.662,0.667,0.675,91.3,0.364,0,0
109,0.648,0.654,0.662,106,1.04,0.0267,0
117,0.635,0.641,0.649,122,2.22,1.14,0.766
125,0.622,0.628,0.636,142,3.83,3.51,3.26
141,0.597,0.603,0.611,164,5.72,6.71,7.16
157,0.574,0.579,0.587,190,7.66,10,11.5
173,0.551,0.557,0.565,220,9.37,12.7,14.9
189,0.53,0.535,0.543,255,10.6,14.1,16.6
205,0.509,0.515,0.523,295,11.2,14.1,15.9
221,0.49,0.495,0.504,342,11.1,12.6,13.2
237,0.471,0.477,0.486,396,10.2,10.1,9.13
253,0.454,0.459,0.468,459,8.66,7.03,4.87
285,0.42,0.426,0.435,531,6.75,4.08,1.59
317,0.39,0.396,0.405,615,4.7,1.77,0.0149
349,0.362,0.368,0.378,712,2.8,0.421,0
381,0.336,0.343,0.352,825,1.3,0,0
413,0.313,0.319,0.329,955,0.365,0,0
445,0.292,0.297,0.307,1.11E+03,0,0,0
477,0.272,0.277,0.287,1.28E+03,0,0,0
509,0.253,0.259,0.269,1.48E+03,0,0,0
573,0.22,0.225,0.236,1.72E+03,0,0,0
637,0.192,0.197,0.208,1.99E+03,0,0,0
701,0.168,0.172,0.183,2.30E+03,0,0,0
765,0.147,0.151,0.162,2.67E+03,0,0,0
829,0.129,0.132,0.143,3.09E+03,0,0,0
893,0.113,0.117,0.127,3.58E+03,0,0,0
957,0.0989,0.103,0.114,4.15E+03,0,0.183,0
1.02E+03,0.0879,0.0915,0.103,4.80E+03,0,0.543,0.158
1.15E+03,0.069,0.072,0.0844,5.56E+03,0,0.959,0.966
1.28E+03,0.0546,0.0576,0.0698,6.44E+03,0,0,0
1.40E+03,0.0443,0.0478,0.0578,7.46E+03,0,0,0
1.53E+03,0.036,0.0397,0.0478,8.63E+03,0,0,0
1.66E+03,0.0291,0.0337,0.0406,,,,
1.79E+03,0.0234,0.029,0.0349,,,,
1.92E+03,0.0195,0.0246,0.0304,,,,
2.04E+03,0.0157,0.0208,0.0265,,,,
2.30E+03,0.00901,0.0153,0.0231,,,,
2.56E+03,0.00616,0.0129,0.0209,,,,
2.81E+03,0.00542,0.0125,0.0184,,,,
3.07E+03,0.00488,0.0119,0.0175,,,,
3.32E+03,0.00253,0.0102,0.0169,,,,
3.58E+03,0.00178,0.00976,0.017,,,,
3.84E+03,0.00292,0.00957,0.0179,,,,
4.09E+03,0.00338,0.00859,0.0173,,,,
4.60E+03,0.00318,0.00752,0.0172,,,,
5.12E+03,0.00357,0.00724,0.0143,,,,
5.63E+03,0.00349,0.00619,0.0144,,,,
6.14E+03,0.00433,0.00606,0.014,,,,
6.65E+03,0.00258,0.00617,0.0126,,,,
