X Lag Time,Record 1: BVs_3e10_000rpm_00-00min_NA_No1_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No1_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No1_230906 3,X Intensity,Record 1: BVs_3e10_000rpm_00-00min_NA_No1_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No1_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No1_230906 3
0.5,0.906,0.894,0.907,0.4,0,0,0
1,0.913,0.9,0.914,0.463,0,0,0
1.5,0.907,0.897,0.911,0.536,0,0,0
2,0.906,0.896,0.911,0.621,0,0,0
2.5,0.906,0.894,0.908,0.719,0,0,0
3,0.903,0.894,0.907,0.833,0,0,0
3.5,0.903,0.89,0.905,0.965,0,0,0
4,0.9,0.89,0.903,1.12,0,0,0
4.5,0.898,0.888,0.902,1.29,0,0,0
5.5,0.896,0.884,0.898,1.5,0,0,0
6.5,0.891,0.88,0.894,1.74,0,0,0
7.5,0.89,0.877,0.891,2.01,0,0,0
8.5,0.883,0.874,0.889,2.33,0,0,0
9.5,0.882,0.869,0.885,2.7,0,0,0
10.5,0.878,0.867,0.88,3.12,0,0,0
11.5,0.875,0.863,0.877,3.62,0,0,0
12.5,0.871,0.86,0.873,4.19,0,0,0
14.5,0.864,0.852,0.867,4.85,0,0,0
16.5,0.858,0.847,0.86,5.61,0,0,0
18.5,0.852,0.84,0.853,6.5,0,0,0
20.5,0.846,0.833,0.846,7.53,0,0,0
22.5,0.838,0.826,0.839,8.72,0,0,0
24.5,0.832,0.819,0.833,10.1,0,0,0
26.5,0.826,0.814,0.827,11.7,0,0,0
28.5,0.82,0.807,0.82,13.5,0,0,0
32.5,0.808,0.794,0.808,15.7,0,0,0
36.5,0.796,0.782,0.794,18.2,0,0,0
40.5,0.783,0.771,0.782,21,0,0,0
44.5,0.772,0.76,0.77,24.4,0,0,0
48.5,0.761,0.747,0.759,28.2,0,0,0
52.5,0.749,0.735,0.747,32.7,0,0,0
56.5,0.737,0.724,0.735,37.8,0,0,0
60.5,0.727,0.714,0.724,43.8,0,0,0
68.5,0.706,0.692,0.702,50.7,0,0,0
76.5,0.685,0.671,0.681,58.8,0,0,0
84.5,0.665,0.652,0.66,68.1,0.0706,0.625,0
92.5,0.646,0.632,0.641,78.8,1.52,2.19,0.931
101,0.628,0.613,0.622,91.3,4.22,4.5,3.3
109,0.609,0.595,0.604,106,7.44,7.1,6.68
117,0.592,0.578,0.585,122,10.4,9.51,10.2
125,0.575,0.561,0.568,142,12.4,11.3,13
141,0.543,0.529,0.536,164,13.1,12.3,14.5
157,0.513,0.499,0.505,190,12.6,12.2,14.3
173,0.484,0.471,0.476,220,11,11.3,12.7
189,0.458,0.445,0.449,255,8.77,9.58,9.99
205,0.433,0.42,0.424,295,6.26,7.43,6.82
221,0.41,0.397,0.4,342,3.91,5.15,3.85
237,0.388,0.375,0.378,396,2.02,3.06,1.6
253,0.367,0.355,0.357,459,0.753,1.43,0.345
285,0.33,0.317,0.318,531,0.137,0.408,0
317,0.296,0.284,0.285,615,0,0,0
349,0.267,0.255,0.255,712,0,0,0
381,0.241,0.229,0.228,825,0,0,0
413,0.218,0.207,0.205,955,0,0,0
445,0.198,0.187,0.185,1.11E+03,0,0,0
477,0.179,0.169,0.166,1.28E+03,0,0,0
509,0.164,0.154,0.15,1.48E+03,0,0,0
573,0.137,0.127,0.122,1.72E+03,0,0,0
