X Lag Time,Record 1: BVs_3e10_300rpm_20-00min_ST_No3_230908 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No3_230908 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No3_230908 3,X Intensity,Record 1: BVs_3e10_300rpm_20-00min_ST_No3_230908 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No3_230908 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No3_230908 3
0.5,0.89,0.881,0.883,0.4,0,0,0
1,0.895,0.888,0.889,0.463,0,0,0
1.5,0.894,0.886,0.885,0.536,0,0,0
2,0.892,0.882,0.882,0.621,0,0,0
2.5,0.89,0.88,0.882,0.719,0,0,0
3,0.887,0.878,0.88,0.833,0,0,0
3.5,0.886,0.877,0.879,0.965,0,0,0
4,0.883,0.875,0.877,1.12,0,0,0
4.5,0.881,0.872,0.874,1.29,0,0,0
5.5,0.878,0.869,0.871,1.5,0,0,0
6.5,0.872,0.865,0.867,1.74,0,0,0
7.5,0.869,0.861,0.862,2.01,0,0,0
8.5,0.865,0.856,0.858,2.33,0,0,0
9.5,0.861,0.853,0.855,2.7,0,0,0
10.5,0.857,0.849,0.85,3.12,0,0,0
11.5,0.852,0.845,0.846,3.62,0,0,0
12.5,0.849,0.84,0.842,4.19,0,0,0
14.5,0.841,0.833,0.835,4.85,0,0,0
16.5,0.833,0.825,0.827,5.61,0,0,0
18.5,0.825,0.818,0.819,6.5,0,0,0
20.5,0.817,0.809,0.811,7.53,0,0,0
22.5,0.81,0.801,0.804,8.72,0,0,0
24.5,0.802,0.795,0.797,10.1,0,0,0
26.5,0.795,0.787,0.79,11.7,0,0,0
28.5,0.788,0.78,0.783,13.5,0,0,0
32.5,0.773,0.766,0.768,15.7,0,0,0
36.5,0.759,0.751,0.755,18.2,0,0,0
40.5,0.745,0.738,0.741,21,0,0,0
44.5,0.732,0.724,0.727,24.4,0,0,0
48.5,0.718,0.711,0.714,28.2,0,0,0
52.5,0.705,0.698,0.701,32.7,0,0,0
56.5,0.693,0.686,0.689,37.8,0,0,0
60.5,0.68,0.673,0.677,43.8,0,0,0
68.5,0.656,0.649,0.653,50.7,0,0.335,0
76.5,0.633,0.626,0.63,58.8,0.919,1.55,0.318
84.5,0.611,0.604,0.608,68.1,2.89,3.49,2.23
92.5,0.59,0.583,0.587,78.8,5.49,5.71,5.3
101,0.569,0.563,0.567,91.3,8.13,7.77,8.59
109,0.549,0.543,0.547,106,10.3,9.32,11.2
117,0.53,0.525,0.529,122,11.6,10.2,12.6
125,0.512,0.507,0.511,142,11.9,10.4,12.7
141,0.478,0.473,0.477,164,11.4,9.97,11.5
157,0.446,0.441,0.446,190,10,9.05,9.51
173,0.417,0.413,0.417,220,8.23,7.83,7.1
189,0.39,0.386,0.39,255,6.21,6.44,4.71
205,0.364,0.361,0.365,295,4.24,5.05,2.67
221,0.341,0.338,0.342,342,2.54,3.74,1.19
237,0.319,0.316,0.321,396,1.26,2.6,0.33
253,0.299,0.297,0.301,459,0.447,1.68,0.00314
285,0.264,0.261,0.266,531,0.0728,0.972,0
317,0.233,0.231,0.236,615,0,0.485,0
349,0.206,0.204,0.209,712,0,0.189,0
381,0.183,0.182,0.186,825,0,0.0438,0.045
413,0.163,0.162,0.166,955,0,0,0.155
445,0.145,0.145,0.149,1.11E+03,0,0,0.321
477,0.13,0.13,0.134,1.28E+03,0,0.0254,0.52
509,0.117,0.117,0.121,1.48E+03,0,0.0723,0.723
573,0.0943,0.0948,0.0996,1.72E+03,0,0.135,0.903
637,0.0773,0.0774,0.0825,1.99E+03,0.0234,0.206,1.04
701,0.0643,0.0634,0.0693,2.30E+03,0.105,0.278,1.12
765,0.0538,0.0529,0.0594,2.67E+03,0.251,0.343,1.13
829,0.0451,0.0445,0.0507,3.09E+03,0.445,0.396,1.08
893,0.0378,0.0372,0.0431,3.58E+03,0.656,0.431,0.978
957,0.0324,0.031,0.0372,4.15E+03,0.847,0.443,0.839
1.02E+03,0.0286,0.0259,0.0326,4.80E+03,0.98,0.429,0.678
