X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230829 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230829 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230829 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230829 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230829 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230829 3
0.5,0.884,0.885,0.88,0.4,0,0,0
1,0.89,0.892,0.885,0.463,0,0,0
1.5,0.889,0.888,0.884,0.536,0,0,0
2,0.888,0.888,0.881,0.621,0,0,0
2.5,0.887,0.886,0.88,0.719,0,0,0
3,0.885,0.884,0.879,0.833,0,0,0
3.5,0.884,0.882,0.877,0.965,0,0,0
4,0.883,0.881,0.876,1.12,0,0,0
4.5,0.881,0.881,0.874,1.29,0,0,0
5.5,0.879,0.878,0.873,1.5,0,0,0
6.5,0.876,0.875,0.869,1.74,0,0,0
7.5,0.872,0.873,0.867,2.01,0,0,0
8.5,0.87,0.87,0.865,2.33,0,0,0
9.5,0.868,0.867,0.862,2.7,0,0,0
10.5,0.865,0.864,0.859,3.12,0,0,0
11.5,0.863,0.862,0.856,3.62,0,0,0
12.5,0.86,0.859,0.853,4.19,0,0,0
14.5,0.855,0.855,0.849,4.85,0,0,0
16.5,0.85,0.849,0.845,5.61,0,0,0
18.5,0.845,0.844,0.838,6.5,0,0,0
20.5,0.84,0.839,0.833,7.53,0,0,0
22.5,0.836,0.834,0.829,8.72,0,0,0
24.5,0.831,0.829,0.825,10.1,0,0,0
26.5,0.826,0.824,0.82,11.7,0,0,0
28.5,0.821,0.82,0.815,13.5,0,0,0
32.5,0.812,0.81,0.807,15.7,0,0,0
36.5,0.803,0.802,0.797,18.2,0,0,0
40.5,0.794,0.792,0.789,21,0,0,0
44.5,0.785,0.784,0.781,24.4,0,0,0
48.5,0.777,0.776,0.772,28.2,0.116,0,0
52.5,0.769,0.767,0.765,32.7,0.351,0,0
56.5,0.76,0.759,0.756,37.8,0.593,0,0
60.5,0.752,0.75,0.748,43.8,0.72,0,0.0276
68.5,0.737,0.735,0.732,50.7,0.666,0,0.206
76.5,0.721,0.72,0.717,58.8,0.461,0,0.53
84.5,0.706,0.705,0.702,68.1,0.221,0,0.929
92.5,0.693,0.69,0.688,78.8,0.112,0,1.33
101,0.678,0.676,0.675,91.3,0.303,0,1.72
109,0.665,0.662,0.661,106,0.91,0.395,2.13
117,0.651,0.649,0.648,122,1.97,1.72,2.65
125,0.638,0.636,0.635,142,3.42,3.93,3.38
141,0.614,0.611,0.611,164,5.13,6.66,4.36
157,0.59,0.587,0.588,190,6.88,9.36,5.57
173,0.567,0.564,0.566,220,8.46,11.5,6.91
189,0.546,0.542,0.545,255,9.67,12.7,8.21
205,0.526,0.522,0.525,295,10.4,12.8,9.27
221,0.507,0.502,0.506,342,10.4,11.7,9.89
237,0.488,0.484,0.487,396,9.86,9.86,9.92
253,0.471,0.466,0.47,459,8.77,7.49,9.3
285,0.438,0.433,0.437,531,7.28,5.02,8.1
317,0.408,0.402,0.407,615,5.57,2.84,6.45
349,0.38,0.374,0.379,712,3.86,1.23,4.59
381,0.354,0.348,0.354,825,2.33,0.306,2.8
413,0.33,0.325,0.331,955,1.15,0,1.34
445,0.308,0.303,0.309,1.11E+03,0.385,0,0.391
477,0.288,0.282,0.289,1.28E+03,0.0431,0,0
509,0.27,0.264,0.271,1.48E+03,0,0,0
573,0.237,0.23,0.238,1.72E+03,0,0,0
637,0.208,0.201,0.21,1.99E+03,0,0,0
701,0.183,0.176,0.186,2.30E+03,0,0,0
765,0.162,0.155,0.165,2.67E+03,0,0,0
829,0.144,0.136,0.147,3.09E+03,0,0.0513,0
893,0.127,0.12,0.132,3.58E+03,0,0.214,0
957,0.111,0.106,0.117,4.15E+03,0,0.471,0
1.02E+03,0.0992,0.0949,0.105,4.80E+03,0,0.759,0
1.15E+03,0.0791,0.0762,0.0847,5.56E+03,0,0.991,0
1.28E+03,0.0645,0.0621,0.0682,6.44E+03,0,0,0
1.40E+03,0.052,0.0504,0.0548,7.46E+03,0,0,0
1.53E+03,0.041,0.0418,0.0443,8.63E+03,0,0,0
1.66E+03,0.033,0.0352,0.0358,,,,
1.79E+03,0.0275,0.0295,0.0282,,,,
1.92E+03,0.0231,0.0251,0.0231,,,,
2.04E+03,0.0198,0.0225,0.0193,,,,
2.30E+03,0.0139,0.0182,0.0126,,,,
2.56E+03,0.01,0.0146,0.00926,,,,
2.81E+03,0.00715,0.0113,0.00752,,,,
